Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Latitude,Longitude
"4BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Dana","Longos, Malolos",7425000,4,3,85,99,14.87426,120.7915336
"RFO 2BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Criselle 63sqm","Longos, Malolos",4414000,2,1,36,63,14.87426,120.7915336
"2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Ezabelle 63sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4608000,2,1,46,63,15.468244,120.9764138
"RFO 5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 142sqm","Aningway Sacatihan, Subic",10185000,5,3,142,142,14.9131781,120.2282421
2BR 2-Storey House and Lot for Sale in Cabanatuan Nueva Ecija at Camella Nueva Ecija | Criselle 63sqm,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",3702000,2,1,40,63,15.468244,120.9764138
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Reana 64sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4432000,2,1,40,64,15.468244,120.9764138
"5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Ella 121sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8158000,5,3,100,121,15.468244,120.9764138
"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dani w/ CB","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7764000,4,3,83,110,15.468244,120.9764138
"For Sale 2BR 2-Storey Townhouse in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Arielle IU 42sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",2717000,2,1,36,42,15.468244,120.9764138
"RFO 2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Arielle EU 54sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",3228000,2,1,36,54,15.468244,120.9764138
"Pineview | Molave 2BR SD House and Lot for Sale in Tanza, Cavite | Futura by Filinvest","Antero-Soriano Hwy, Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3643800,2,1,39.64,100,,
"For Sale 5BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Greta 143sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",10061000,5,3,166,143,15.468244,120.9764138
"5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Ella w/ CB 132sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8608000,5,3,100,132,15.468244,120.9764138
"5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Freya 143sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",10354000,5,3,142,143,15.468244,120.9764138
"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana w/ CB 120sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8086000,4,3,85,120,15.468244,120.9764138
"2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Bella 96sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5779000,2,2,53,96,15.468244,120.9764138
"RFO 5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Greta 198sqm","Aningway Sacatihan, Subic",12866000,5,3,166,198,14.9131781,120.2282421
"Newly Renovated 2 Storey House and Lot for Sale in Cainta, Rizal","San Isidro, Cainta",10500000,3,3,120,132,14.6092561,121.1106377
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Tahoe Model","Km.71, North Luzon Expressway Panipuan, Mexico",3116400,3,2,89.54,154,15.0941848,120.6701583
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Greta 190sqm","Aningway Sacatihan, Subic",12035000,5,3,166,190,14.9131781,120.2282421
"RFO RFO FOR SALE House & Lot in Bacoor, Cavite with BIG LOT Area near CAVITEX","Buhay na Tubig, Imus",15500000,2,1,60,185,14.4069709,120.9565072
"50% off on Reservation Fee and 1st Equity Payment (Complete Finished 2 Storey Townhouse in Hana South, Trece Martires Cavite)","Cabuco, Trece Martires",2089739,2,2,40,45,14.2792049,120.8446323
"Futura Homes Palm Estates | Elisa SA 2BR House for Sale in Talisay, Negros Occ. | Futura by Filinvest","Efigenio Lizares, Talisay",3079100,2,1,34.2,84,10.7425424,122.9987613
"M-R-3-25- Acquired Property for Sale in Unit C, 18/F, Vierra Condominium (Now known as Marfori Tower), Brittany Bay (Lakefront), Brgy. Sucat, Muntinlupa City - Retail","Sucat, Muntinlupa",7110000,,,79,,14.4569804,121.0531587
"50% Discount on 1st Equity Payment! 2-Bedroom LYCA Townhouse for Sale at Hana South in Trece Martires, Cavite","Cabuco, Trece Martires",1918427,2,2,38,36,14.2792049,120.8446323
"4BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Dani w/ CB 110sqm","Aningway Sacatihan, Subic",6480000,4,3,83,110,14.9131781,120.2282421
"House and Lot for Sale in San Miguel Village, Poblacion, Makati City","Poblacion, Makati",85000000,,,890,481.5,14.566261,121.0313853
"Semi-furnished 2-storey house for sale in Orange Grove Matina, Davao City","Orange Grv, 8000 Davao City, Philippines Matina Pangi, Davao",8000000,4,3,133.5,122,,
02348 Ponte Verde Davao House for sale by Patrimonio Realty,"Buhangin, Davao",17500000,5,4,260,232,7.1469686,125.5940509
"Springfield View | Walnut Basic House and Lot for Sale in Tanza, Cavite | Futura by Filinvest","Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",5820400,,,67.5,100,,
"4-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | ALEXANDRA Model","Alapan II-A, Imus",7410000,4,3,100,120,14.4084522,120.8964956
"Pineview | Walnut 3BR SA House and Lot for Sale in Tanza, Cavite | Futura by Filinvest","Antero-Soriano Hwy, Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3649500,3,1,67.5,100,,
"3-Bedroom Quadruplex House and Lot for Sale in General Trias, Cavite at Minami Residences | HANNA Model","Arnaldo Highway Santiago, General Trias",4058400,3,2,54,80,14.3409388,120.9073794
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Unit Facing Clubhouse,"Cupang, Muntinlupa",32539000,3,3,247.4,93,14.4378843,121.0503212
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28628000,3,3,219.3,105,14.4302736,121.0452586
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",26393000,3,3,219.3,91,14.4302736,121.0452586
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28090000,3,3,219.3,90,14.4302736,121.0452586
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Corner Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",26953000,3,3,219.3,91,14.4302736,121.0452586
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",29196000,3,3,219.3,105,14.4302736,121.0452586
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28636000,3,3,219.3,105,14.4302736,121.0452586
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse","Km. 19 West Service Rd. Cupang, Muntinlupa",32539000,3,3,247.4,93,14.4302736,121.0452586
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",26981000,3,3,219.3,92,14.4302736,121.0452586
"50% off on Reservation Fee and 1st Equity Payment (Complete Finished 2 Storey Townhouse in Hana South, Trece Martires Cavite)","Cabuco, Trece Martires",2089739,2,2,40,45,14.2792049,120.8446323
"BIG DISCOUNT (up to 500k)! 3-Bedroom Single Attached House and Lot for Sale at PTC Suncrest in Imus, Cavite | Rosanna Model","Carsadang Bago I, Imus",5234791,3,2,75,80,14.4289186,120.928888
"Pre-selling 5 bedroom House and Lot For Sale in Binangonan, Rizal","Bilibiran, Binangonan",,5,3,142,397,14.4979795,121.1751624
4BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Dani w/ CB 121sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",7805000,4,3,83,121,,
RFO 2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ezabelle 72sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",4359000,2,1,46,72,,
2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Criselle 63sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",4057000,2,1,40,63,,
3BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Cara 88sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5869000,3,2,66,88,,
RFO 4BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Dana 121sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",8079000,4,3,85,121,,
RFO 2BR 2-Storey Townhouse for Sale in Tarlac City at Camella Tarlac | Arielle EU 115sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",4944000,2,1,36,115,,
Futura Homes Koronadal | Amber 2BR Townhouse End Unit for Sale in South Cotabato | Futura by Filinvest,"Purok Hurtado Concepcion, Koronadal",3136800,2,1,40.31,78.4,,
"BIG DISCOUNT (up to 500k)! 3-Bedroom Single Attached House and Lot for Sale at PTC Suncrest in Imus, Cavite | Rosanna Model","Carsadang Bago I, Imus",5234791,3,2,75,80,14.4289186,120.928888
"4BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Dani w/ CB 121sqm","Aningway Sacatihan, Subic",6753000,4,3,83,121,14.9131781,120.2282421
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",27088000,3,3,219.3,90,14.4302736,121.0452586
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 246sqm","Aningway Sacatihan, Subic",12069000,5,3,142,246,14.9131781,120.2282421
"2BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Bella 88sqm","Aningway Sacatihan, Subic",5362000,2,2,53,88,14.9131781,120.2282421
RFO 4BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Dana 121sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",8079000,4,3,85,121,,
3BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Cara 88sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5869000,3,2,66,88,,
4BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Dani w/ CB 121sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",7805000,4,3,83,121,,
RFO 2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ezabelle 72sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",4359000,2,1,46,72,,
RFO 2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Frielle 91sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5074000,2,1,50,91,,
5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 236sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",12941000,5,3,166,236,,
2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Criselle 63sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",4057000,2,1,40,63,,
RFO 2BR 2-Storey Townhouse for Sale in Tarlac City at Camella Tarlac | Arielle EU 115sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",4944000,2,1,36,115,,
"Pre-selling 5 bedroom House and Lot For Sale in Binangonan, Rizal","Bilibiran, Binangonan",,5,3,142,397,14.4979795,121.1751624
"For Sale 2BR 2-Storey House and Lot in Mabalacat, Pampanga at Talanai Homes | APITONG","Sapang Biabas, Mabalacat",2224500,2,1,50,65,15.1987752,120.6026101
"2BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Bella 88sqm","MacArthur Hwy Anonas, Urdaneta",4706000,2,2,53,88,16.0015834,120.5760561
"Futura Homes Palm Estates | Amber Duplex 2BR House for Sale in Talisay, Negros Occ. | Futura by Filinvest","Efigenio Lizares, Talisay",3185000,2,1,40.31,84,10.7425424,122.9987613
"2BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Bella 96sqm","MacArthur Hwy Anonas, Urdaneta",5301000,2,2,53,96,16.0015834,120.5760561
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Pebble Model","Km.71, North Luzon Expressway Panipuan, Mexico",2146550,3,2,61.33,154,15.0941848,120.6701583
"2 Storey, 5 Bedrooms, House & Lot @ Praverde Residences in Dasmariñas, Cavite","Governor's Dr, 4114 Dasmarinas, Philippines Paliparan III, Dasmarinas",14451000,5,3,142,154,,
"4-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ADELLE Model","Pasong Camachile I, General Trias",3336800,4,2,70,60,14.3723207,120.8976745
"2BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Criselle 63sqm","Longos, Malolos",4196000,2,1,40,63,14.87426,120.7915336
"2BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Bella 88sqm","Longos, Malolos",5733000,2,2,53,88,14.87426,120.7915336
"RFO 2BR 2-Storey Townhouse for Sale in Malolos, Bulacan at Camella Provence | Arielle EU 104sqm","Longos, Malolos",5544000,2,1,36,104,14.87426,120.7915336
"RFO 3BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Cara w/ CB 99sqm","Longos, Malolos",7810000,3,2,66,99,14.87426,120.7915336
"5BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Ella w/ CB","Longos, Malolos",8298000,5,3,100,110,14.87426,120.7915336
"2BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Ezabelle","Longos, Malolos",4466000,2,1,46,63,14.87426,120.7915336
"RFO 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit","Km. 19 West Service Rd. Cupang, Muntinlupa",32184000,3,3,247.4,92,14.4302736,121.0452586
"RFO 2BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Mika SF","Aningway Sacatihan, Subic",4594000,2,1,46,63,14.9131781,120.2282421
"2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Ezabelle 60sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4160000,2,1,46,60,15.468244,120.9764138
"For Sale 4BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana w/ CB 110sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6884000,4,3,85,110,15.468244,120.9764138
"3BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara 96sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6262000,3,2,66,96,15.468244,120.9764138
"RFO 3BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara w/ CB 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6559000,3,2,66,99,15.468244,120.9764138
"5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Ella 141sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",9003000,5,3,100,141,15.468244,120.9764138
"For Sale 3BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Cara 96sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6347000,3,2,66,96,15.468244,120.9764138
"House and Lot at Portofino Heights Las Piñas City, Metro Manila","Almanza Dos, Las Pinas",35000000,5,5,380,350,14.42473245,121.0145735
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Marga 60sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4904000,2,1,46,60,15.468244,120.9764138
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Marga 63sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5282000,2,1,46,63,15.468244,120.9764138
"BTS 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Ezabelle 60sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4281000,2,1,46,60,15.468244,120.9764138
For Sale RFO 2BR 2-Storey House and Lot in Cabanatuan Nueva Ecija at Camella Nueva Ecija | Ezabelle 63sqm,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4364000,2,1,36,63,15.468244,120.9764138
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Criselle 63sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4393000,2,1,40,63,15.468244,120.9764138
Futura Homes Zamboanga | Amber 2BR Townhouse Inner Unit for Sale in Zamboanga City | Futura by Filinvest,"Zambowood Rd. Boalan, Zamboanga",2450200,2,1,40.32,50.4,6.9483885,122.1148889
For sale Beautiful House and Lot in Carcar! Spacious and Overlooking,"Perrelos, Carcar",11000000,3,3,442,283,10.1143434,123.6747667
"Modern Asian Industrial House with Garden Space, Roof Deck","San Isidro, Cainta",14700000,4,3,255,187,14.6092561,121.1106377
"L-R-1-33- Acquired Property for Sale in Lot 1, Block 2, corner of Road Lot 4 and Road Lot 7, Sapphire Homes, Brgy. San Jose/Bintog, Plaridel, Bulacan - Retail","Bintog, Plaridel",3312600,,,144,105,14.9027084,120.8890133
2BR 2-Storey Townhouse for Sale in Tarlac City at Camella Tarlac | Arielle EU 98sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",4540000,2,1,36,98,,
"2BR Townhouse for Sale in San Jose, Batangas at PHINMA Maayo San Jose | Rosario Model, Appliance Bundle Promo!","President Jose P. Laurel Hwy Banaybanay II, San Jose",4062500,2,2,48.26,50,13.9184235,121.1054948
"BIG DISCOUNT (up to 500k)! 3BR Single Attached House and Lot for Sale at PTC Suncrest in Imus, Cavite | Rosanna Model","Carsadang Bago I, Imus",5234791,3,2,75,80,14.4289186,120.928888
"2BR Townhouse for Sale in Mexico, Pampanga | Flavorscapes at The Lakeshore, Alcove","Divisoria, Mexico",2530000,2,2,48,45.5,14.4321626,121.0452418
"New Leaf | Bernice 1BR SA House for Sale in Trece Martires, Cavite | Futura by Filinvest","The Wood Estates, Brgy. Hugo Perez, Trece Martires",2149700,1,1,27.21,69,,
"For Sale 2BR Townhouse in San Jose, Batangas at PHINMA Maayo San Jose | Rosario Model, Appliance Bundle Promo!","President Jose P. Laurel Hwy Banaybanay II, San Jose",4062500,2,2,48.26,50,13.9184235,121.1054948
"2 Storey, 5 Bedrooms, House & Lot @ Praverde Residences in Dasmariñas, Cavite","Governor's Dr, 4114 Dasmarinas, Philippines Paliparan III, Dasmarinas",14986000,5,3,166,154,,
"Duplex House and Lot Side by Side for Sale in Capas, Tarlac at Ajoya Capas","Talaga, Capas",3060000,,2,66,80,15.38374425,120.5870832
"2-Bedroom 2-Storey House and Lot for Sale in Mabalacat, Pampanga at Talanai Homes | APITONG","Sapang Biabas, Mabalacat",2224500,2,1,50,65,15.1987752,120.6026101
[05365-N-315] House & Lot for sale in Roxas District at Quezon City Metro Manila,"#91 ( Lot 16 Block LCH-1 ) Waling-Waling Street Roxas District Quezon City Metro Manila Roxas, Quezon City",5000000,,,167.5,200,,
"Claremont Phase 4 | Opal 3BR Single Attached House for Sale in Mabalacat, Pampanga | Futura by Filinvest","Santa Maria, Mabalacat",3825700,3,,53.6,88,15.2270079,120.5922007
The Elements Brand New Town House in Las Pinas City,"Metrocor-B Homes, Talon 5, Las Pinas City Talon Singko, Las Pinas",8897000,4,3,143,80,,
"3BR Beach House and Lot for Sale in San Juan, Batangas at Seafront Residences","San Juan - Laiya Rd. Calubcub II, San Juan",12099000,3,2,100,200,13.7425627,121.4257242
"For Sale 3 BR Single Detached House at Montecelio Residences Concepcion, Tarlac","Alfonso, Concepcion",3340000,3,2,107.6,100,15.3290862,120.6394315
House and lot BF homes Parañaque,"B.F. Homes, Paranaque",35000000,4,6,330,280,14.4462789,121.0274109
"Ready For You: 3BR Beach House and Lot for Sale in San Juan, Batangas at Seafront Residences at Php 250,815 monthly amortization","San Juan - Laiya Rd. Calubcub II, San Juan",18771000,3,2,100,200,13.7425627,121.4257242
RFO 5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 148sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",9683000,5,3,100,148,,
"4BR Beach House and Lot for Sale in San Juan, Batangas at Seafront Residences","San Juan - Laiya Rd. Calubcub II, San Juan",15450000,4,3,150,200,13.7425627,121.4257242
RFO 2BR 2-Storey Townhouse for Sale in Tarlac City at Camella Tarlac | Arielle EU 205sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",7408000,2,1,36,205,,
"House and Lot with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Tanglaw Model","Tugbok, Davao",8500000,3,3,74.26,80,7.1035383,125.4948467
"Brand New 3 br Full furnished Beachhouse in San Juan, Laiya Batangas","Calubcub II, San Juan",30000000,3,3,337,312,13.7367475,121.420371
RFO 4BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Dana w/ CB 121sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",8229000,4,3,85,121,,
"Brand New Duplex House For Sale in Las Piñas. 4 Bedroom, Furnished","Pamplona Tres, Las Pinas",,4,4,160,91.5,14.4498228,120.9782887
"Sandia Homes | Bernice SA 1BR House for Sale in Tanauan, Batangas | Futura by Filinvest","Cale, Tanauan",1496900,1,1,27.21,60,14.1177207,121.0940992
"5BR Single Attached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SA150","Bugtong Na Pulo, Lipa",9841000,5,3,150,150,13.9984308,121.1674592
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B1 L23 (ROSE-INNER)","Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000,1,1,44,40,,
Modern Industrial House for sale in Antipolo boundary of Marikina,"Cupang, Antipolo",17890000,4,3,246,121,14.6360063,121.1240475
"Townhouse For Sale in The Alcove at Palmera Homes, Quezon City - Resort Style","Santa Monica, Quezon City",18287829,3,3,176,79,14.7252015,121.043347
"3BR Single Attached-Complete House and Lot for Sale in Santa Maria, Bulacan | North Orchard Residences","Caysio Rd. Caysio, Santa Maria",5183808,3,2,75.26,80,14.8482305,120.969695
"3BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Cara w/ CB 118sqm","Aningway Sacatihan, Subic",6249000,3,2,66,118,14.9131781,120.2282421
For Sale: BF Resort Village House - Ready for Move In!,"Almanza Dos, Las Pinas",18000000,4,3,382,192,14.42473245,121.0145735
"RFO 2BR House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Bella 96sqm","MacArthur Hwy Anonas, Urdaneta",5442000,2,2,53,96,16.0015834,120.5760561
3BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Cara w/ CB 104sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",6346000,3,2,66,104,,
"3BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD103","Bugtong Na Pulo, Lipa",7367000,3,2,103,132,13.9984308,121.1674592
"Duplex House and Lot Back to Back for Sale in Capas, Tarlac at Ajoya Capas","Talaga, Capas",3192000,,2,75,90,15.38374425,120.5870832
"5BR Single Detached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga","Eden, Mexico",6311000,5,3,107,141,15.1262529,120.6580131
"3BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Cara w/ CB 99sqm","Aningway Sacatihan, Subic",5706000,3,2,66,99,14.9131781,120.2282421
"3-Bedroom House and Lot for Sale in Kawit, Cavite at Lancaster New City | GABRIELLE Model","San Sebastian, Kawit",6650000,3,2,84,120,14.4129793,120.8886677
"2BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Ezabelle 74sqm","Aningway Sacatihan, Subic",3984000,2,1,46,74,14.9131781,120.2282421
Charming Loyola Grand Villas House and Lot for Sale in Quezon City,"Matandang Balara, Quezon City",110000000,12,12,1200,1000,14.6716797,121.0745345
For Sale | Spacious 3-story Townhouse | Ametta Place | Pasig,"Mercedes Ave, Pasig, 1600 Metro Manila 14.566745440863722, 121.09773643837426 San Miguel, Pasig",19500000,3,3,183,110,,
Prime Single House and Lot for Sale in Greenwoods Executive Village Cainta Pasig,"Olive St, 1900 Cainta, Philippines San Juan, Cainta",18000000,6,4,244,158,,
"For Sale Two (2) Storey Townhouse with Roofdeck in Cupang, Antipolo","21 Stirrup St., Rancho Estate 2 Subd., Cupang, Antipolo City Concepcion Dos, Marikina",10900000,5,3,180,120,,
4BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Dani w/ CB 110sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",7201000,4,3,83,110,,
"Erin Model House for Sale at Averdeen Estates NUVALI in Calamba City, Laguna","Laguerta, Calamba",,3,2,95,169,14.1727369,121.0852575
Old two-storey residential house For Sale Located at  Urdanenta  City,"San Vicente, Urdaneta",4000000,3,2,60,247,15.9823552,120.5799421
"Hanna Model SF House For Sale in Camella Sierra Metro East, Antipolo City","Dalig, Antipolo",,3,2,60,121,14.5730447,121.1864717
3 Bedroom House For Sale at Camella Urdanenta,"Anonas, Urdaneta",6728000,3,2,66,99,15.9980269,120.5754414
House For Sale Located at Camella Urdanenta City,"Anonas, Urdaneta",8116000,4,3,83,121,15.9980269,120.5754414
"Townhouse For Sale at Jade Residences, Malagasang, Imus, Cavite","Malagasang I-C, Imus",2688000,2,1,50,60,14.3905436,120.9273746
"3-Bedroom House and Lot for Sale in Kawit, Cavite at Lancaster New City | AIRA Model","San Sebastian, Kawit",5282600,3,2,80,92,14.4129793,120.8886677
For sale Preselling 2 Storey Modern Samantha 5 Bedrooms House in Muntinlupa,"Tunasan, Muntinlupa",16884800,5,3,195,240,14.3801129,121.0514828
"5 Bedroom House For Sale at Camella Urdaneta City, Pangasinan","Anonas, Urdaneta",11576000,5,3,166,154,15.9980269,120.5754414
Advance Construction 5-Bedrooms House and Lot near Koronadal New Public Terminal,"Robredo Street San Isidro, Koronadal",10793502,5,3,166,143,,
2BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Criselle 66sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",3900000,2,1,40,66,,
"2 3 Bedroom House For Sale Locatee at Camella Urdanenta City,","Anonas, Urdaneta",6728000,3,2,66,99,15.9980269,120.5754414
