address,subdistrict_code,rent,deposit,Let type,Furnish Type,Coucil Tax,PROPERTY TYPE,BEDROOMS,BATHROOMS,SIZE,avg_distance_to_nearest_station,nearest_station_count
"Erin Court,",,1400,0,Long term,Furnished,Ask agent,Flat,,1,Ask agent,0.5,3
"Aerodrome Road, Colindale, NW9 4GB – 1 Bedroom Flat",,2115,2440,Long term,Unfurnished,Ask agent,Flat,1,1,Ask agent,0.7,3
"Middle Field, 
St John's Wood, NW8",NW8,12000,0,Long term,Part furnished,Ask agent,Detached,4,3,Ask agent,0.3,3
"Radipole Road, 
Fulham, SW6",SW6,1900,2192,Long term,Unfurnished,Ask agent,Flat,1,1,585 sq ft,0.4,3
"Routh Street, Beckton, E6",,800,923,Long term,Furnished,Ask agent,House Share,1,1,Ask agent,0.4,3
Manuka Heights,,2800,0,Long term,Furnished,Ask agent,Apartment,2,2,798 sq ft,0.4,3
"Abbey Street, Bermondsey",,2197,0,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.8,3
"Discovery Walk, Wapping",,2999,0,Long term,Furnished,Ask agent,Flat,3,1,786 sq ft,0.4,3
"Maine Tower, 9 Harbour Way, Canary Wharf, London, E14",E14,3400,3923,Long term,Furnished,Ask agent,Apartment,2,2,943 sq ft,0.2,3
"Guild House,  Rotherhithe New Road, London",,3150,3634,Long term,Furnished,Ask agent,Apartment,3,2,Ask agent,0.8,3
"Oglander Road, Peckham, SE15",SE15,2300,0,Short term,Unfurnished,Ask agent,Flat,2,2,Ask agent,0.5,3
"Denison House, Canary Wharf,  E14",E14,1900,2192,Long term,Furnished,Ask agent,Apartment,1,1,485 sq ft,0.3,3
"Mount Adon Park, SE22",SE22,1950,2250,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.9,3
Landmark West Tower E14,,2249,2595,Long term,Ask agent,Ask agent,Flat,1,1,Ask agent,0.3,3
"Comet Street, London, SE8",SE8,4250,0,,Part furnished,Ask agent,Town House,4,2,"1,798 sq ft",0.2,3
"King Frederick Ninth Tower, SE16",SE16,1950,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1,1,Ask agent,0.7,3
"Rotherhithe Street, London",,2000,0,Long term,Furnished,Ask agent,Semi-Detached,2,1,Ask agent,0.6,3
"Wager Street, Mile End Bow",,3500,4039,,Furnished,Ask agent,Apartment,4,1,Ask agent,0.5,3
"Houston Road, Forest Hill, SE23 2RJ",,3000,3461,Long term,Part furnished,Ask agent,Semi-Detached,5,2,Ask agent,0.8,3
Telegraph Place,,1746,2015,Long term,Part furnished,Ask agent,Detached,2,,Ask agent,0.3,3
"Arena Tower, 25 Crossharbour Plaza, Canary Wharf, London, E14",E14,1900,2192,Long term,Furnished,Ask agent,Apartment,,1,366 sq ft,0.3,3
St. Pauls Cray Road Chislehurst BR7,,1850,0,Long term,Unfurnished,Ask agent,Apartment,2,1,Ask agent,1.3,3
"Baltimore Wharf, Canary Wharf, London, E14",E14,2300,2653,Long term,Furnished,Ask agent,Apartment,1,1,611 sq ft,0.3,3
Old Kent Road Bermondsey SE1,,1500,1731,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.8,3
"Landmark East Tower, E14",E14,2200,0,Long term,Ask agent,Ask agent,Apartment,1,1,Ask agent,0.2,3
"Baildon Street, Deptford, London, SE8 4BQ",,1400,1615,Long term,Part furnished,Ask agent,Flat,1,1,403 sq ft,0.2,3
Providence Close (off of Wetherell road E9),,2000,2539,Long term,Unfurnished,Ask agent,Apartment,2,1,576 sq ft,0.7,3
"Eastfield House, 19 Atherton Mews, London",,2500,2885,Long term,Unfurnished,Ask agent,Flat,3,2,Ask agent,0.4,3
"South Boulevard, Baltimore Wharf, Canary Wharf E14",,1777,2050,Long term,Furnished,Ask agent,Studio,,1,Ask agent,0.3,3
"St. Davids Square, London, E14",E14,2100,0,Long term,Furnished,Ask agent,Apartment,2,1,570 sq ft,0.3,3
"Byards Court, Worgan Street, London",,2499,0,Long term,Furnished,Ask agent,Flat,2,,Ask agent,0.4,3
"Baltimore Wharf, Canary Wharf, London, E14",E14,2934,0,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
"Tower Bridge Road, London, SE1",SE1,1650,2019,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1,Ask agent,0.6,3
"Old Kent Road, London, SE1",SE1,1500,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1,Ask agent,0.8,3
"Cubitt Wharf, Isle of Dogs, E14",E14,1625,1875,Long term,Part furnished,Ask agent,Apartment,1,1,Ask agent,0.5,3
"Commercial Street, London, E1 6LT, UK",,4790,0,Long term,Furnished,Ask agent,Apartment,2,2,836 sq ft,0.3,3
"Buckle Street, London, E1 1LN, UK",,4190,0,Long term,Furnished,Ask agent,Apartment,2,1,945 sq ft,0.2,3
"Pepper Street, London, E14 9RP, UK",,2750,0,Long term,Furnished,Ask agent,Apartment,1,1,500 sq ft,0.3,3
"Dock Street, London, E1 8JP, UK",,3450,0,Long term,Furnished,Ask agent,Apartment,2,2,698 sq ft,0.3,3
"Mansell Street, London, E1 8AL, UK",,2450,0,Long term,Furnished,Ask agent,Apartment,,1,366 sq ft,0.2,3
"Eagle House, Headlam Street, London, E1",,2850,0,Long term,Furnished,Ask agent,Apartment,3,1,Ask agent,0.3,3
"Tapestry Way, London, E1 2FR, UK",,3240,0,Long term,Furnished,Ask agent,Apartment,2,2,763 sq ft,0.4,3
"Tapestry Way, London, E1 2FR, UK",,2430,0,Long term,Furnished,Ask agent,Apartment,1,1,432 sq ft,0.4,3
"Gillender Street, London, E3 3JX, UK",,2040,0,Long term,Furnished,Ask agent,Apartment,,1,396 sq ft,0.4,3
"Tapestry Way, London, E1 2FR, UK",,2540,0,Long term,Furnished,Ask agent,Apartment,1,1,563 sq ft,0.4,3
"New Tannery Way, London, SE1 5WS, UK",,2990,0,Long term,Furnished,Ask agent,Apartment,2,2,700 sq ft,0.8,3
"New Drum Street, London, E1 7AS, UK",,4540,0,Long term,Furnished,Ask agent,Apartment,3,2,905 sq ft,0.2,3
"Harbour Way, London, E14 9XP, UK",,4390,0,Long term,Furnished,Ask agent,Apartment,2,2,853 sq ft,0.2,3
"Baltimore Wharf, London, E14 9RE, UK",,4060,0,Long term,Furnished,Ask agent,Apartment,2,2,818 sq ft,0.3,3
"Merchant House, Stratford, E20",E20,2750,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2,1,Ask agent,0.5,3
"8 Water Street, Canary Wharf, E14",E14,4397,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2,1,Ask agent,0.2,3
"Newfoundland, Canary Wharf, E14",E14,2903,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1,1,Ask agent,0.2,3
"Newfoundland, Canary Wharf, E14",E14,3250,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1,1,Ask agent,0.2,3
"Westbury Road, Barking, IG11",IG11,2800,3230,Long term,Furnished,Ask agent,Terraced,4,2,"1,123 sq ft",0.9,3
"10 George Street, Canary Wharf, E14",E14,2860,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1,1,Ask agent,0.3,3
"8 Water Street, Canary Wharf, E14",E14,4052,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2,1,Ask agent,0.2,3
"Newfoundland, Canary Wharf, E14",E14,4000,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1,1,Ask agent,0.2,3
"Newfoundland, Canary Wharf, E14",E14,3500,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1,1,Ask agent,0.2,3
"Newfoundland, Canary Wharf, E14",E14,2492,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,,1,Ask agent,0.2,3
"Merchant House, Stratford, E20",E20,3300,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,3,2,Ask agent,0.5,3
"Newfoundland, Canary Wharf, E14",E14,7390,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,3,2,Ask agent,0.2,3
"Poplar, London, E14",E14,2200,2538,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.4,3
"Codrington Court, Rotherhithe Street, SE16",SE16,2000,2307,Long term,Part furnished,Ask agent,Apartment,2,2,731 sq ft,0.5,3
Ilderton Road,,1425,0,,Furnished,Ask agent,Flat Share,,1,189 sq ft,0.6,3
"Elmhurst, Belvedere, DA17",DA17,2150,2150,Long term,Unfurnished,Ask agent,Terraced,3,1,Ask agent,1.1,3
Commercial Road,,2102,0,,Furnished,Ask agent,Studio,,1,151 sq ft,0.4,3
"Goodrich Road, East Dulwich, London, SE22",SE22,2700,3116,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2,1,769 sq ft,0.9,3
"Westferry Circus, London",,4182,4182,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
"Westferry Circus, London",,4247,4246,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.3,3
"South Quay Square, London, E14 9RT, UK",,3140,0,Long term,Furnished,Ask agent,Apartment,2,2,650 sq ft,0.1,3
"Riverstone Heights, 18 Reed Avenue, London, E3 3ZD",,2270,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Pan Peninsula Square, London, E14",E14,3400,3923,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.2,3
"Stubbs Drive, London, SE16",SE16,1200,0,Long term,Furnished,Ask agent,Studio,,1,Ask agent,0.5,3
"Thunderer Street, London, E13",E13,1250,1442,Long term,Furnished,Ask agent,Flat Share,1,2,Ask agent,0.7,3
"Jubilee Court, London, SE10",SE10,1850,2135,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.3,3
"Lafone Street, London, SE1 2LT, UK",,3240,0,Long term,Furnished,Ask agent,Apartment,2,2,900 sq ft,0.6,3
"Meath Crescent, London, E2",,2500,2884,Long term,Ask agent,Ask agent,Apartment,2,2,800-850 sq ft,0.4,3
"Rope Street, London SE16",,4000,4615,Long term,Furnished,Ask agent,Town House,4,2,Ask agent,0.6,3
"Garrick Drive, Thamesmead, London, SE28",SE28,1725,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Terraced,2,1,Ask agent,0.4,3
"Iceland Wharf, Plough Way, London SE16",,1300,1500,Long term,Furnished,Ask agent,Flat Share,1,1,Ask agent,0.6,3
"Masters Drive, London SE16",,950,1096,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat Share,1,1,Ask agent,0.6,3
"Chancellor House, London, SE16",SE16,3200,3692,Long term,Furnished,Ask agent,Flat,3,2,Ask agent,0.8,3
"Lee High Road, London, SE12",SE12,1850,2135,Long term,Unfurnished,Ask agent,Maisonette,2,1,Ask agent,0.6,3
"Leven Road, London, E14",E14,2200,2583,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.5,3
"Strone Road, London, E7",,2500,2500,Long term,Unfurnished,Ask agent,Terraced,4,1,Ask agent,0.5,3
"Elstow Road, Dagenham, RM9",RM9,1725,1990,Long term,Unfurnished,Ask agent,Terraced,2,1,Ask agent,0.7,3
"Deals Gateway, Lewisham, SE13",SE13,2000,2307,Long term,Ask agent,Ask agent,Apartment,2,2,Ask agent,0.2,3
"Maine Tower, E14",E14,3400,0,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.2,3
"Riverstone Heights, 18 Reed Avenue, London, E3 3ZD",,2260,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Tranquil Vale, London, SE3",SE3,2150,2480,Long term,Ask agent,Ask agent,Flat,2,1,Ask agent,0.6,3
"Mayesbrook Road, Essex, IG3",IG3,1950,2250,Long term,Unfurnished,Ask agent,Flat,2,1,Ask agent,0.7,3
"Shooters Hill, London, SE18",SE18,1800,1800,Long term,Unfurnished,Ask agent,Flat,2,2,Ask agent,1.1,3
"Woolwich Road, Charlton, SE7",SE7,2200,2538,Long term,Unfurnished,Ask agent,Terraced,2,1,Ask agent,0.6,3
Friern Road Dulwich SE22,,4750,5481,Long term,Unfurnished,Ask agent,Terraced,5,2,Ask agent,0.9,3
"Fish Island, London, E3",,2100,2423,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.5,3
"Pan Peninsula Square, London, E14",E14,2300,2300,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.2,3
"Overcliff Road, London, SE13",SE13,4000,4615,Long term,Unfurnished,Ask agent,Terraced,5,3,Ask agent,0.4,3
"Limes Grove, London, SE13",SE13,1500,1500,Long term,Unfurnished,Ask agent,Flat,1,1,Ask agent,0.5,3
"Caistor Park Road, Stratford, London, E15",E15,2250,2597,Long term,Furnished,Ask agent,House,2,1,896 sq ft,0.4,3
"Bancroft Road, Mile End, London, E1",,5700,6577,Long term,Unfurnished,Ask agent,Terraced,6,3,"1,270 sq ft",0.4,3
"Regalia Point, Palmers Road, Bethnal Green, London, E2",,2600,3000,Long term,Furnished,Ask agent,Flat,2,2,773 sq ft,0.5,3
"Commercial Street, Spitalfields, London, E1",,2650,3058,Long term,Unfurnished,Ask agent,Flat,1,1,444 sq ft,0.3,3
"Tower Mansions, Bermondsey, London, SE1",SE1,2900,700,Short term,Ask agent,Ask agent,Flat,2,1,647 sq ft,0.8,3
"Circus Apartments, Canary Wharf, London E14",,4030,4650,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2,2,Ask agent,0.3,3
"NAOMI STREET, Deptford, London, SE8",SE8,2350,2712,Long term,Furnished,Ask agent,Flat,2,2,763 sq ft,0.6,3
"Gurney Close, Barking",,1200,0,Long term,Furnished,Ask agent,Flat,1,1,442 sq ft,0.8,3
"Narrow Street, E14",E14,2995,3455,Long term,Part furnished,Ask agent,Apartment,2,2,Ask agent,0.4,3
"Frogley Road, East Dulwich",,3500,0,Long term,Unfurnished,Ask agent,House,3,2,Ask agent,0.6,3
"Circus Apartments, Upper Floor Flat, Two Bed Apartment, Canary Wharf,  E14 (947sq.ft) £920 P/W",,3987,3986,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.3,3
"Alaska Building, 
Deals Gateway, SE13",SE13,1500,0,Long term,Furnished,Ask agent,Flat,1,,Ask agent,0.2,3
"Sky Apartments, 
Homerton Road, E9",,2700,1246,Short term,Furnished,Ask agent,Flat,1,1,430 sq ft,0.7,3
"Colomb Street, Greenwich, SE10",SE10,2300,2653,Long term,Unfurnished,Ask agent,Terraced,3,1,Ask agent,0.5,3
"Lewisham Way, Brockley, SE4",SE4,1600,1846,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.4,3
"East Ferry Road, London, E14",E14,950,950,Long term,Furnished,Ask agent,House Share,1,3,Ask agent,0.4,3
"St. Albans Court, London, E11",E11,1800,831,Short term,Unfurnished,Ask agent,Flat,2,1,Ask agent,0.5,3
"London, London, E6",,1750,1750,Long term,Unfurnished,Ask agent,Maisonette,2,1,Ask agent,0.8,3
"Aurora Point, London, SE8",SE8,2050,2365,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.8,3
"The Haydon, Minories, London, EC3N",EC3N,4333,5500,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2,2,846 sq ft,0.2,3
Wickham Road London SE4,,2400,0,Long term,Furnished,Ask agent,Apartment,2,1,Ask agent,0.4,3
"North Boulevard, Baltimore Wharf, Canary Wharf E14",,1798,2075,Long term,Furnished,Ask agent,Studio,,1,Ask agent,0.3,3
"Huguenot Court, Shoreditch, E1",,3000,0,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.3,3
"Lavender Place, Ilford, IG1",IG1,1700,1961,Long term,Ask agent,Ask agent,Apartment,2,1,Ask agent,0.8,3
"Farrow Lane, London, SE14",SE14,1350,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.5,3
"Deals Gateway, London, SE13 7SF",,1500,1730,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.3,3
"Damien Street, Whitechapel E1",,2817,3250,Long term,Furnished,Ask agent,Flat,3,1,Ask agent,0.4,3
Mimosa House,,2520,0,,Furnished,Ask agent,Apartment,2,2,756 sq ft,0.4,3
Merle Mansions,,2120,0,,Furnished,Ask agent,Apartment,1,1,535 sq ft,0.4,3
"Discovery Dock Apartments East, 
3 South Quay Square, E14",E14,2200,2538,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.2,3
"12 Teesdale Close,  Shoreditch, E2",,1452,0,Long term,Furnished,Ask agent,Studio,,1,Ask agent,0.4,3
Insignia Point,,2820,0,,Furnished,Ask agent,Apartment,2,2,893 sq ft,0.4,3
Hightail Point,,2930,0,,Furnished,Ask agent,Apartment,2,2,785 sq ft,0.4,3
Hightail Point,,2440,0,,Furnished,Ask agent,Apartment,1,1,542 sq ft,0.4,3
"New Stratford Works, Prospect Row, Stratford, E15",E15,2150,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.4,3
"131 Adenmore Road, LONDON",,1450,1673,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1,1,Ask agent,0.3,3
"Cliffe House, London, SE10",SE10,795,367,Long term,Furnished,Ask agent,Flat Share,1,1,Ask agent,0.6,3
"High Street North, London, E12",E12,1350,1350,Long term,Unfurnished,Ask agent,Studio,,1,Ask agent,0.5,3
"London, London, E14",E14,2450,2450,Long term,Furnished,Ask agent,Terraced,3,2,Ask agent,0.3,3
"Trewsbury Road, Sydenham, London, SE26",SE26,1950,0,Long term,Unfurnished,Ask agent,Apartment,2,2,Ask agent,0.5,3
"Torridon Road, Catford, London, SE6",SE6,2250,2596,,Unfurnished,Ask agent,Terraced,3,1,Ask agent,0.8,3
"Thames Road, London, E16",E16,1850,2134,Long term,Furnished,Ask agent,Flat,1,1,538 sq ft,0.4,3
"Dulverton Road, New Eltham",,2750,3173,Long term,Unfurnished,Ask agent,Semi-Detached,4,2,Ask agent,0.9,3
"Cambridge Road, Barking, IG11 8SW – 1 Bedroom Flat",,1798,2075,Long term,Part furnished,Ask agent,Flat,1,1,Ask agent,0.8,3
"Thames Road, London, E16",E16,1875,2163,Long term,Furnished,Ask agent,Flat,1,1,538 sq ft,0.4,3
"St Gabriels Close, Langdon Park",,2097,2275,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.3,3
"Goodall Road, London, E11",E11,2899,2899,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Terraced,3,1,Ask agent,0.6,3
"Eaglesfield Road, London, SE18",SE18,2500,2500,Long term,Unfurnished,Ask agent,Detached,4,2,Ask agent,1.2,3
"Botanist House, 7 Seagull Lane, London, E16",E16,2450,2826,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.2,3
"Byron House, Chapel Close, DA1",DA1,1400,1615,Long term,Unfurnished,Ask agent,Maisonette,2,1,Ask agent,0.9,3
"Radfield Way, Sidcup, Kent, DA15",DA15,2200,2538,Long term,Ask agent,Ask agent,End of Terrace,3,1,Ask agent,1,3
St. Marks Road Bromley BR2,,2200,2538,Long term,Unfurnished,Ask agent,Flat,2,2,Ask agent,0.6,3
"Hyde Vale, Greenwich, SE10",SE10,4250,4904,Long term,Unfurnished,Ask agent,End of Terrace,4,2,Ask agent,0.5,3
"Moore House, Cassilis Road, Canary Wharf, London, E14",E14,2000,2307,Long term,Furnished,Ask agent,Apartment,1,1,495 sq ft,0.3,3
"Craig Tower, London E3",,1733,2000,Long term,Furnished,Ask agent,Flat,,1,Ask agent,0.4,3
"New Drum Street, London, E1 7AS, UK",,3390,0,Long term,Furnished,Ask agent,Apartment,1,1,545 sq ft,0.2,3
"Asher Way, London, E1W",E1W,1993,2300,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.4,3
"Waterloo House, 
7 Byron Street, E14",E14,1800,0,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.3,3
"Spaceworks Building, Plumbers Row, Aldgate East, E1",,2600,0,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.3,3
"Ross Way, London, E14",E14,2500,2884,Long term,Furnished,Ask agent,Apartment,3,2,78 sq ft,0.5,3
"Bow Common Lane, E3",,1850,2135,Long term,Unfurnished,Ask agent,Apartment,1,1,519 sq ft,0.4,3
"Westcombe Hill, Greenwich/Westcombe Park, SE3",SE3,997,0,Long term,Furnished,Ask agent,House Share,,,Ask agent,0.5,3
"Syon Lodge, Burnt Ash Hill, Lee, SE12",SE12,1300,1500,Long term,Unfurnished,Ask agent,Flat,1,1,Ask agent,0.8,3
Laurel Point,,2370,0,,Furnished,Ask agent,Apartment,1,1,635 sq ft,0.4,3
"Westcombe Hill, Greenwich/Westcombe Park, SE3",SE3,1040,0,Long term,Furnished,Ask agent,House Share,,,Ask agent,0.5,3
"Sydney Road, Abbey Wood",,1650,1903,Long term,Unfurnished,Ask agent,Bungalow,3,1,646 sq ft,1.1,3
"3 Tidal Basin Road, Royal Victoria, London, E16",E16,2450,2826,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.2,3
"Manor Road, West Ham E15",,2100,2423,Long term,Unfurnished,Ask agent,Flat,3,1,Ask agent,0.3,3
"Westcombe Hill, Greenwich/Westcombe Park, SE3",SE3,1170,0,Long term,Furnished,Ask agent,House Share,,,Ask agent,0.5,3
"Lee High Road, Lewisham, SE13",SE13,1250,1440,Long term,Unfurnished,Ask agent,Studio,,1,Ask agent,0.6,3
"Casa Apartments, East India Dock, E14",E14,1599,1845,Long term,Furnished,Ask agent,Flat,1,,Ask agent,0.4,3
"South Quay Plaza, 75 Marsh Wall, London, E14",E14,3850,4442,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.2,3
"Accra Close, Canary Wharf",,2050,0,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.4,3
"The Vista Building, Calderwood Street, Woolwich, SE18",SE18,1700,0,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.3,3
"Proton Tower, East India",,2475,2855,Long term,Furnished,Ask agent,Flat,2,2,743 sq ft,0.3,3
"Skyline Apartments, Makers Yard, London, E3",,1800,0,Long term,Furnished,Ask agent,Flat,1,,Ask agent,0.4,3
Wernbrook Street London SE18,,1500,1730,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.7,3
"Wantage Road, Lee, London, SE12",SE12,2400,2769,Long term,Unfurnished,Ask agent,Apartment,3,2,Ask agent,0.6,3
"Bonnet Street, London, E16",E16,2195,0,Long term,Furnished,Ask agent,Apartment,1,1,600 sq ft,0.5,3
Thrawl Street London E1,,2920,0,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.3,3
"Kingfisher Heights, E16",E16,2050,0,Long term,Ask agent,Ask agent,Flat,2,2,Ask agent,0.4,3
"Rowan Court, London, E13",E13,1750,2019,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.6,3
"3 Shipwright Street, London, E16",E16,1825,2105,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.4,3
"Hampton Tower, London E14",,2899,3345,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.2,3
"20 Fresh Wharf Road, Barking, Essex, IG11",IG11,1535,1771,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,1,3
"Maud Street, London, E16",E16,1950,0,Long term,Furnished,Ask agent,Apartment,1,,Ask agent,0.4,3
"West Ham Lane, 
Stratford Village, E15",E15,2100,0,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.4,3
"Frobisher Street, London, SE10",SE10,1750,2019,Long term,Unfurnished,Ask agent,Flat,2,1,561 sq ft,0.5,3
"The Vista Building, Calderwood Street, London, SE18",SE18,2375,0,Long term,Part furnished,Ask agent,Apartment,3,3,Ask agent,0.3,3
"Emery Wharf, London Dock, Wapping, E1W",E1W,2817,3250,Long term,Furnished,Ask agent,Apartment,1,1,441 sq ft,0.4,3
"Cutter Lane, London, SE10",SE10,2050,2365,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.3,3
"Landmark Pinnacle, London E14",,2730,3150,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.3,3
"21 Atlantis Avenue, London, E16",E16,2800,3230,Long term,Furnished,Ask agent,Apartment,3,2,Ask agent,0.4,3
"Station Road , E7",,1750,2019,Long term,Ask agent,Ask agent,Semi-Detached,2,1,Ask agent,0.4,3
"Landmark Pinnacle, London E14",,2275,2625,Long term,Furnished,Ask agent,Flat,,1,Ask agent,0.3,3
"Maypole Court, 44 Geoff Cade Way, Bow, London, E3",,2300,2653,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.5,3
"Romford Road, Forest Gate E7",,2495,2878,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,3,1,Ask agent,0.5,3
"Cinnabar Wharf East, Wapping High Street, London, E1W.",E1W.,4498,6230,Long term,Unfurnished,Ask agent,Flat,3,3,Ask agent,0.4,3
"Beacon Point, 12 Dowells Street, New Capital Quay, London, SE10",SE10,2350,2711,Long term,Furnished,Ask agent,Apartment,2,2,872 sq ft,0.4,3
10th Floor   Harcourt Tower,,3900,4500,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.5,3
"Voss Street, London E2",,1750,2020,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1,1,Ask agent,0.4,3
"Commercial Street, E1",,2600,2884,Long term,Ask agent,Ask agent,Flat,1,1,432 sq ft,0.3,3
Little Heath Road Bexleyheath DA7,,3350,3866,Long term,Unfurnished,Ask agent,Semi-Detached,4,2,Ask agent,1.1,3
"Docker Building, Riverscape, London, E16",E16,2999,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2,2,Ask agent,0.4,3
"Cassilis Road, Cassilis Road",,1898,0,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.3,3
"Merchant Court, Wapping Wall, London, E1W.",E1W.,3900,4500,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.3,3
"Landmark Pinnacle, Marsh Wall, London, E14",E14,4000,4615,Long term,Furnished,Ask agent,Apartment,2,1,Ask agent,0.3,3
"Harold Road, Leytonstone, E11",E11,1400,0,Long term,Unfurnished,Ask agent,Flat,1,1,Ask agent,0.3,3
"Aspen, Consort Place, Marsh Wall, E14",E14,4000,4615,Long term,Ask agent,Ask agent,,2,2,Ask agent,0.1,3
"Crossway, Dagenham, RM8 2SH",,1950,2250,Long term,Unfurnished,Ask agent,Terraced,3,1,Ask agent,1,3
"East Tower, Pan Peninsula, Canary Wharf E14",,1885,2175,Long term,Furnished,Ask agent,Studio,,1,Ask agent,0.2,3
"Minotaur House, Thunderer Walk, Royal Arsenal Riverside, Woolwich, London, SE18",SE18,1850,2134,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.3,3
"Marsh Wall, London, E14",E14,2500,0,Long term,Furnished,Ask agent,Apartment,1,1,485 sq ft,0.2,3
"The Haydon, London, EC3N",EC3N,3200,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.2,3
"Royal Carriage Mews, Woolwich, London, SE18",SE18,2250,2597,Long term,Part furnished,Ask agent,Flat,2,2,696 sq ft,0.3,3
"Commercial Road, London, E14",E14,1500,1730,Long term,Furnished,Ask agent,Apartment,1,,Ask agent,0.4,3
"Ibex House, Stratford, E15",E15,1500,0,Long term,Ask agent,Ask agent,Flat,1,1,Ask agent,0.4,3
"Shell Road, Lewisham",,2700,0,Long term,Ask agent,Ask agent,House,3,1,Ask agent,0.4,3
"19 Pearl House, 60 Millennium Place",,2249,2595,Long term,Unfurnished,Ask agent,Flat,2,2,Ask agent,0.3,3
"Point Hill, London, SE10",SE10,800,923,Long term,Ask agent,Ask agent,House Share,1,1,Ask agent,0.3,3
