"Ticker","Name","Industry","Sub-Industry","Headquarters Location","Date added"
"MKC","McCormick & Company","Consumer Staples","Packaged Foods & Meats","Hunt Valley, Maryland","3/20/2003"
"MKTX","MarketAxess","Financials","Financial Exchanges & Data","New York City, New York","7/1/2019"
"MLM","Martin Marietta Materials","Materials","Construction Materials","Raleigh, North Carolina","7/2/2014"
"MMC","Marsh McLennan","Financials","Insurance Brokers","New York City, New York","8/31/1987"
"MMM","3M","Industrials","Industrial Conglomerates","Saint Paul, Minnesota","8/9/1976"
"MNST","Monster Beverage","Consumer Staples","Soft Drinks","Corona, California","6/28/2012"
"MO","Altria","Consumer Staples","Tobacco","Richmond, Virginia","3/4/1957"
"MOH","Molina Healthcare","Health Care","Managed Health Care","Long Beach, California","3/2/2022"
"MOS","The Mosaic Company","Materials","Fertilizers & Agricultural Chemicals","Tampa, Florida","9/26/2011"
"MPC","Marathon Petroleum","Energy","Oil & Gas Refining & Marketing","Findlay, Ohio","7/1/2011"
"MPWR","Monolithic Power Systems","Information Technology","Semiconductors","Kirkland, Washington","2/12/2021"
"MRK","Merck & Co.","Health Care","Pharmaceuticals","Kenilworth, New Jersey","3/4/1957"
"MRNA","Moderna","Health Care","Biotechnology","Cambridge, Massachusetts","7/21/2021"
"MRO","Marathon Oil","Energy","Oil & Gas Exploration & Production","Houston, Texas","5/1/1991"
"MS","Morgan Stanley","Financials","Investment Banking & Brokerage","New York City, New York",""
"MSCI","MSCI","Financials","Financial Exchanges & Data","New York City, New York","4/4/2018"
"MSFT","Microsoft","Information Technology","Systems Software","Redmond, Washington","6/1/1994"
"MSI","Motorola Solutions","Information Technology","Communications Equipment","Chicago, Illinois",""
"MTB","M&T Bank","Financials","Regional Banks","Buffalo, New York","2/23/2004"
"MTCH","Match Group","Communication Services","Interactive Media & Services","Dallas, Texas","9/20/2021"
"MTD","Mettler Toledo","Health Care","Life Sciences Tools & Services","Columbus, Ohio","9/6/2016"
"MU","Micron Technology","Information Technology","Semiconductors","Boise, Idaho","9/27/1994"
"NCLH","Norwegian Cruise Line Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","10/13/2017"
"NDAQ","Nasdaq, Inc.","Financials","Financial Exchanges & Data","New York City, New York","10/22/2008"
"NDSN","Nordson Corporation","Industrials","Industrial Machinery","Westlake, Ohio","2/15/2022"
"NEE","NextEra Energy","Utilities","Multi-Utilities","Juno Beach, Florida","6/30/1976"
"NEM","Newmont","Materials","Gold","Denver, Colorado","6/30/1969"
"NFLX","Netflix","Communication Services","Movies & Entertainment","Los Gatos, California","12/20/2010"
"NI","NiSource","Utilities","Multi-Utilities","Merrillville, Indiana",""
"NKE","Nike, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Washington County, Oregon","11/30/1988"
"NOC","Northrop Grumman","Industrials","Aerospace & Defense","West Falls Church, Virginia","6/30/1985"
"NOW","ServiceNow","Information Technology","Systems Software","Santa Clara, California","11/21/2019"
"NRG","NRG Energy","Utilities","Independent Power Producers & Energy Traders","Houston, Texas","1/29/2010"
"NSC","Norfolk Southern Railway","Industrials","Railroads","Atlanta, Georgia","3/4/1957"
"NTAP","NetApp","Information Technology","Technology Hardware, Storage & Peripherals","San Jose, California","6/25/1999"
"NTRS","Northern Trust","Financials","Asset Management & Custody Banks","Chicago, Illinois",""
"NUE","Nucor","Materials","Steel","Charlotte, North Carolina","4/30/1985"
"NVDA","Nvidia","Information Technology","Semiconductors","Santa Clara, California","11/30/2001"
"NVR","NVR, Inc.","Consumer Discretionary","Homebuilding","Reston, Virginia","9/26/2019"
"NWL","Newell Brands","Consumer Discretionary","Housewares & Specialties","Atlanta, Georgia","4/30/1989"
"NWS","News Corp (Class B)","Communication Services","Publishing","New York City, New York","9/18/2015"
"NWSA","News Corp (Class A)","Communication Services","Publishing","New York City, New York","8/1/2013"
"NXPI","NXP Semiconductors","Information Technology","Semiconductors","Eindhoven, Netherlands","3/22/2021"
"O","Realty Income","Real Estate","Retail REITs","San Diego, California","4/7/2015"
"ODFL","Old Dominion","Industrials","Trucking","Thomasville, North Carolina","12/9/2019"
"OGN","Organon & Co.","Health Care","Pharmaceuticals","Jersey City, New Jersey","6/3/2021"
"OKE","ONEOK","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","3/15/2010"
"OMC","Omnicom Group","Communication Services","Advertising","New York City, New York",""
"ON","ON Semiconductor","Information Technology","Semiconductors","Phoenix, Arizona","6/21/2022"
"ORCL","Oracle Corporation","Information Technology","Application Software","Austin, Texas","8/31/1989"
"ORLY","O'Reilly Auto Parts","Consumer Discretionary","Specialty Stores","Springfield, Missouri","3/27/2009"
"OTIS","Otis Worldwide","Industrials","Industrial Machinery","Farmington, Connecticut","4/3/2020"
"OXY","Occidental Petroleum","Energy","Oil & Gas Exploration & Production","Houston, Texas","12/31/1982"
"PARA","Paramount Global","Communication Services","Movies & Entertainment","New York City, New York",""
"PAYC","Paycom","Information Technology","Application Software","Oklahoma City, Oklahoma","1/28/2020"
"PAYX","Paychex","Information Technology","Data Processing & Outsourced Services","Penfield, New York",""
"PCAR","Paccar","Industrials","Construction Machinery & Heavy Trucks","Bellevue, Washington","12/31/1980"
"PCG","PG&E Corporation","Utilities","Multi-Utilities","San Francisco, California","10/3/2022"
"PEAK","Healthpeak","Real Estate","Health Care REITs","Long Beach, California","3/31/2008"
"PEG","Public Service Enterprise Group","Utilities","Electric Utilities","Newark, New Jersey","3/4/1957"
"PEP","PepsiCo","Consumer Staples","Soft Drinks","Purchase, New York","3/4/1957"
"PFE","Pfizer","Health Care","Pharmaceuticals","New York City, New York","3/4/1957"
"PFG","Principal Financial Group","Financials","Life & Health Insurance","Des Moines, Iowa","7/22/2002"
"PG","Procter & Gamble","Consumer Staples","Personal Products","Cincinnati, Ohio","3/4/1957"
"PGR","Progressive Corporation","Financials","Property & Casualty Insurance","Mayfield Village, Ohio","8/4/1997"
"PH","Parker Hannifin","Industrials","Industrial Machinery","Cleveland, Ohio","11/30/1985"
"PHM","PulteGroup","Consumer Discretionary","Homebuilding","Atlanta, Georgia","4/30/1984"
"PKG","Packaging Corporation of America","Materials","Paper Packaging","Lake Forest, Illinois","7/26/2017"
"PKI","PerkinElmer","Health Care","Health Care Equipment","Waltham, Massachusetts","5/31/1985"
"PLD","Prologis","Real Estate","Industrial REITs","San Francisco, California","7/17/2003"
"PM","Philip Morris International","Consumer Staples","Tobacco","New York City, New York","3/31/2008"
"PNC","PNC Financial Services","Financials","Regional Banks","Pittsburgh, Pennsylvania","4/30/1988"
"PNR","Pentair","Industrials","Industrial Machinery","Worsley, United Kingdom","10/1/2012"
"PNW","Pinnacle West","Utilities","Multi-Utilities","Phoenix, Arizona",""
"POOL","Pool Corporation","Consumer Discretionary","Distributors","Covington, Louisiana","10/7/2020"
"PPG","PPG Industries","Materials","Specialty Chemicals","Pittsburgh, Pennsylvania","3/4/1957"
"PPL","PPL Corporation","Utilities","Electric Utilities","Allentown, Pennsylvania",""
"PRU","Prudential Financial","Financials","Life & Health Insurance","Newark, New Jersey","7/22/2002"
"PSA","Public Storage","Real Estate","Specialized REITs","Glendale, California","8/19/2005"
"PSX","Phillips 66","Energy","Oil & Gas Refining & Marketing","Houston, Texas","5/1/2012"
"PTC","PTC","Information Technology","Application Software","Boston, Massachusetts","4/20/2021"
"PWR","Quanta Services","Industrials","Construction & Engineering","Houston, Texas","7/1/2009"
"PXD","Pioneer Natural Resources","Energy","Oil & Gas Exploration & Production","Irving, Texas","9/24/2008"
"PYPL","PayPal","Information Technology","Data Processing & Outsourced Services","San Jose, California","7/20/2015"
"QCOM","Qualcomm","Information Technology","Semiconductors","San Diego, California",""
"QRVO","Qorvo","Information Technology","Semiconductors","Greensboro, North Carolina","6/11/2015"
"RCL","Royal Caribbean Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","12/5/2014"
"RE","Everest Re","Financials","Reinsurance","Hamilton, Bermuda","6/19/2017"
"REG","Regency Centers","Real Estate","Retail REITs","Jacksonville, Florida","3/2/2017"
"REGN","Regeneron","Health Care","Biotechnology","Tarrytown, New York","5/1/2013"
"RF","Regions Financial Corporation","Financials","Regional Banks","Birmingham, Alabama","8/28/1998"
"RHI","Robert Half","Industrials","Human Resource & Employment Services","Menlo Park, California","12/5/2000"
"RJF","Raymond James","Financials","Investment Banking & Brokerage","St. Petersburg, Florida","3/20/2017"
"RL","Ralph Lauren Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York City, New York","2/2/2007"
"RMD","ResMed","Health Care","Health Care Equipment","San Diego, California","7/26/2017"
"ROK","Rockwell Automation","Industrials","Electrical Components & Equipment","Milwaukee, Wisconsin",""
"ROL","Rollins, Inc.","Industrials","Environmental & Facilities Services","Atlanta, Georgia","10/1/2018"
"ROP","Roper Technologies","Information Technology","Electronic Equipment & Instruments","Sarasota, Florida","12/23/2009"
"ROST","Ross Stores","Consumer Discretionary","Apparel Retail","Dublin, California","12/21/2009"
"RSG","Republic Services","Industrials","Environmental & Facilities Services","Phoenix, Arizona","12/5/2008"
"RTX","Raytheon Technologies","Industrials","Aerospace & Defense","Waltham, Massachusetts",""
"SBAC","SBA Communications","Real Estate","Specialized REITs","Boca Raton, Florida","9/1/2017"
"SBNY","Signature Bank","Financials","Regional Banks","New York City, New York","12/20/2021"
"SBUX","Starbucks","Consumer Discretionary","Restaurants","Seattle, Washington","6/7/2000"
"SCHW","Charles Schwab Corporation","Financials","Investment Banking & Brokerage","Westlake, Texas","6/2/1997"
"SEDG","SolarEdge","Information Technology","Semiconductor Equipment","Herzliya, Israel","12/20/2021"
"SEE","Sealed Air","Materials","Paper Packaging","Charlotte, North Carolina","3/4/1957"
"SHW","Sherwin-Williams","Materials","Specialty Chemicals","Cleveland, Ohio","6/30/1964"
"SIVB","SVB Financial","Financials","Regional Banks","Santa Clara, California","3/19/2018"
"SJM","The J.M. Smucker Company","Consumer Staples","Packaged Foods & Meats","Orrville, Ohio","11/6/2008"
"SLB","Schlumberger","Energy","Oil & Gas Equipment & Services","Curaçao, Kingdom of the Netherlands","3/31/1965"
"SNA","Snap-on","Industrials","Industrial Machinery","Kenosha, Wisconsin","9/30/1982"
"SNPS","Synopsys","Information Technology","Application Software","Mountain View, California","3/16/2017"
"SO","Southern Company","Utilities","Electric Utilities","Atlanta, Georgia","3/4/1957"
"SPG","Simon Property Group","Real Estate","Retail REITs","Indianapolis, Indiana","6/26/2002"
"SPGI","S&P Global","Financials","Financial Exchanges & Data","New York City, New York",""
"SRE","Sempra Energy","Utilities","Multi-Utilities","San Diego, California",""
"STE","Steris","Health Care","Health Care Equipment","Dublin, Ireland","12/23/2019"
"STLD","Steel Dynamics","Materials","Steel","Fort Wayne, Indiana","12/22/2022"
"STT","State Street Corporation","Financials","Asset Management & Custody Banks","Boston, Massachusetts",""
"STX","Seagate Technology","Information Technology","Technology Hardware, Storage & Peripherals","Dublin, Ireland","7/2/2012"
"STZ","Constellation Brands","Consumer Staples","Distillers & Vintners","Victor, New York","7/1/2005"
"SWK","Stanley Black & Decker","Industrials","Industrial Machinery","New Britain, Connecticut","9/30/1982"
"SWKS","Skyworks Solutions","Information Technology","Semiconductors","Irvine, California","3/12/2015"
"SYF","Synchrony Financial","Financials","Consumer Finance","Stamford, Connecticut","11/18/2015"
"SYK","Stryker Corporation","Health Care","Health Care Equipment","Kalamazoo, Michigan","12/12/2000"
"SYY","Sysco","Consumer Staples","Food Distributors","Houston, Texas","12/31/1986"
"T","AT&T","Communication Services","Integrated Telecommunication Services","Dallas, Texas","11/30/1983"
"TAP","Molson Coors Beverage Company","Consumer Staples","Brewers","Chicago, Illinois","6/30/1976"
"TDG","TransDigm Group","Industrials","Aerospace & Defense","Cleveland, Ohio","6/3/2016"
"TDY","Teledyne Technologies","Information Technology","Electronic Equipment & Instruments","Thousand Oaks, California","6/22/2020"
"TECH","Bio-Techne","Health Care","Life Sciences Tools & Services","Minneapolis, Minnesota","8/30/2021"
"TEL","TE Connectivity","Information Technology","Electronic Manufacturing Services","Schaffhausen, Switzerland","10/17/2011"
"TER","Teradyne","Information Technology","Semiconductor Equipment","North Reading, Massachusetts","9/21/2020"
"TFC","Truist","Financials","Regional Banks","Charlotte, North Carolina","12/4/1997"
"TFX","Teleflex","Health Care","Health Care Equipment","Wayne, Pennsylvania","1/18/2019"
"TGT","Target Corporation","Consumer Discretionary","General Merchandise Stores","Minneapolis, Minnesota","12/31/1976"
"TJX","TJX Companies","Consumer Discretionary","Apparel Retail","Framingham, Massachusetts","9/30/1985"
"TMO","Thermo Fisher Scientific","Health Care","Life Sciences Tools & Services","Waltham, Massachusetts","8/3/2004"
"TMUS","T-Mobile US","Communication Services","Wireless Telecommunication Services","Bellevue, Washington","7/15/2019"
"TPR","Tapestry, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York City, New York",""
"TRGP","Targa Resources","Energy","Oil & Gas Storage & Transportation","Houston, Texas","10/12/2022"
"TRMB","Trimble Inc.","Information Technology","Electronic Equipment & Instruments","Westminster, Colorado","1/21/2021"
"TROW","T. Rowe Price","Financials","Asset Management & Custody Banks","Baltimore, Maryland",""
"TRV","The Travelers Companies","Financials","Property & Casualty Insurance","New York City, New York","8/21/2002"
"TSCO","Tractor Supply","Consumer Discretionary","Specialty Stores","Brentwood, Tennessee","1/24/2014"
"TSLA","Tesla, Inc.","Consumer Discretionary","Automobile Manufacturers","Austin, Texas","12/21/2020"
"TSN","Tyson Foods","Consumer Staples","Packaged Foods & Meats","Springdale, Arkansas","8/10/2005"
"TT","Trane Technologies","Industrials","Building Products","Dublin, Ireland","11/17/2010"
"TTWO","Take-Two Interactive","Communication Services","Interactive Home Entertainment","New York City, New York","3/19/2018"
"TXN","Texas Instruments","Information Technology","Semiconductors","Dallas, Texas",""
"TXT","Textron","Industrials","Aerospace & Defense","Providence, Rhode Island","12/31/1978"
"TYL","Tyler Technologies","Information Technology","Application Software","Plano, Texas","6/22/2020"
"UAL","United Airlines Holdings","Industrials","Airlines","Chicago, Illinois","9/3/2015"
"UDR","UDR, Inc.","Real Estate","Residential REITs","Highlands Ranch, Colorado","3/7/2016"
"UHS","Universal Health Services","Health Care","Health Care Facilities","King of Prussia, Pennsylvania","9/20/2014"
"ULTA","Ulta Beauty","Consumer Discretionary","Specialty Stores","Bolingbrook, Illinois","4/18/2016"
"UNH","UnitedHealth Group","Health Care","Managed Health Care","Minnetonka, Minnesota","7/1/1994"
"UNP","Union Pacific Corporation","Industrials","Railroads","Omaha, Nebraska","3/4/1957"
"UPS","United Parcel Service","Industrials","Air Freight & Logistics","Sandy Springs, Georgia","7/22/2002"
"URI","United Rentals","Industrials","Trading Companies & Distributors","Stamford, Connecticut","9/20/2014"
"USB","U.S. Bank","Financials","Diversified Banks","Minneapolis, Minnesota",""
"V","Visa Inc.","Information Technology","Data Processing & Outsourced Services","San Francisco, California","12/21/2009"
"VFC","VF Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Denver, Colorado","6/30/1979"
"VICI","Vici Properties","Real Estate","Hotel & Resort REITs","New York City, New York","6/8/2022"
"VLO","Valero Energy","Energy","Oil & Gas Refining & Marketing","San Antonio, Texas",""
"VMC","Vulcan Materials Company","Materials","Construction Materials","Birmingham, Alabama","6/30/1999"
"VRSK","Verisk","Industrials","Research & Consulting Services","Jersey City, New Jersey","10/8/2015"
"VRSN","Verisign","Information Technology","Internet Services & Infrastructure","Dulles, Virginia","2/1/2006"
"VRTX","Vertex Pharmaceuticals","Health Care","Biotechnology","Cambridge, Massachusetts","9/23/2013"
"VTR","Ventas","Real Estate","Health Care REITs","Chicago, Illinois","3/4/2009"
"VTRS","Viatris","Health Care","Pharmaceuticals","Pittsburgh, Pennsylvania","4/23/2004"
"VZ","Verizon","Communication Services","Integrated Telecommunication Services","New York City, New York","11/30/1983"
"WAB","Wabtec","Industrials","Construction Machinery & Heavy Trucks","Pittsburgh, Pennsylvania","2/27/2019"
"WAT","Waters Corporation","Health Care","Health Care Distributors","Milford, Massachusetts",""
"WBA","Walgreens Boots Alliance","Consumer Staples","Drug Retail","Deerfield, Illinois","12/31/1979"
"WBD","Warner Bros. Discovery","Communication Services","Broadcasting","New York City, New York","4/11/2022"
"WDC","Western Digital","Information Technology","Technology Hardware, Storage & Peripherals","San Jose, California","7/1/2009"
"WEC","WEC Energy Group","Utilities","Electric Utilities","Milwaukee, Wisconsin","10/31/2008"
"WELL","Welltower","Real Estate","Health Care REITs","Toledo, Ohio","1/30/2009"
"WFC","Wells Fargo","Financials","Diversified Banks","San Francisco, California","6/30/1976"
"WHR","Whirlpool Corporation","Consumer Discretionary","Household Appliances","Benton Harbor, Michigan",""
"WM","Waste Management","Industrials","Environmental & Facilities Services","Houston, Texas",""
"WMB","Williams Companies","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","3/31/1975"
"WMT","Walmart","Consumer Staples","Hypermarkets & Super Centers","Bentonville, Arkansas","8/31/1982"
"WRB","Berkley","Financials","Property & Casualty Insurance","Greenwich, Connecticut","12/5/2019"
"WRK","WestRock","Materials","Paper Packaging","Atlanta, Georgia",""
"WST","West Pharmaceutical Services","Health Care","Health Care Supplies","Exton, Pennsylvania","5/22/2020"
"WTW","Willis Towers Watson","Financials","Insurance Brokers","London, United Kingdom","1/5/2016"
"WY","Weyerhaeuser","Real Estate","Specialized REITs","Seattle, Washington",""
"WYNN","Wynn Resorts","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","11/14/2008"
"XEL","Xcel Energy","Utilities","Multi-Utilities","Minneapolis, Minnesota","3/4/1957"
"XOM","ExxonMobil","Energy","Integrated Oil & Gas","Irving, Texas","3/4/1957"
"XRAY","Dentsply Sirona","Health Care","Health Care Supplies","Charlotte, North Carolina","11/14/2008"
"XYL","Xylem Inc.","Industrials","Industrial Machinery","White Plains, New York","11/1/2011"
"YUM","Yum! Brands","Consumer Discretionary","Restaurants","Louisville, Kentucky","10/6/1997"
"ZBH","Zimmer Biomet","Health Care","Health Care Equipment","Warsaw, Indiana","8/7/2001"
"ZBRA","Zebra Technologies","Information Technology","Electronic Equipment & Instruments","Lincolnshire, Illinois","12/23/2019"
"ZION","Zions Bancorporation","Financials","Regional Banks","Salt Lake City, Utah","6/22/2001"
"ZTS","Zoetis","Health Care","Pharmaceuticals","Parsippany, New Jersey","6/21/2013"
