location,size,total_sqft,bath,price,bhk,price_per_sqft
1st Block Jayanagar,4 Bedroom,2400.0,4.0,450.0,4,18750.0
Hosakerehalli,2 BHK,1085.0,2.0,47.74,2,4400.0
Budigere,2 BHK,1139.0,2.0,56.8,2,4986.830553116769
Haralur Road,2 BHK,1092.0,2.0,44.0,2,4029.3040293040294
Pattandur Agrahara,3 BHK,1767.0,3.0,98.0,3,5546.1233729485
HMT Layout,3 BHK,1700.0,3.0,80.0,3,4705.882352941177
Bellandur,3 BHK,1692.0,3.0,88.0,3,5200.945626477542
6th Phase JP Nagar,3 BHK,1645.0,3.0,100.0,3,6079.0273556231
Uttarahalli,3 BHK,1345.0,2.0,57.0,3,4237.918215613383
Basapura,2 BHK,1100.0,2.0,60.0,2,5454.545454545455
Gollarapalya Hosahalli,3 BHK,1408.0,3.0,62.0,3,4403.409090909091
Banashankari Stage III,4 Bedroom,2400.0,4.0,240.0,4,10000.0
Kadugodi,4 Bedroom,1920.0,4.0,200.0,4,10416.666666666666
Bileshivale,5 Bedroom,6040.0,4.0,170.0,5,2814.569536423841
Thigalarapalya,3 BHK,2072.0,4.0,150.0,3,7239.382239382239
Malleshwaram,2 BHK,1420.0,2.0,158.0,2,11126.760563380281
Electronics City Phase 1,3 Bedroom,2040.0,3.0,137.0,3,6715.686274509804
Sarjapur  Road,3 BHK,1220.0,3.0,56.0,3,4590.163934426229
8th Phase JP Nagar,4 Bedroom,1200.0,4.0,145.0,4,12083.333333333334
B Channasandra,2 BHK,1300.0,2.0,79.0,2,6076.923076923077
Electronics City Phase 1,2 BHK,1150.0,2.0,39.0,2,3391.304347826087
KR Puram,2 BHK,1470.0,2.0,86.0,2,5850.340136054422
Hosa Road,2 BHK,1063.0,2.0,31.9,2,3000.9407337723424
Harappanahalli,2 BHK,1311.0,2.0,48.0,2,3661.3272311212813
Dollars Colony,4 BHK,3500.0,4.0,350.0,4,10000.0
Nagarbhavi,4 Bedroom,600.0,2.0,100.0,4,16666.666666666668
Arehalli,3 BHK,1400.0,2.0,55.0,3,3928.5714285714284
Kanakpura Road,2 Bedroom,2200.0,2.0,62.0,2,2818.181818181818
Thanisandra,3 BHK,1430.0,2.0,56.0,3,3916.083916083916
Vidyaranyapura,2 BHK,1060.0,2.0,55.0,2,5188.679245283019
Cambridge  road,3 BHK,1000.0,2.0,110.0,3,11000.0
Sector 7 HSR Layout,3 BHK,1760.0,3.0,145.0,3,8238.636363636364
Whitefield,3 BHK,2010.0,3.0,92.0,3,4577.114427860696
Kanakpura Road,3 BHK,1480.0,2.0,64.23,3,4339.864864864865
8th Phase JP Nagar,3 BHK,1230.0,2.0,43.5,3,3536.5853658536585
Gottigere,3 BHK,1300.0,3.0,65.0,3,5000.0
Vajarahalli,4 Bedroom,800.0,4.0,120.0,4,15000.0
Frazer Town,4 BHK,4850.0,6.0,385.0,4,7938.144329896907
Singasandra,2 BHK,1100.0,2.0,52.0,2,4727.272727272727
Harlur,3 BHK,1752.12,3.0,116.0,3,6620.551103805676
Marathahalli,2 BHK,957.0,2.0,46.9,2,4900.73145245559
Balagere,1 BHK,790.5,1.0,41.9,1,5300.44275774826
Hennur Gardens,3 BHK,1942.0,3.0,102.0,3,5252.317198764161
Ashirvad Colony,2 BHK,1000.0,2.0,53.0,2,5300.0
Yeshwanthpur,1 BHK,668.0,1.0,36.85,1,5516.4670658682635
Cholanayakanahalli,5 Bedroom,3000.0,6.0,1000.0,5,33333.333333333336
Nagarbhavi,3 Bedroom,600.0,2.0,80.0,3,13333.333333333334
Uttarahalli,2 BHK,1089.0,2.0,43.55,2,3999.0817263544536
Thanisandra,3 BHK,1800.0,3.0,90.0,3,5000.0
Yelahanka New Town,1 BHK,960.0,2.0,18.0,1,1875.0
Yelahanka,2 BHK,1036.0,2.0,39.35,2,3798.262548262548
Marathahalli,3 BHK,1583.0,3.0,105.0,3,6632.975363234365
7th Phase JP Nagar,4 Bedroom,3300.0,4.0,150.0,4,4545.454545454545
Padmanabhanagar,2 BHK,1100.0,2.0,65.0,2,5909.090909090909
Thyagaraja Nagar,1 Bedroom,800.0,1.0,100.0,1,12500.0
Vittasandra,2 BHK,1246.0,2.0,65.0,2,5216.69341894061
Dodda Nekkundi,2 BHK,850.0,2.0,28.0,2,3294.1176470588234
Raja Rajeshwari Nagar,2 BHK,1196.0,2.0,51.51,2,4306.8561872909695
Thanisandra,3 BHK,1697.0,3.0,114.0,3,6717.737183264585
TC Palaya,2 Bedroom,1000.0,2.0,64.0,2,6400.0
HRBR Layout,3 BHK,1567.0,3.0,90.0,3,5743.458838544991
Anekal,2 Bedroom,1200.0,1.0,36.0,2,3000.0
Sarjapur  Road,4 Bedroom,3750.0,6.0,290.0,4,7733.333333333333
Veerannapalya,2 BHK,950.0,2.0,45.0,2,4736.8421052631575
Howthinarayanappa Garden,2 BHK,1022.0,2.0,52.0,2,5088.062622309198
Kammasandra,2 BHK,1018.0,2.0,23.45,2,2303.5363457760313
Basavanagara,4 Bedroom,2000.0,3.0,25.0,4,1250.0
Bharathi Nagar,2 BHK,1322.0,2.0,68.0,2,5143.721633888048
Marsur,4 Bedroom,1800.0,4.0,145.0,4,8055.555555555556
Doddakallasandra,3 BHK,1460.0,2.0,58.39,3,3999.3150684931506
SRINIVASAPURA,2 BHK,990.0,2.0,44.55,2,4500.0
Cambridge Layout,3 BHK,2400.0,3.0,260.0,3,10833.333333333334
Whitefield,3 BHK,1635.0,2.0,85.0,3,5198.7767584097855
Rajaji Nagar,4 BHK,3526.0,4.0,558.0,4,15825.2977878616
Padmanabhanagar,4 Bedroom,3400.0,3.0,210.0,4,6176.470588235294
Ramakrishnappa Layout,3 BHK,2770.0,3.0,460.0,3,16606.49819494585
EPIP Zone,4 BHK,3035.0,5.0,200.0,4,6589.785831960461
Maragondanahalli,3 BHK,1533.0,3.0,85.0,3,5544.683626875408
Akshaya Nagar,3 BHK,1720.0,3.0,134.0,3,7790.697674418605
Frazer Town,3 BHK,2000.0,3.0,200.0,3,10000.0
Yeshwanthpur,2 BHK,1185.0,2.0,75.84,2,6400.0
Varthur Road,2 BHK,900.0,2.0,27.0,2,3000.0
Attibele,1 BHK,395.0,1.0,10.25,1,2594.9367088607596
Electronic City Phase II,2 BHK,1031.0,2.0,56.35,2,5465.56741028128
3rd Block Banashankari,6 Bedroom,2400.0,8.0,650.0,6,27083.333333333332
Thanisandra,4 BHK,2650.0,4.0,240.0,4,9056.603773584906
Basaveshwara Nagar,5 Bedroom,2400.0,5.0,415.0,5,17291.666666666668
Uttarahalli,3 BHK,1330.0,2.0,46.55,3,3500.0
Hennur,2 BHK,1259.0,2.0,57.0,2,4527.4027005559965
Raja Rajeshwari Nagar,3 BHK,1570.0,3.0,88.0,3,5605.095541401274
Bisuvanahalli,3 BHK,1075.0,2.0,36.0,3,3348.8372093023254
Whitefield,2 BHK,1216.0,2.0,79.0,2,6496.710526315789
Sarjapur  Road,3 BHK,1428.0,2.0,66.0,3,4621.848739495798
Begur Road,2 BHK,1160.0,2.0,40.59,2,3499.1379310344832
 ittamadu,3 Bedroom,600.0,2.0,110.0,3,18333.333333333332
Doddakannelli,3 BHK,1475.0,3.0,70.0,3,4745.762711864407
Harlur,3 BHK,1754.0,3.0,135.0,3,7696.693272519954
Rayasandra,3 BHK,1639.0,3.0,83.0,3,5064.063453325199
Hennur Road,3 BHK,1804.0,3.0,102.0,3,5654.10199556541
Whitefield,3 Bedroom,1200.0,3.0,56.2,3,4683.333333333333
Anand Nagar,2 BHK,1135.0,2.0,55.0,2,4845.814977973569
Begur Road,2 BHK,1260.0,2.0,46.62,2,3700.0
Peenya,5 Bedroom,1440.0,5.0,110.0,5,7638.888888888889
Hennur Road,3 BHK,2160.0,3.0,160.0,3,7407.407407407408
Rayasandra,7 Bedroom,700.0,6.0,85.0,7,12142.857142857143
Rachenahalli,2 BHK,1220.0,2.0,59.5,2,4877.049180327869
Margondanahalli,2 Bedroom,1200.0,2.0,67.0,2,5583.333333333333
Yelahanka,2 BHK,1300.0,2.0,65.0,2,5000.0
Cox Town,1 BHK,605.0,1.0,29.0,1,4793.388429752066
Vijayanagar,6 Bedroom,1230.0,4.0,210.0,6,17073.170731707316
Bhoganhalli,2 BHK,1444.0,2.0,75.97,2,5261.0803324099725
Amruthahalli,2 BHK,924.0,2.0,45.0,2,4870.12987012987
Kaikondrahalli,2 BHK,1000.0,2.0,30.0,2,3000.0
Vishveshwarya Layout,4 Bedroom,600.0,4.0,95.0,4,15833.333333333334
Patelappa Layout,3 Bedroom,1200.0,3.0,225.0,3,18750.0
Bisuvanahalli,2 BHK,845.0,2.0,29.0,2,3431.9526627218934
Kanakpura Road,2 BHK,700.0,2.0,35.0,2,5000.0
Kothanur,2 BHK,1187.0,2.0,58.0,2,4886.2679022746415
Kaggadasapura,3 BHK,1625.0,3.0,55.0,3,3384.6153846153848
 Devarachikkanahalli,2 Bedroom,1200.0,2.0,83.0,2,6916.666666666667
Pulkeshi Nagar,2 BHK,1452.55,2.0,110.0,2,7572.889057175313
"Thanisandra Main Road, ",3 BHK,2357.0,3.0,151.0,3,6406.448875689436
Kaval Byrasandra,2 BHK,1200.0,2.0,49.5,2,4125.0
Budigere,2 BHK,1139.0,2.0,56.85,2,4991.220368744513
Basavangudi,1 Bedroom,600.0,1.0,97.5,1,16250.0
Kanakpura Road,3 BHK,1660.0,3.0,75.0,3,4518.0722891566265
Jayanagar,2 BHK,1170.0,2.0,105.0,2,8974.358974358975
Somasundara Palya,2 BHK,1448.0,2.0,68.0,2,4696.132596685083
Kadugodi,3 BHK,1762.0,3.0,110.0,3,6242.905788876277
Kaggadasapura,2 BHK,1105.0,2.0,38.65,2,3497.737556561086
Yelahanka,3 BHK,1825.0,3.0,105.0,3,5753.424657534247
 Bhoganhalli,1 RK,296.0,1.0,22.89,1,7733.108108108108
Kumbalgodu,5 Bedroom,1200.0,4.0,85.0,5,7083.333333333333
Thanisandra,2 BHK,1185.0,2.0,43.0,2,3628.6919831223627
Electronic City Phase II,3 BHK,1320.0,2.0,38.12,3,2887.8787878787875
Hulimavu,2 BHK,1058.0,2.0,48.0,2,4536.862003780719
Bellandur,2 BHK,1220.0,2.0,60.0,2,4918.0327868852455
Sarjapur,2 BHK,925.0,2.0,25.0,2,2702.7027027027025
Old Madras Road,2 BHK,1200.0,2.0,72.0,2,6000.0
Kengeri,3 BHK,1160.0,2.0,40.6,3,3500.0
Kengeri Satellite Town,3 Bedroom,600.0,4.0,72.0,3,12000.0
banashankari stage iii sa,3 BHK,1411.0,3.0,91.72,3,6500.3543586109145
Bannerghatta Road,3 BHK,1550.0,3.0,78.0,3,5032.258064516129
Green Glen Layout,4 BHK,3250.0,4.0,230.0,4,7076.923076923077
Haralur Road,3 BHK,2475.0,4.0,130.0,3,5252.525252525253
7th Phase JP Nagar,4 BHK,2503.0,4.0,188.0,4,7510.986815821015
Marathahalli,4 BHK,2524.0,5.0,190.0,4,7527.733755942948
Kaggadasapura,2 BHK,1063.0,2.0,42.0,2,3951.081843838194
Kanakpura Road,2 BHK,1077.0,2.0,37.7,2,3500.4642525533895
Manayata Tech Park,2 BHK,1200.0,3.0,44.0,2,3666.6666666666665
Hosakerehalli,4 BHK,1500.0,3.0,70.0,4,4666.666666666667
Jalahalli,2 BHK,1045.0,2.0,76.77,2,7346.411483253589
Kanakapura,3 BHK,1290.0,2.0,45.15,3,3500.0
Hoodi,2 BHK,1400.0,2.0,78.0,2,5571.428571428572
Begur Road,3 BHK,1600.0,3.0,58.14,3,3633.75
Jayanagar,3 BHK,3095.0,3.0,375.0,3,12116.316639741519
Nagavara,3 BHK,1545.0,2.0,58.0,3,3754.045307443366
Sarjapur  Road,3 BHK,1680.0,3.0,112.0,3,6666.666666666667
Amruthnagar,2 BHK,1350.0,2.0,67.5,2,5000.0
Gottigere,2 BHK,950.0,2.0,38.0,2,4000.0
Thanisandra,2 BHK,1050.0,2.0,45.0,2,4285.714285714285
Banashankari Stage V,3 BHK,1305.0,2.0,49.0,3,3754.7892720306513
Hosakerehalli,4 Bedroom,800.0,4.0,120.0,4,15000.0
Kodichikkanahalli,5 BHK,2700.0,7.0,125.0,5,4629.62962962963
MS Pallya,3 Bedroom,1100.0,3.0,78.0,3,7090.909090909091
Thanisandra,6 Bedroom,3500.0,5.0,160.0,6,4571.428571428572
Begur Road,3 BHK,1634.0,3.0,83.33,3,5099.7552019583845
Prithvi Layout,2 BHK,1352.0,2.0,85.0,2,6286.98224852071
Balagere,2 BHK,1145.0,2.0,65.0,2,5676.855895196507
Alfa Garden Layout,2 BHK,1240.0,2.0,43.79,2,3531.451612903226
7th Phase JP Nagar,3 BHK,2200.0,3.0,190.0,3,8636.363636363636
Bommasandra Industrial Area,2 BHK,1020.0,2.0,39.0,2,3823.529411764706
Palace Guttahalli,4 BHK,3600.0,4.0,365.0,4,10138.888888888889
Raja Rajeshwari Nagar,2 BHK,1168.0,2.0,61.0,2,5222.602739726028
Electronic City Phase II,2 BHK,1205.0,2.0,75.0,2,6224.066390041494
Yeshwanthpur,2 BHK,1195.0,2.0,100.0,2,8368.200836820084
CV Raman Nagar,2 BHK,1028.0,2.0,49.0,2,4766.536964980544
Akshya Nagar,2 BHK,1175.0,2.0,48.27,2,4108.085106382979
Pai Layout,3 BHK,1550.0,2.0,90.0,3,5806.451612903225
Yeshwanthpur,3 BHK,1826.0,3.0,165.0,3,9036.144578313253
Hoodi,5 Bedroom,2400.0,5.0,160.0,5,6666.666666666667
Yelahanka,3 BHK,1603.0,3.0,96.0,3,5988.7710542732375
Marathahalli,3 BHK,1350.0,3.0,72.0,3,5333.333333333333
KR Puram,1 BHK,714.0,1.0,28.0,1,3921.5686274509803
Whitefield,2 BHK,1215.0,2.0,65.0,2,5349.794238683127
Malleshpalya,3 BHK,1405.0,2.0,77.0,3,5480.427046263345
KR Puram,2 BHK,1142.0,2.0,51.0,2,4465.84938704028
Akshaya Vana,4 Bedroom,4000.0,4.0,170.0,4,4250.0
Whitefield,3 BHK,1870.0,3.0,90.0,3,4812.834224598931
Subramanyapura,2 BHK,1313.0,2.0,73.0,2,5559.786747905559
Hennur Gardens,3 BHK,1945.0,3.0,120.0,3,6169.665809768638
Thanisandra,3 BHK,1573.0,3.0,95.0,3,6039.4151303242215
Sarjapur  Road,2 BHK,1255.0,2.0,92.0,2,7330.677290836654
Benson Town,4 BHK,1400.0,3.0,91.15,4,6510.714285714285
Kannamangala,2 BHK,1235.0,2.0,43.63,2,3532.7935222672063
Sarjapur  Road,3 BHK,1380.0,2.0,52.0,3,3768.1159420289855
Ramamurthy Nagar,7 Bedroom,1500.0,9.0,250.0,7,16666.666666666668
Vittasandra,2 BHK,1238.0,2.0,67.0,2,5411.954765751211
Chennammana Kere,3 BHK,1465.0,2.0,74.72,3,5100.341296928327
Thigalarapalya,2 BHK,1418.0,2.0,103.0,2,7263.7517630465445
Victoria Layout,3 BHK,1650.0,3.0,165.0,3,10000.0
 Anekal,1 RK,351.0,1.0,16.0,1,4558.404558404558
Uttarahalli,2 BHK,1279.0,2.0,48.0,2,3752.9319781078966
Kasavanhalli,3 Bedroom,1870.0,3.0,200.0,3,10695.187165775402
BCC Layout,4 Bedroom,1500.0,5.0,230.0,4,15333.333333333334
Hebbal,3 BHK,2526.0,2.0,250.0,3,9897.070467141726
Mathikere,3 Bedroom,1550.0,2.0,150.0,3,9677.41935483871
Uttarahalli,3 BHK,1845.0,2.0,68.27,3,3700.271002710027
Motappa Layout,3 BHK,1360.0,2.0,59.27,3,4358.088235294118
Friends Colony,3 BHK,1150.0,2.0,75.0,3,6521.739130434783
Whitefield,2 BHK,1260.0,2.0,49.5,2,3928.5714285714284
Doddabidrakallu,3 Bedroom,1200.0,3.0,74.0,3,6166.666666666667
Dasanapura,2 BHK,965.0,2.0,42.5,2,4404.145077720207
Hoodi,3 BHK,1350.0,2.0,48.0,3,3555.5555555555557
Bhoganhalli,2 BHK,1447.0,2.0,75.97,2,5250.172771250864
Arehalli,3 BHK,1229.0,3.0,86.03,3,7000.0
Kudlu,2 BHK,1027.0,2.0,43.0,2,4186.952288218111
Gottigere,2 BHK,1153.0,2.0,48.5,2,4206.418039895923
Whitefield,4 BHK,2856.0,5.0,145.5,4,5094.53781512605
Malleshpalya,2 BHK,1065.0,2.0,50.0,2,4694.835680751174
Tala Cauvery Layout,2 BHK,1030.0,2.0,61.0,2,5922.330097087379
Mallasandra,2 BHK,1340.0,2.0,61.0,2,4552.238805970149
Marathahalli,4 BHK,4000.0,5.0,212.0,4,5300.0
Sri Balaji Krupa Layout,1 Bedroom,600.0,1.0,32.0,1,5333.333333333333
Begur Road,3 BHK,1410.0,2.0,44.42,3,3150.354609929078
Varthur,2 BHK,1055.0,2.0,45.35,2,4298.578199052133
Yelahanka,2 BHK,1304.0,2.0,79.0,2,6058.2822085889575
Sadashiva Nagar,4 BHK,2720.0,4.0,485.0,4,17830.882352941175
Kammasandra,2 BHK,990.0,2.0,31.5,2,3181.818181818182
7th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2,3800.0
Tumkur Road,1 BHK,700.0,1.0,30.09,1,4298.571428571428
Sonnenahalli,2 BHK,1120.0,2.0,43.0,2,3839.285714285714
Haralur Road,2 BHK,1300.0,2.0,73.0,2,5615.384615384615
Tumkur Road,2 BHK,1239.0,2.0,82.0,2,6618.240516545601
Sarjapur  Road,3 BHK,1403.0,3.0,51.63,3,3679.9714896650034
Hosa Road,2 BHK,1365.0,2.0,92.0,2,6739.92673992674
8th block Koramangala,2 BHK,1165.0,2.0,135.0,2,11587.982832618025
Subramanyapura,3 BHK,1130.0,2.0,45.19,3,3999.1150442477874
Green Glen Layout,3 BHK,1776.42,3.0,105.0,3,5910.764346269463
Vidyaranyapura,4 Bedroom,900.0,4.0,175.0,4,19444.444444444445
Haralur Road,2 BHK,1194.0,2.0,47.0,2,3936.348408710218
Bidadi,2 BHK,1107.0,2.0,33.0,2,2981.029810298103
Nagavara,3 BHK,2319.0,3.0,180.0,3,7761.966364812419
Nallurhalli,3 BHK,1520.0,3.0,80.0,3,5263.1578947368425
Kannamangala,3 BHK,1536.0,3.0,89.0,3,5794.270833333333
Teachers Colony,4 BHK,3000.0,4.0,240.0,4,8000.0
Belathur,2 BHK,1050.0,2.0,38.0,2,3619.0476190476193
Hoodi,3 BHK,1850.0,3.0,146.0,3,7891.891891891892
Billekahalli,2 BHK,1112.0,2.0,62.0,2,5575.5395683453235
Marathahalli,3 BHK,1535.0,3.0,72.5,3,4723.127035830619
Kanakpura Road,2 BHK,1050.0,2.0,35.0,2,3333.3333333333335
Banashankari,4 Bedroom,2400.0,3.0,370.0,4,15416.666666666666
7th Phase JP Nagar,3 BHK,1250.0,3.0,65.0,3,5200.0
Kalena Agrahara,2 BHK,1187.0,2.0,52.0,2,4380.791912384162
9th Phase JP Nagar,2 BHK,1164.0,2.0,56.0,2,4810.996563573884
Electronic City Phase II,3 BHK,1395.0,2.0,62.78,3,4500.358422939068
Arekere,3 BHK,2072.0,3.0,108.0,3,5212.355212355213
Kanakpura Road,3 BHK,1450.0,3.0,60.91,3,4200.689655172414
Bannerghatta Road,3 BHK,1550.0,3.0,82.0,3,5290.322580645161
Sampige Layout,2 BHK,1315.0,2.0,90.0,2,6844.106463878327
Hebbal,4 BHK,3067.0,4.0,230.0,4,7499.184871209651
Amruthnagar,2 BHK,1210.0,2.0,72.0,2,5950.413223140496
Bisuvanahalli,3 BHK,1075.0,2.0,47.0,3,4372.093023255814
Sathya Sai Layout,6 BHK,11338.0,9.0,1000.0,6,8819.897689186806
Virgonagar,3 BHK,1215.0,3.0,42.2,3,3473.251028806584
Kaggadasapura,3 BHK,1470.0,2.0,75.0,3,5102.040816326531
Dodsworth Layout,4 Bedroom,30000.0,4.0,2100.0,4,7000.0
Hosur Road,3 BHK,1590.0,2.0,125.0,3,7861.635220125786
Kanakpura Road,2 BHK,1050.0,2.0,36.75,2,3500.0
Raja Rajeshwari Nagar,2 BHK,1306.0,2.0,55.91,2,4281.010719754977
Malleshwaram,3 BHK,2000.0,3.0,250.0,3,12500.0
"Kudlu Village, ",3 BHK,1445.0,3.0,64.0,3,4429.065743944637
Sarjapur  Road,3 BHK,1220.0,3.0,58.0,3,4754.098360655737
Sarjapur,4 Bedroom,3190.0,3.0,160.0,4,5015.673981191223
Ramagondanahalli,2 BHK,1215.0,2.0,51.26,2,4218.930041152264
Budigere,3 BHK,1920.0,2.0,88.0,3,4583.333333333333
Dodda Nekkundi,2 BHK,1390.0,2.0,60.0,2,4316.546762589928
Battarahalli,3 Bedroom,800.0,2.0,75.0,3,9375.0
Nagarbhavi,3 Bedroom,600.0,3.0,100.0,3,16666.666666666668
Hoodi,2 BHK,1196.0,2.0,71.74,2,5998.327759197324
Bannerghatta Road,3 BHK,1550.0,2.0,75.0,3,4838.709677419355
Thigalarapalya,2 BHK,1418.0,2.0,101.0,2,7122.708039492242
Varthur Road,3 BHK,1655.0,3.0,115.0,3,6948.640483383686
KR Puram,2 BHK,1115.0,2.0,33.45,2,3000.0000000000005
Rajiv Gandhi Nagar,2 BHK,1170.0,2.0,68.0,2,5811.965811965812
Anekal,2 BHK,1035.0,2.0,38.3,2,3700.483091787439
Singasandra,3 BHK,1306.0,2.0,58.0,3,4441.04134762634
Kengeri,2 BHK,750.0,2.0,22.0,2,2933.3333333333335
Thanisandra,3 BHK,1917.0,3.0,122.0,3,6364.110589462703
Kaggadasapura,3 BHK,1615.0,3.0,58.0,3,3591.331269349845
Marathahalli,2 BHK,1071.0,2.0,52.25,2,4878.618113912232
Koramangala,2 BHK,1325.0,2.0,119.0,2,8981.132075471698
Malleshwaram,7 Bedroom,3000.0,4.0,900.0,7,30000.0
5th Phase JP Nagar,3 BHK,1400.0,2.0,88.0,3,6285.714285714285
Tumkur Road,2 BHK,1246.0,2.0,82.0,2,6581.0593900481545
Sarjapur,2 BHK,1215.0,2.0,40.0,2,3292.1810699588477
Munnekollal,2 BHK,1200.0,2.0,49.5,2,4125.0
Kurubarahalli,4 Bedroom,450.0,3.0,53.0,4,11777.777777777777
Kodigehaali,2 BHK,1200.0,2.0,60.0,2,5000.0
Kaval Byrasandra,2 BHK,945.0,2.0,50.0,2,5291.005291005291
Benson Town,4 BHK,4460.0,5.0,650.0,4,14573.991031390135
Hormavu,2 BHK,1175.0,2.0,52.0,2,4425.531914893617
Whitefield,2 BHK,920.0,2.0,63.0,2,6847.826086956522
Hosakerehalli,4 BHK,3024.0,5.0,350.0,4,11574.074074074075
Bidadi,2 Bedroom,1600.0,2.0,110.0,2,6875.0
Sanjay nagar,4 Bedroom,750.0,2.0,110.0,4,14666.666666666666
Sector 4 HSR Layout,4 Bedroom,2400.0,4.0,700.0,4,29166.666666666668
Bhagyalakshmi Avenue,2 BHK,955.0,1.0,34.01,2,3561.256544502618
Ardendale,3 BHK,1750.0,3.0,100.0,3,5714.285714285715
Uttarahalli,3 BHK,1425.0,2.0,64.0,3,4491.228070175439
Basavangudi,3 BHK,2150.0,3.0,265.0,3,12325.581395348838
Whitefield,2 BHK,1165.0,2.0,40.5,2,3476.3948497854076
Kaggadasapura,2 BHK,1050.0,2.0,48.0,2,4571.428571428572
Cholanayakanahalli,3 BHK,1370.0,2.0,75.0,3,5474.4525547445255
Electronic City,3 BHK,1374.0,2.0,72.0,3,5240.174672489083
Harlur,3 BHK,1754.0,3.0,124.0,3,7069.555302166476
Kothanur,3 BHK,1847.0,3.0,110.0,3,5955.603681645913
Ambedkar Nagar,3 BHK,1850.0,4.0,139.0,3,7513.513513513513
Chikka Tirupathi,3 Bedroom,3297.0,3.0,135.0,3,4094.631483166515
Doddakannelli,2 BHK,1187.0,2.0,45.0,2,3791.0699241786015
Bommasandra Industrial Area,3 BHK,1400.0,2.0,40.44,3,2888.5714285714284
Kengeri Hobli,3 Bedroom,600.0,2.0,30.0,3,5000.0
Chamrajpet,2 BHK,1350.0,2.0,180.0,2,13333.333333333334
Doddaballapur,3 Bedroom,3000.0,2.0,120.0,3,4000.0
Thanisandra,1 BHK,693.0,1.0,34.3,1,4949.494949494949
Dairy Circle,3 BHK,1980.0,3.0,224.0,3,11313.131313131313
KR Puram,2 BHK,1021.0,2.0,48.0,2,4701.273261508325
Thigalarapalya,2 BHK,1165.0,2.0,95.0,2,8154.50643776824
Horamavu Agara,3 BHK,1756.0,3.0,92.0,3,5239.179954441914
Bharathi Nagar,3 BHK,1739.0,3.0,105.0,3,6037.952846463485
Varthur,2 BHK,1280.0,2.0,65.0,2,5078.125
Marathahalli,2 BHK,1215.0,2.0,58.86,2,4844.444444444444
Munnekollal,2 BHK,950.0,2.0,46.5,2,4894.736842105263
Kengeri,3 BHK,1082.0,2.0,49.0,3,4528.650646950093
7th Phase JP Nagar,2 BHK,1050.0,2.0,42.0,2,4000.0
Devanahalli,2 BHK,1080.0,2.0,53.35,2,4939.814814814815
Arekere,2 BHK,1100.0,2.0,55.0,2,5000.0
Ardendale,4 Bedroom,3200.0,4.0,205.0,4,6406.25
Sarjapur  Road,2 BHK,1311.0,2.0,78.0,2,5949.656750572082
Raja Rajeshwari Nagar,3 BHK,1608.0,3.0,67.98,3,4227.611940298508
Begur Road,2 BHK,1160.0,2.0,36.0,2,3103.448275862069
Whitefield,2 BHK,1170.0,2.0,71.0,2,6068.376068376068
Kengeri,2 BHK,1155.0,2.0,40.6,2,3515.151515151515
Hebbal,3 BHK,1255.0,2.0,77.68,3,6189.641434262949
Rayasandra,2 BHK,1065.0,2.0,44.95,2,4220.657276995305
Neeladri Nagar,1 BHK,674.0,1.0,21.0,1,3115.727002967359
Ambedkar Nagar,3 BHK,1936.0,4.0,126.0,3,6508.264462809917
Sarakki Nagar,3 BHK,2289.0,3.0,260.0,3,11358.671909130624
Abbaiah Reddy Layout,2 BHK,1100.0,2.0,38.45,2,3495.454545454546
Ramagondanahalli,3 BHK,2257.0,4.0,157.0,3,6956.136464333185
Nagarbhavi,2 BHK,1055.0,2.0,55.0,2,5213.270142180095
Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,51.87,3,3390.1960784313724
Dinnur,3 BHK,1700.0,3.0,97.0,3,5705.882352941177
Raja Rajeshwari Nagar,3 BHK,1575.0,2.0,78.0,3,4952.380952380952
Frazer Town,3 BHK,3500.0,4.0,330.0,3,9428.57142857143
Rajiv Nagar,2 BHK,1263.0,2.0,93.32,2,7388.756927949327
KR Puram,3 BHK,1559.0,3.0,69.315,3,4446.119307248236
Kengeri Satellite Town,2 BHK,1043.0,2.0,65.0,2,6232.023010546501
Hennur,2 BHK,1255.0,2.0,53.5,2,4262.948207171315
JP Nagar,2 BHK,1352.5,2.0,93.865,2,6940.110905730129
Chandapura,1 BHK,590.0,1.0,13.57,1,2300.0
Yelahanka,3 Bedroom,1550.0,3.0,120.0,3,7741.935483870968
Sarjapur  Road,3 BHK,1220.0,3.0,56.0,3,4590.163934426229
Rustam Bagh Layout,3 BHK,1900.0,3.0,160.0,3,8421.052631578947
Vasantha Vallabha Nagar,3 BHK,1360.0,3.0,55.0,3,4044.1176470588234
Vyalikaval,2 BHK,1100.0,2.0,75.0,2,6818.181818181818
8th Phase JP Nagar,3 BHK,1455.0,3.0,73.31,3,5038.487972508591
KR Puram,2 BHK,1035.0,2.0,40.5,2,3913.0434782608695
Harlur,2 BHK,1152.0,2.0,69.0,2,5989.583333333333
Bellandur,2 BHK,1299.0,2.0,82.0,2,6312.548113933795
Sarjapur  Road,3 BHK,1157.0,2.0,75.0,3,6482.281763180639
Rachenahalli,2 BHK,1050.0,2.0,52.5,2,5000.0
Pai Layout,2 BHK,1050.0,2.0,40.0,2,3809.5238095238096
Vittasandra,2 BHK,1246.0,2.0,67.4,2,5409.309791332264
