DrawNumber,DrawDate,Ball1,Ball2,Ball3,Ball4,Ball5,LuckyStar1,LuckyStar2,UKMillionaireMaker,BallSet,DrawMachine,Match_5_and_2_Stars_roll,Match_5_and_2_Stars_UKWinners,Match_5_and_2_Stars_PrizePerWinner,Match_5_and_2_Stars_UKPrizeFund,Match_5_and_2_Stars_TotalWinners,Match_5_and_1_Star_UKWinners,Match_5_and_1_Star_PrizePerWinner,Match_5_and_1_Star_UKPrizeFund,Match_5_and_1_Star_TotalWinners,Match_5_UKWinners,Match_5_PrizePerWinner,Match_5_UKPrizeFund,Match_5_TotalWinners,Match_4_and_2_Stars_UKWinners,Match_4_and_2_Stars_PrizePerWinner,Match_4_and_2_Stars_UKPrizeFund,Match_4_and_2_Stars_TotalWinners,Match_4_and_1_Star_UKWinners,Match_4_and_1_Star_PrizePerWinner,Match_4_and_1_Star_UKPrizeFund,Match_4_and_1_Star_TotalWinners,Match_3_and_2_Stars_UKWinners,Match_3_and_2_Stars_PrizePerWinner,Match_3_and_2_Stars_UKPrizeFund,Match_3_and_2_Stars_TotalWinners,Match_4_UKWinners,Match_4_PrizePerWinner,Match_4_UKPrizeFund,Match_4_TotalWinners,Match_2_and_2_Stars_UKWinners,Match_2_and_2_Stars_PrizePerWinner,Match_2_and_2_Stars_UKPrizeFund,Match_2_and_2_Stars_TotalWinners,Match_3_and_1_Star_UKWinners,Match_3_and_1_Star_PrizePerWinner,Match_3_and_1_Star_UKPrizeFund,Match_3_and_1_Star_TotalWinners,Match_3_UKWinners,Match_3_PrizePerWinner,Match_3_UKPrizeFund,Match_3_TotalWinners,Match_1_and_2_Stars_UKWinners,Match_1_and_2_Stars_PrizePerWinner,Match_1_and_2_Stars_UKPrizeFund,Match_1_and_2_Stars_TotalWinners,Match_2_and_1_Star_UKWinners,Match_2_and_1_Star_PrizePerWinner,Match_2_and_1_Star_UKPrizeFund,Match_2_and_1_Star_TotalWinners,Match_2_UKWinners,Match_2_PrizePerWinner,Match_2_UKPrizeFund,Match_2_TotalWinners,Totals_UKWinners,Totals_UKPrizeFund,Totals_TotalWinners,JackpotWinner_country,TicketPrice
1594,30-12-2022,48,42,17,34,47,1,9,['ZSCR30630'],19,13,1,0,15080700.0,0.0,0,1,114552.9,114552.9,4,1,15298.8,15298.8,7,13,741.2,9635.6,45,144,106.8,15379.2,575,409,44.3,18118.7,1466,387,32.1,12422.7,1419,5812,10.7,62188.4,21194,8135,8.6,69961.0,29331,18606,6.9,128381.4,68285,32985,4.6,151731.0,123442,121543,4.1,498326.3,434802,282734.0,2.8,791655.2,1011708.0,470770,1887651.2,1692278,,2.5
1593,27-12-2022,33,31,19,34,43,5,3,['JMZT15349'],19,13,0,0,23875805.0,0.0,1,0,0.0,0.0,2,0,0.0,0.0,1,11,745.2,8197.2,32,136,84.8,11532.8,518,372,34.2,12722.4,1355,275,32.1,8827.5,1015,5242,7.8,40887.6,20900,6887,7.4,50963.8,24579,14083,6.9,97172.7,48772,29323,3.3,96765.9,120871,99528,3.5,348348.0,363093,202872.0,2.9,588328.8,715483.0,358729,1263746.7,1296622,['Portugal'],2.5
1592,23-12-2022,16,17,26,23,35,5,11,['HQCD42504'],19,13,1,0,14999100.0,0.0,0,1,242568.7,242568.7,2,1,11338.4,11338.4,10,13,1038.7,13503.1,34,258,80.7,20820.6,806,535,37.2,19902.0,1846,566,26.5,14999.0,1817,7601,9.5,72209.5,25410,11598,6.7,77706.6,39914,25877,5.6,144911.2,88854,37919,4.6,174427.4,130022,159106,3.4,540960.4,548914,355956.0,2.4,854294.4,1237331.0,599431,2187641.3,2074960,,2.5
1591,20-12-2022,1,20,11,17,27,4,5,['HPBN01675'],19,13,0,0,45082941.0,0.0,1,3,55086.0,165258.0,7,1,10013.5,10013.5,9,9,539.8,4858.2,52,279,48.0,13392.0,1077,546,28.5,15561.0,1916,591,17.4,10283.4,2197,6673,8.0,53384.0,23778,10576,5.2,54995.2,40581,22313,4.7,104871.1,84067,31228,4.3,134280.4,111476,137709,2.9,399356.1,512306,279004.0,2.3,641709.2,1034823.0,488932,1607962.1,1812290,['Spain'],2.5
1590,16-12-2022,2,15,44,35,19,7,2,['JMZT77520'],19,13,1,0,35395096.0,0.0,0,1,239849.7,239849.7,2,0,0.0,0.0,4,10,634.9,6349.0,55,214,79.4,16991.6,810,550,27.7,15235.0,2454,456,30.5,13908.0,1565,8275,6.6,54615.0,35975,9289,7.0,65023.0,37644,19377,6.8,131763.6,72341,42389,3.3,139883.7,180570,137527,3.4,467591.8,553257,283003.0,2.8,792408.4,1067805.0,501091,1943618.8,1952482,,2.5
1589,13-12-2022,30,3,12,26,9,10,11,['VMZV82706'],19,13,1,0,23268384.0,0.0,0,2,91688.8,183377.6,4,5,5042.1,25210.5,17,5,1160.8,5804.0,23,212,63.0,13356.0,780,269,48.6,13073.4,1068,683,13.2,9015.6,2764,3916,12.9,50516.4,14135,7480,7.1,53108.0,28374,21574,4.1,88453.4,92344,19649,6.4,125753.6,71516,93436,4.0,373744.0,353831,252475.0,2.1,530197.5,1065206.0,399706,1471610.0,1630062,,2.5
1588,09-12-2022,8,46,31,27,50,3,1,['ZKXW22119'],19,13,1,0,14614900.0,0.0,0,1,242138.5,242138.5,2,3,18863.9,56591.7,6,11,1007.2,11079.2,35,145,111.2,16124.0,584,388,48.2,18701.6,1422,394,33.6,13238.4,1432,5642,11.2,63190.4,21477,7857,9.1,71498.7,29299,17851,7.7,137452.7,64789,31768,4.9,155663.2,121538,118835,4.2,499107.0,452332,267124.0,3.0,801372.0,999745.0,450019,2086157.4,1692661,,2.5
1587,06-12-2022,20,25,27,26,12,8,12,['XKZF85935'],19,13,0,0,123320251.0,0.0,1,4,112168.3,448673.2,5,0,0.0,0.0,4,15,669.3,10039.5,61,274,83.3,22824.2,902,486,45.7,22210.2,1737,683,23.9,16323.7,2335,7447,11.4,84895.8,24294,11930,7.5,89475.0,41422,29613,5.5,162871.5,104275,37969,5.6,212626.4,123593,167272,3.8,635633.6,576321,417630.0,2.4,1002312.0,1447771.0,673323,2707885.1,2322721,['Belgium'],2.5
1586,02-12-2022,39,12,35,21,45,11,6,['VJXP00186'],20,13,1,0,111540000.0,0.0,0,1,838125.5,838125.5,1,1,15067.9,15067.9,13,25,984.0,24600.0,62,346,100.1,34634.6,1122,728,46.5,33852.0,2555,830,30.0,24900.0,2779,10922,10.9,119049.8,38067,15360,8.6,132096.0,53798,35265,7.0,246855.0,123299,57325,5.1,292357.5,202760,221490,4.2,930258.0,776392,509770.0,2.9,1478333.0,1820950.0,852063,4170129.3,3021798,,2.5
1585,29-11-2022,20,38,35,15,24,12,8,['VHWZ84768'],21,14,1,0,75920333.0,0.0,0,1,434567.2,434567.2,1,0,0.0,0.0,1,8,1318.1,10544.8,24,177,105.5,18673.5,552,341,58.6,19982.6,1051,409,30.8,12597.2,1405,4759,13.3,63294.7,16173,7341,9.2,67537.2,25966,17793,7.0,124551.0,64037,25724,6.2,159488.8,86791,109280,4.4,480832.0,389623,267171.0,2.8,748078.8,972239.0,433004,2140147.8,1557863,,2.5
1584,25-11-2022,21,19,39,35,37,2,6,['XGWL62203'],21,14,1,0,67132541.0,0.0,0,2,133649.9,267299.8,4,3,12494.4,37483.2,10,10,997.8,9978.0,39,243,88.2,21432.6,812,575,38.1,21907.5,1986,511,31.5,16096.5,1687,7842,8.8,69009.6,30221,10138,8.2,83131.6,35846,22844,7.0,159908.0,78160,42609,4.0,170436.0,164651,149637,3.9,583584.3,533344,333214.0,2.9,966320.6,1156230.0,567628,2406587.7,2002990,,2.5
1583,22-11-2022,24,29,42,21,22,3,11,['TFVX51760'],21,14,1,0,56748589.0,0.0,0,0,0.0,0.0,2,0,0.0,0.0,3,3,1340.3,4020.9,20,142,98.1,13930.2,503,328,43.0,14104.0,1214,320,31.3,10016.0,1170,5660,9.6,54336.0,19094,7175,7.6,54530.0,26626,15839,6.3,99785.7,60413,30804,4.5,138618.0,101554,110580,3.5,387030.0,411289,243746.0,2.5,609365.0,921198.0,414597,1385735.8,1543086,,2.5
1582,18-11-2022,41,13,35,19,16,11,1,['ZCVC19508'],21,14,1,0,47550303.0,0.0,0,1,167274.4,167274.4,3,3,10662.2,31986.6,11,11,1107.0,12177.0,33,201,102.2,20542.2,658,426,49.9,21257.4,1424,489,29.0,14181.0,1722,6309,11.7,73815.3,21279,9062,9.1,82464.2,30629,22401,6.5,145606.5,78666,33587,5.4,181369.8,114630,134426,4.2,564589.2,463190,331822.0,2.6,862737.2,1201485.0,538738,2178000.8,1913730,,2.5
1581,15-11-2022,31,21,13,24,33,1,12,['HCVM44086'],21,14,1,0,35479091.0,0.0,0,2,121743.9,243487.8,3,0,0.0,0.0,6,6,1063.5,6381.0,25,141,82.3,11604.3,595,281,44.0,12364.0,1176,412,18.8,7745.6,1932,3981,11.3,44985.3,16057,6337,7.7,48794.9,26062,18476,4.7,86837.2,79418,21185,5.6,118636.0,80918,89797,4.1,368167.7,348245,251800.0,2.2,553960.0,1026922.0,392418,1502963.8,1581359,,2.5
1580,11-11-2022,25,2,19,44,24,2,10,['ZZTJ84772'],21,14,1,0,26494350.0,0.0,0,1,154870.7,154870.7,3,2,13573.4,27146.8,8,12,966.3,11595.6,35,225,81.5,18337.5,764,454,40.9,18568.6,1607,456,29.2,13315.2,1585,6820,9.7,66154.0,23625,9935,7.3,72525.5,35260,23080,6.0,138480.0,78973,33961,4.9,166408.9,117657,139753,3.5,489135.5,509901,328283.0,2.5,820707.5,1164650.0,542982,1997245.8,1934068,,2.5
1579,08-11-2022,50,32,33,5,3,1,8,['TZTM89596'],21,14,1,0,14856300.0,0.0,0,1,115923.8,115923.8,3,1,27093.3,27093.3,3,5,1687.7,8438.5,15,132,103.4,13648.8,451,234,50.3,11770.2,979,331,31.2,10327.2,1108,4036,10.4,41974.4,16606,5706,8.6,49071.6,22369,13276,6.9,91604.4,51701,23034,4.8,110563.2,90609,88362,3.8,335775.6,355759,206520.0,2.6,536952.0,821545.0,341638,1353143.0,1361148,,2.5
1578,04-11-2022,11,2,37,47,45,2,3,"['HXTD14995', 'JXSN51271', 'JXSS60732', 'JXTC14778', 'JXTH86450', 'MXSP73821', 'MXSR06941', 'MXSS43414', 'MXSW73290', 'TXSP75880', 'TXSQ82361', 'TXSR64455', 'TXSW54970', 'VXSM90494', 'VXTG16749', 'XXTG64368', 'ZWSC63710', 'ZXSN93656', 'ZXSS56173', 'ZXTD07538']",21,14,0,0,140883229.0,0.0,1,1,387318.3,387318.3,2,4,18104.5,72418.0,10,19,1105.7,21008.3,51,399,94.4,37665.6,1100,837,51.3,42938.1,2139,849,34.1,28950.9,2259,12545,11.3,141758.5,33996,18552,8.3,153981.6,51290,39232,7.6,298163.2,104682,68954,5.0,344770.0,193417,280600,3.8,1066280.0,797170,591303.0,3.0,1773909.0,1616411.0,1013295,4369161.5,2802528,['France'],2.5
1577,01-11-2022,42,48,19,37,47,6,1,['XWRZ39862'],21,14,1,0,122547643.0,0.0,0,1,257850.0,257850.0,2,2,15065.9,30131.8,8,7,1501.6,10511.2,25,212,110.4,23404.8,626,499,54.2,27045.8,1347,487,35.7,17385.9,1439,7754,11.3,87620.2,22587,10270,9.9,101673.0,28884,24854,7.5,186405.0,70570,41177,5.1,210002.7,126246,152654,4.5,686943.0,446372,365365.0,3.0,1096095.0,1075611.0,603282,2735068.4,1773717,,2.5
1576,28-10-2022,28,35,21,16,14,11,1,['TTQW20439'],20,15,1,0,111894067.0,0.0,0,0,0.0,0.0,1,7,9462.3,66236.1,16,21,645.9,13563.9,73,695,37.4,25993.0,2319,615,46.7,28720.5,1966,2014,8.6,17320.4,7431,9027,11.7,105615.9,27405,14108,7.9,111453.2,45029,36837,5.3,195236.1,124632,46883,5.6,262544.8,144772,195877,4.1,803095.7,618311,489291.0,2.5,1223227.5,1628382.0,795375,2853007.1,2600337,,2.5
1575,25-10-2022,24,7,46,34,39,6,1,['HTRH78960'],20,15,1,0,100076816.0,0.0,0,1,244791.7,244791.7,2,1,22884.7,22884.7,5,9,1113.7,10023.3,32,203,102.1,20726.3,643,449,49.3,22135.7,1407,505,31.7,16008.5,1534,6673,11.0,73403.0,22103,9032,9.2,83094.4,29347,22241,6.9,153462.9,72763,35690,5.0,178450.0,122624,133968,4.2,562665.6,453110,326156.0,2.8,913236.8,1095415.0,534928,2300882.9,1798985,,2.5
1574,21-10-2022,26,28,38,25,40,1,6,['XSQK64503'],20,15,1,0,90544468.0,0.0,0,1,292110.9,292110.9,2,3,12412.9,37238.7,11,11,1215.1,13366.1,35,249,94.5,23530.5,829,483,47.8,23087.4,1731,561,31.2,17503.2,1865,7225,11.0,79475.0,26235,10265,8.9,91358.5,36432,24845,7.0,173915.0,85805,39605,4.9,194064.5,146703,152632,4.1,625791.2,558724,369470.0,2.8,1034516.0,1324150.0,605350,2605957.0,2182522,,2.5
1573,18-10-2022,42,3,5,48,13,6,1,['MRPW81128'],20,15,1,0,78341770.0,0.0,0,1,102375.7,102375.7,4,2,19141.5,38283.0,5,12,961.6,11539.2,31,174,92.2,16042.8,595,383,42.3,16200.9,1372,356,27.1,9647.6,1504,5499,9.5,52240.5,21352,7767,7.4,57475.8,30673,18181,5.7,103631.7,73614,29338,4.7,137888.6,108701,116988,3.5,409458.0,451977,277114.0,2.4,665073.6,1064813.0,455815,1619857.4,1754641,,2.5
1572,14-10-2022,28,48,29,24,34,7,3,['TQPT28825'],20,15,1,0,69613418.0,0.0,0,0,0.0,0.0,3,1,30162.0,30162.0,4,12,799.5,9594.0,47,190,101.2,19228.0,684,633,33.3,21078.9,2196,437,34.1,14901.7,1505,9654,6.7,64681.8,37816,9905,8.5,84192.5,33592,20955,7.7,161353.5,69182,56330,2.7,152091.0,233505,155013,3.7,573548.1,542207,324664.0,2.9,941525.6,1099185.0,577794,2072357.1,2019926,,2.5
1571,11-10-2022,40,35,8,32,23,8,1,['HPPG75814'],20,15,1,0,59380835.0,0.0,0,0,0.0,0.0,1,5,17930.7,89653.5,5,6,1034.2,6205.2,27,177,75.9,13434.3,677,322,41.5,13363.0,1308,398,23.1,9193.8,1654,4922,10.2,50204.4,18717,7370,7.4,54538.0,28746,17374,6.1,105981.4,64639,27185,4.7,127769.5,102097,104897,3.8,398608.6,395850,243263.0,2.7,656810.1,900105.0,405919,1525761.8,1513826,,2.5
1570,07-10-2022,50,27,45,26,42,12,1,['HNPB46383'],20,15,1,0,49259271.0,0.0,0,0,0.0,0.0,1,3,16372.3,49116.9,7,3,1274.8,3824.4,28,202,107.7,21755.4,610,352,53.3,18761.6,1304,408,34.9,14239.2,1399,5761,11.5,66251.5,21194,7785,10.1,78628.5,26962,19231,7.3,140386.3,69411,31705,5.3,168036.5,114346,118220,4.6,543812.0,419972,310277.0,2.7,837747.9,1151977.0,493947,1942560.2,1807211,,2.5
1569,04-10-2022,3,28,18,43,42,12,3,['XMNG12243'],20,15,1,0,36121026.0,0.0,0,0,0.0,0.0,6,1,10516.9,10516.9,8,7,770.7,5394.9,34,133,85.7,11398.1,563,262,44.9,11763.8,1135,349,25.6,8934.4,1400,4328,11.0,47608.0,16195,6242,7.6,47439.2,26024,14923,6.0,89538.0,61054,23221,5.4,125393.4,83444,93540,3.7,346098.0,379440,221353.0,2.5,553382.5,888552.0,364359,1257467.2,1457855,,2.5
1568,30-09-2022,2,16,11,1,26,3,12,['VLMZ56531'],19,13,1,0,27036551.0,0.0,0,1,119917.8,119917.8,4,2,14013.3,28026.6,8,13,997.6,12968.8,35,236,68.5,16166.0,939,424,48.2,20436.8,1410,673,19.9,13392.7,2396,6250,11.8,73750.0,20078,10312,7.1,73215.2,37307,25964,5.0,129820.0,98004,31381,5.7,178871.7,104135,138652,3.7,513012.4,506261,338023.0,2.3,777452.9,1280166.0,551931,1957030.9,2050743,,2.5
1567,27-09-2022,34,4,44,20,21,3,1,['TKMT32580'],19,13,1,0,15232000.0,0.0,0,1,81492.1,81492.1,4,0,0.0,0.0,3,10,847.4,8474.0,28,144,88.6,12758.4,493,257,44.4,11410.8,1039,252,28.3,7131.6,1145,4129,10.0,41290.0,16185,5900,7.7,45430.0,23499,13614,6.1,83045.4,54838,22312,4.5,100404.0,90109,89012,3.6,320443.2,357150,198777.0,2.6,516820.2,796179.0,334408,1228699.7,1340672,,2.5
1566,23-09-2022,22,35,48,15,14,8,3,['HJML89118'],19,13,0,1,171815297.8,171815297.8,1,3,93099.6,279298.8,8,1,24867.3,24867.3,7,30,695.1,20853.0,78,346,81.6,28233.6,1223,862,33.7,29049.4,3125,756,28.8,21772.8,2570,12926,8.0,103408.0,46012,15508,7.4,114759.2,55468,33630,6.6,221958.0,116597,70650,3.7,261405.0,251145,232436,3.5,813526.0,826670,500944.0,2.7,1352548.8,1738164.0,868093,175086977.7,3041068,['UK'],2.5
1565,20-09-2022,21,11,32,48,23,12,3,['MHLP25577'],19,13,1,0,152925599.0,0.0,0,2,82017.1,164034.2,7,3,12198.3,36594.9,11,7,1019.3,7135.1,41,293,77.0,22561.0,999,609,45.9,27953.1,1771,752,23.8,17897.6,2396,7943,11.3,89755.9,25261,12447,7.4,92107.8,43062,28873,5.7,164576.1,103568,39955,5.5,219752.5,130620,168371,3.7,622972.7,605372,397625.0,2.5,994062.5,1453014.0,656880,2459403.4,2366122,,2.5
1564,16-09-2022,49,10,45,36,27,3,4,['TGKR07347'],19,13,1,0,140833357.0,0.0,0,2,120098.5,240197.0,6,4,24059.1,96236.4,7,7,1380.4,9662.8,38,325,86.2,28015.0,1121,621,50.8,31546.8,2009,693,30.5,21136.5,2347,9495,11.3,107293.5,31691,14810,8.0,118480.0,50031,30660,7.0,214620.0,105337,52611,5.0,263055.0,177657,208647,3.8,792858.6,733690,435556.0,2.9,1263112.4,1541747.0,753431,3186214.0,2645681,,2.5
1563,13-09-2022,40,9,12,15,47,1,11,['VFKF36212'],19,13,1,0,124482154.0,0.0,0,1,284724.0,284724.0,2,0,0.0,0.0,9,8,1337.2,10697.6,31,197,105.3,20744.1,725,474,47.6,22562.4,1694,523,31.2,16317.6,1813,6678,12.2,81471.6,23218,9950,9.0,89550.0,35047,24237,6.4,155116.8,91240,35818,5.6,200580.8,126596,145348,4.2,610461.6,529536,361537.0,2.6,939996.2,1375378.0,584771,2432222.7,2185289,,2.5
1562,09-09-2022,26,17,23,24,27,4,9,['TDJL68325'],19,13,1,0,112723000.0,0.0,0,2,112345.2,224690.4,7,2,16708.9,33417.8,11,24,806.3,19351.2,71,390,68.1,26559.0,1547,1003,28.9,28986.7,3846,886,22.8,20200.8,3427,15096,6.8,102652.8,57158,16415,6.6,108339.0,65480,35214,5.5,193677.0,147134,71243,3.4,242226.2,282824,230808,3.3,761666.4,935906,488332.0,2.4,1171996.8,2053887.0,859415,2933764.1,3551298,,2.5
1561,06-09-2022,10,44,7,29,22,4,5,['XCJH16417'],19,13,1,0,14626800.0,0.0,0,1,45051.0,45051.0,8,0,0.0,0.0,8,11,690.4,7594.4,38,234,52.7,12331.8,916,373,33.4,12458.2,1529,404,19.2,7756.8,1868,5108,8.9,45461.2,20167,8358,5.4,45133.2,36811,16766,5.0,83830.0,73191,25439,4.5,114475.5,98756,108880,3.0,326640.0,465267,220255.0,2.4,528612.0,933795.0,385829,1229344.1,1632354,,2.5
1560,02-09-2022,7,45,12,20,13,3,12,['HBJD99886'],19,13,0,1,110978200.9,110978200.9,1,1,130074.9,130074.9,5,7,8941.3,62589.1,17,11,1183.6,13019.6,40,317,71.0,22507.0,1227,651,44.2,28774.2,2083,780,22.5,17550.0,2875,9567,10.9,104280.3,29649,15050,6.5,97825.0,55173,34624,5.2,180044.8,129049,49760,5.4,268704.0,150508,210916,3.4,717114.4,747913,492904.0,2.3,1133679.2,1778737.0,814589,113754363.4,2897277,['UK'],2.5
1559,30-08-2022,6,10,4,15,19,1,4,['JZHC39437'],21,14,1,0,97113219.0,0.0,0,2,80257.7,160515.4,6,3,6252.5,18757.5,18,6,796.7,4780.2,44,345,42.8,14766.0,1507,567,29.9,16953.3,2278,655,17.2,11266.0,2787,7182,8.4,60328.8,28293,12204,5.5,67122.0,48513,25702,4.8,123369.6,102550,33515,4.7,157520.5,128023,148924,3.3,491449.2,574500,329673.0,2.3,758247.9,1287400.0,558778,1885076.4,2175919,,2.5
1558,26-08-2022,22,23,44,25,38,12,11,['HXGQ67225'],21,14,1,0,86284946.0,0.0,0,1,100610.5,100610.5,6,1,15676.2,15676.2,9,9,1220.6,10985.4,36,216,106.3,22960.8,761,460,54.8,25208.0,1559,624,26.9,16785.6,2228,6473,13.5,87385.5,22218,10503,9.2,96627.6,36246,27121,6.0,162726.0,103764,34755,6.4,222432.0,117951,152731,4.5,687289.5,526132,395301.0,2.5,988252.5,1503262.0,628195,2436939.6,2314172,,2.5
1557,23-08-2022,48,39,26,19,31,2,3,['HWGL40944'],21,14,1,0,73999475.0,0.0,0,0,0.0,0.0,0,3,111262.4,333787.2,5,7,1492.0,10444.0,22,188,87.8,16506.4,688,355,55.5,19702.5,1150,383,34.5,13213.5,1299,5469,12.2,66721.8,18375,8622,8.6,74149.2,29118,18313,7.7,141010.1,59930,29738,5.3,157611.4,106314,126681,4.0,506724.0,444562,261847.0,3.2,837910.4,893378.0,451606,2177780.5,1554841,,2.5
1556,19-08-2022,9,2,19,38,13,2,6,['HVFX25268'],21,14,1,0,66099798.0,0.0,0,4,66729.8,266919.2,8,1,11342.4,11342.4,11,14,670.0,9380.0,58,241,65.5,15785.5,1092,628,25.9,16265.2,2913,580,25.2,14616.0,2104,9038,6.9,62362.2,38526,12414,6.0,74484.0,48895,25862,5.6,144827.2,97525,43918,3.7,162496.6,176398,165821,3.2,530627.2,638876,359960.0,2.5,899900.0,1328725.0,618481,2209005.5,2335131,,2.5
1555,16-08-2022,10,25,14,39,32,7,8,['TTFN56594'],21,14,1,0,55133982.0,0.0,0,0,0.0,0.0,1,1,11425.2,11425.2,8,5,889.6,4448.0,32,197,76.2,15011.4,688,409,43.2,17668.8,1283,380,28.7,10906.0,1353,5301,10.6,56190.6,18294,7926,7.3,57859.8,29745,16310,7.1,115801.0,56424,27680,4.9,135632.0,98087,117329,3.5,410651.5,432022,240450.0,3.0,721350.0,825623.0,415988,1556944.3,1463560,,2.5
1554,12-08-2022,14,42,35,17,34,10,6,['JSFF14595'],21,14,1,0,46494644.0,0.0,0,0,0.0,0.0,1,1,23917.3,23917.3,5,8,1128.7,9029.6,33,201,88.0,17688.0,779,413,45.1,18626.3,1605,471,26.6,12528.6,1913,6425,11.1,71317.5,22802,8838,8.5,75123.0,33419,20879,6.6,137801.4,80193,34346,5.3,182033.8,119960,128095,4.2,537999.0,471237,307688.0,2.8,861526.4,1146192.0,507365,1947590.9,1878139,,2.5
1553,09-08-2022,47,18,21,19,27,11,5,['HRDZ09022'],21,14,1,0,34583514.0,0.0,0,0,0.0,0.0,1,2,18010.5,36021.0,5,5,1274.9,6374.5,22,151,93.4,14103.4,553,385,40.2,15477.0,1356,381,30.2,11506.2,1267,5243,9.8,51381.4,19501,7944,7.5,59580.0,28461,17261,6.1,105292.1,64345,26313,4.8,126302.4,99093,111657,3.6,401965.2,419668,247875.0,2.5,619687.5,943205.0,417217,1447690.7,1577477,,2.5
1552,05-08-2022,29,3,44,33,35,10,8,['ZPCZ59978'],21,14,1,0,25623593.0,0.0,0,0,0.0,0.0,3,1,22916.1,22916.1,5,13,829.9,10788.7,43,177,110.6,19576.2,594,382,51.7,19749.4,1343,396,33.8,13384.8,1444,5430,12.4,67332.0,19596,8317,9.0,74853.0,29962,19505,6.9,134584.5,72826,29221,5.7,166559.7,106863,121707,4.3,523340.1,449494,289093.0,2.8,809460.4,1086210.0,474242,1862544.9,1768383,,2.5
1551,02-08-2022,28,48,18,40,7,11,8,['ZPCX03765'],21,14,1,0,14220500.0,0.0,0,1,92579.7,92579.7,4,0,0.0,0.0,3,5,962.7,4813.5,28,127,79.5,10096.5,624,345,42.5,14662.5,1233,322,26.8,8629.6,1374,4368,11.5,50232.0,16037,6883,7.5,51622.5,27347,14646,6.5,95199.0,58837,22898,5.6,128228.8,82240,94120,4.0,376480.0,358935,212543.0,2.8,595120.4,834701.0,356258,1427664.5,1381363,,2.5
1550,29-07-2022,38,48,43,23,3,8,3,['VMCC97492'],20,15,0,0,35051148.0,0.0,1,0,0.0,0.0,3,3,13661.6,40984.8,9,14,736.4,10309.6,52,194,79.6,15442.4,886,608,29.4,17875.2,2530,407,31.3,12739.1,1674,8439,7.9,66668.1,32761,9675,7.4,71595.0,39072,19846,7.4,146860.4,73325,44672,3.7,165286.4,173838,137755,3.9,537244.5,528289,288771.0,3.1,895190.1,1053160.0,510384,1980195.6,1905600,['Switzerland'],2.5
1549,26-07-2022,3,5,17,27,25,9,1,['TMCJ55939'],20,15,1,0,23142411.0,0.0,0,3,78618.9,235856.7,5,1,5742.0,5742.0,16,8,665.4,5323.2,43,252,51.7,13028.4,1018,481,27.5,13227.5,2020,651,15.4,10025.4,2530,6005,8.0,48040.0,24340,9731,5.6,54493.6,38350,22571,4.4,99312.4,90657,27038,4.5,121671.0,108805,119463,3.3,394227.9,466657,278072.0,2.2,611758.4,1093742.0,464276,1612706.5,1828183,,2.5
1548,22-07-2022,32,29,50,18,16,11,4,"['HKZV79639', 'HLBV40337', 'HLBZ70493', 'HLBZ97624', 'HLCD55780', 'JKZR49852', 'JKZX76382', 'JLBP33427', 'JLBX22889', 'JLBZ08015', 'MKZS56053', 'MLBP32603', 'TLBV45330', 'TLBX74150', 'VLBM95005', 'VLBR92839', 'VLBV11038', 'VLBV62420', 'ZKZZ61647', 'ZLBQ79666', 'ZLBS85547', 'ZLBT04024']",20,15,1,0,14482300.0,0.0,0,0,0.0,0.0,0,3,79242.5,237727.5,9,15,1315.0,19725.0,32,313,99.5,31143.5,779,700,47.6,33320.0,1719,642,31.1,19966.2,1847,10360,11.1,114996.0,25769,13512,8.8,118905.6,36344,29797,7.0,208579.0,84710,52887,5.4,285589.8,133912,198660,4.2,834372.0,532663,441654.0,2.9,1280796.6,1262564.0,748543,3185121.2,2080348,,2.5
1547,19-07-2022,41,6,27,40,23,2,12,['TKZR29187'],20,15,0,1,195707000.0,195707000.0,1,0,0.0,0.0,5,4,20983.7,83934.8,10,24,975.5,23412.0,67,431,94.3,40643.3,1276,936,48.2,45115.2,2639,982,28.5,27987.0,3133,13068,11.8,154202.4,37647,19323,8.5,164245.5,58277,45809,6.5,297758.5,142338,68763,5.6,385072.8,199892,276629,4.1,1134178.9,857757,664092.0,2.7,1793048.4,2091175.0,1090062,199856598.8,3394217,['UK'],2.5
1546,15-07-2022,38,17,29,9,39,10,7,['ZJZC16652'],20,15,1,0,195546000.0,0.0,0,5,1476431.5,7382157.5,14,4,20188.8,80755.2,14,34,822.7,27971.8,107,545,72.0,39240.0,2251,1142,41.1,46936.2,4163,1266,24.3,30763.8,4949,16777,10.9,182869.3,54892,24379,7.7,187718.3,86203,55126,6.5,358319.0,191410,86633,5.3,459154.9,282715,344459,4.1,1412281.9,1140157,777180.0,3.0,2331540.0,2538124.0,1307550,12539707.9,4304999,,2.5
1545,12-07-2022,50,18,25,24,14,11,6,['THWT76368'],20,15,1,0,194189000.0,0.0,0,3,3665079.1,10995237.3,5,4,25058.2,100232.8,10,20,1660.6,33212.0,47,432,109.4,47260.8,1314,943,52.6,49601.8,2889,904,35.7,32272.8,2986,13618,12.1,164777.8,43803,19023,9.8,186425.4,60640,44351,7.7,341502.7,143449,72249,5.6,404594.4,237936,284951,4.6,1310774.6,914593,651891.0,3.1,2020862.1,2152649.0,1088389,15686754.5,3560321,,2.5
