type,text,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status
single_family,"Taylorsville Deal Of The Year! At A Total Of 3, 874 Sq Ft Of Living Area, This Property Is Perfect For those Looking For A Spacious Home To Make Their Own At A Great Price! Not Only Is There The 3, 874 Sq Ft, But On Top Of That, There is A Spacious 621 Sq Ft Of Garage Space. All Of This Sitting On Almost A Quarter Acre Of Land!",1985.0,4.0,4.0,3.0,1.0,2.0,9148.0,3874.0,2.0,2002-11-26,559900.0,for_sale
single_family,"Brand new upscale home in Iron County's hottest neighborhood Saddleback Ridge. Enjoy the spectacular views of Shurtz Canyon from your large back patio and the quiet setting of the cul-de-sac location. This 4 bedroom home includes a main level master suite featuring beautiful tile and granite finishes, a walk-in shower and a free- standing bathtub. The 4th bedroom is upstairs and has its own full bathroom and independent HVAC system. Other amenities include a gas fireplace, on-demand tankless water heater, under cabinet lighting, vaulted ceilings, 9 foot ceilings in the basement and the 3 car garage is wired for an EV charging station. Estimated completion is mid May 2024. Owner/agent",2024.0,4.0,3.0,3.0,1.0,3.0,11326.0,3719.0,2.0,2018-05-31,675000.0,for_sale
single_family,"Discover Your Mountain Retreat: Modern Elegance Meets Natural Beauty!! Nestled on a 1.64-acre mountainside lot, this exquisite property offers a unique blend of modern luxury and serene natural beauty, tailored for the discerning nature enthusiast. Featuring 5 meticulously designed bedrooms, this home is a testament to contemporary elegance and an invitation to live in harmony with nature's splendor. Key Features & Amenities: Expansive Modern House: Clean, crisp lines define the architectural beauty of this home, where every detail has been carefully crafted for aesthetic appeal and functional elegance. Gorgeous Laundry Room: A stunningly appointed space that transforms routine into a delightful experience. Breathtaking Views: Wake up every day to panoramic vistas that promise endless tranquility and inspiration. Exquisite Master Bedroom: A sanctuary within your sanctuary. Spacious and serene, featuring nature's wonders with a beautiful view. Giant Walk-In Closet: Ample space for your wardrobe and more, ensuring organization and style are never compromised. Beautiful Master Bathroom: A masterfully designed space with custom tiling, offering a spa-like experience every day. Giant Open Living Room: Anchored by a wall covered in windows, this vast space is flooded with natural light, showcasing the beautiful lighting and integrating the outdoors in. Chef's Dream Kitchen: An oversized island, large walk-in pantry, custom cabinetry, gourmet range, and vented hood make this kitchen the heart of the home. Custom Tiled Bathrooms: Each bathroom in the home features unique custom tile work, blending functionality with artistry. Location Benefits: Enjoy the advantages of a great location that balances seclusion with accessibility. Whether you're a nature lover seeking solitude or an entertainer wanting a picturesque backdrop for gatherings, this home offers the best of both worlds. Your Next Step: This property is more than a home; it's a lifestyle choice for those who dream of waking up to the tranquility of the mountains while enjoying the pinnacle of modern living. Schedule your private showing today and take the first step toward making this dreamy mountain retreat your own. Embrace the luxury of space, the art of design, and the unparalleled beauty of nature at this stunning property. Your mountain-side idyll awaits.",2024.0,5.0,3.0,2.0,1.0,4.0,71438.0,4266.0,2.0,2009-08-31,836136.0,for_sale
single_family,"Open House this Saturday (5/25) from 10:00am-2:00pm. Discover this well-maintained home nestled in a great West Haven community with easy access to the I-15, Legacy highway, and Hill Air Force Base. This home features an incredibly spacious floor plan with four bedrooms two bathrooms upstairs - including a master suite and a tastefully renovated bathroom with a walk-in closet, and one bedroom and bathroom off the family room on the main level. With abundant natural lighting throughout, the tall and wide kitchen and living areas create a warm and inviting atmosphere, perfect for hosting events. Step outdoors onto a large deck, complemented by a 12x16 builder-grade shed, a gated 58-foot RV parking, and an expansive backyard for summer enjoyment. With an unfinished daylight basement, there's ample room to grow and personalize to your liking.",2006.0,5.0,3.0,2.0,1.0,2.0,9148.0,3036.0,3.0,2012-06-12,609900.0,for_sale
single_family,"OPEN HOUSE 05/25 From 11-2 PM. No rear neighbors means beautiful views of the mountains. Location is everything and this home delivers. Near the Pleasant Grove Exit and Geneva Rd it makes getting to your morning commute simple. Enjoy the view of serene mountains while having a BBQ on the patio or laughing with friends around the firepit. Entertaining guests is not just limited to the exterior of the home, the main floor boasts an open floor plan. The gorgeous kitchen has a large island, granite countertops, and stainless steel appliances. Get your book and enjoy a nice read while soaking in the large primary tub. With separate tub and shower, double sinks, and location on the main floor the primary suite is peaceful. This home has 7 bedrooms and 3.5 bathrooms! The hot water never runs out thanks to the tankless water heater. This home has a reverse osmosis system, water softener, and is plumbed for a kitchenette in the basement. This community has a five acre park, pavilion, playground, sports courts, and pickleball courts. Come see this home that's location, finished square footage, and floorplan are sure to impress.",2019.0,7.0,4.0,3.0,1.0,2.0,8712.0,3926.0,3.0,2019-11-22,899900.0,for_sale
single_family,"The cabin is on its own private pinnacle with fabulous views of Brian Head, Giant Steps ski area and the red rocks in Parowan Valley. 2 lots are included for a total of 1.16 acres. The cabin was remodeled around 2000 with an addition that greatly increased the square footage. Ther is a large kitchen-dining room with many pull-out drawers, a fireplace, a bar, and an office nook. The addition includes a vaulted ceiling, great room with wall of windows, a fireplace, and a new master bedroom suite. Front and rear decks provide outdoor living space with sunrise and sunset views. Very sturdy metallic roof tiles, generac 22kw backup generator. 3000 gallons of water storage. Starlink internet antenna. year round access.",1975.0,3.0,3.0,3.0,1.0,2.0,50530.0,3254.0,3.0,2018-05-31,899000.0,for_sale
single_family,"Welcome to your serene escape nestled in the heart of nature! This charming cabin offers a unique opportunity to embrace tranquility while being surrounded by the beauty of the great outdoors. Tucked away in Duck Creek, this small, cozy retreat is perfect for those looking to disconnect from the hustle and bustle of city life and reconnect with the simplicity of nature. Step inside and you'll find a quaint living space that exudes rustic charm. The cabin features one comfortable bedroom, a compact kitchen, and a snug living area complete with a fire place to keep you warm during the winters. Large windows throughout the cabin allow for ample natural light and great views. Outside, the property boasts .41 acres, a 2 car detached garage, & sheds for storage... Whether you're interested in hiking, bird watching, or simply relaxing on the porch, this cabin has it all. With its remote location, you'll experience unparalleled privacy and peace, making it the perfect retreat for writers, or anyone in need of a getaway. Don't miss this rare chance to own a piece of secluded paradise! Cabin has City water, water tank is left over from previous water source... now used for a water basin/ storage",1997.0,1.0,1.0,1.0,1.0,2.0,17860.0,468.0,1.0,2018-05-31,250000.0,for_sale
single_family,"Amazing opportunity to own your very own park-like, horse property in town! This beautiful property offers the outdoor oasis you have been looking for. Mature trees, mountain views, storage shed, pool and spa with waterfall. Large, covered parking offers plenty of room to store your boats and trailers. Hardwood floors throughout, remodeled kitchen, and large windows to take in the views. This quiet neighborhood offers nearby trails and quick access to I-15. Available to show after June 6th. Professional photos coming soon.",1985.0,3.0,3.0,3.0,1.0,2.0,33106.0,2766.0,1.0,2012-09-18,785000.0,for_sale
single_family,"Price Reduced! Don't miss this dream-like home! Having both a fully finished basement and six bedrooms offers plenty of space for a growing family or hosting guests. And a beautiful fireplace in each family room adds warmth and charm to the home. Plus, being in a quiet, family-friendly neighborhood with an amazing yard is the cherry on top! This home is fully wired for a backup generator. Call today for your private showing!",2019.0,6.0,3.0,2.0,1.0,3.0,7841.0,3447.0,2.0,2018-05-31,765000.0,for_sale
single_family,"Welcome Home! This charming 2 Bedroom 1 Bathroom home has been lovingly updated and cared for. A large living room, spacious kitchen and incredible outdoor living space is just the beginning. This home features the best of what Wasatch County has to offer- the views. From a peaceful backyard that is a gardeners dream with Roses, Irises, Peonies, Tulips and more, to the view of Mt. Timpanogos from your large front window, the location cannot be beat. Sit outside on one of two Decks and enjoy the views! Brand new appliances include a Refrigerator, Gas Range, Washer and Dryer, new Dishwasher and brand new 50 Gallon Water Heater. Brand new Triple Pane Windows, new Light Fixtures, new LVP and new Carpet throughout. Not only that, but the Roof is brand new on the home and the 2 Car Garage. There is a semi-finished flex room in the basement. Outside you will find a huge Workshop with a Wood Burning Stove and RV Parking. Come tour this incredible property today! Square footage figures are provided as a courtesy estimate only and were obtained from the previous Appraisal. Buyer is advised to obtain an independent measurement. Buyer is solely responsible to verify all listing information, including square feet/acreage, and city zoning.",1933.0,2.0,1.0,1.0,1.0,2.0,21780.0,1508.0,3.0,2021-05-03,599999.0,for_sale
single_family,"South-facing, well-maintained home in quiet community. Located with easy access to schools, shopping, Hill Air Force Base, and I-15. Upgrades in kitchen include tile backsplash, hood vent, microwave and trash in island. Upgraded lighting in living room and master making it light and bright. Sink in the garage which is extra deep for easy cleanups, home gym, or whatever. Plenty of storage with hanging shelving in garage as well as basement. Plenty of room to grow in unfinished basement. Front yard landscaped environmentally friendly & low maintenance. Come see this beauty today! Owner/Agent",2021.0,4.0,3.0,2.0,1.0,3.0,6534.0,3035.0,3.0,2020-12-15,589900.0,for_sale
single_family,"Don't miss out on this beautiful home on a large lot with everything done! Home built by Arrive Homes is the Adalynn style RAMBLER with lots of upgrades. It is located in a desirable neighborhood in Salem, close to shopping and schools. Open floor plan with beautiful vaulted ceilings. Includes a salon and can be easily modified to be an office if needed. Kitchen features all wood custom cabinets, granite countertops, and a upgraded large butterfly island with sink. The large master bedroom has a walk-in closet, and upgraded bathroom from original plans that includes double sinks, sweetheart soaker tub, and separate shower. Basement was completely finished and includes a wet bar, four bedrooms, 3/4 bathroom, and large family room ready for a movie night. Wires were run for surround sound and a projector. Floor throughout the basement is LVP. Water softener and reverse osmosis system will be included, also a full home Aroma Designers scent diffuser connected to the HVAC system. Home also has TWO 50 gallon water heaters as well. Garage was extended from original plans and added more length and width. Features shelving for storage and heater will be included. Garage is also heated and has wired with 220v. Landscaping and fencing was completed in 2022 and is beautiful. The backyard has everything you'll need for your next family get together! Have a game of basketball or just relax to the sound of the beautiful custom waterfall. Solar panels were installed in 2021 and are paid off. Middle post of vinyl fence is removable to allow for RV parking. Square footage figures are provided as a courtesy estimate only and were obtained from appraisal. Buyer is advised to obtain an independent measurement.",2019.0,7.0,4.0,2.0,1.0,3.0,15246.0,4118.0,2.0,2018-05-31,799999.0,for_sale
single_family,4 bedroom 2 bath 2050 s.f. home in a great Cottonwood Heights neighborhood. .25 acre corner lot. Fenced and loaded with indigenous plants. Needs TLC inside and out. Priced for sale AS IS...no repairs will be done. Potentially valued at $750 plus in this area. It is a great project for big returns.,1974.0,4.0,2.0,1.0,1.0,2.0,10019.0,2050.0,2.0,2018-05-31,575000.0,for_sale
single_family,"Charming 3-bed, 2.5-bath home with a walkout basement, located in the heart of Ogden. Conveniently close to schools, parks, and shops, and offering an easy commute. Endless potential awaits. Schedule your showing today!",1913.0,3.0,3.0,2.0,1.0,2.0,3485.0,1876.0,2.0,2018-08-15,315000.0,for_sale
single_family,"Stunning four-bedroom home, recently revamped to perfection. Previously a sought-after vacation rental, it features a hassle-free xeriscaped yard for easy maintenance. Revel in the fresh ambiance with new flooring, freshly painted interiors, and a cozy atmosphere designed for relaxation. Exterior charm is heightened with a fresh coat of paint, while the property offers full fencing for your furry companions. Sold with all furnishings, including linens and a range of kitchen appliances, big and small. Prepare to fall in love with both the home and its charming neighborhood. Make an appointment today!",1978.0,4.0,2.0,1.0,1.0,2.0,10019.0,1885.0,1.0,2018-05-31,495000.0,for_sale
single_family,"Perfect Lewiston location on 1 AC. Enough land area for out buildings and animals. 3 large bedrooms, 2 bathrooms, office / den. 600 plus covered patio with amazing views. Garage is insulated. The home exceeds ALL minimum required insulation R Values. Black triple pane windows with lifetime warranty. 95% efficient with AC. Beautiful custom cabinets and finishes and quartz countertops. View video tour. Please remove shoes and keep hands of clean walls and doors. Farm behind may rent water shares in summer. Bluesprings wireless is the best internet. Siding is vinyl, board and baton vinyl, rock, cedar gable accent, aluminum soffit and fascia. Spruce fir pine mix for porch and patio.",2024.0,3.0,2.0,2.0,1.0,3.0,43560.0,1908.0,1.0,2018-05-31,639000.0,for_sale
mobile,"Here it is. Fully furnished and well cared for double wide lake house with a hot tub, no maintenance yard, covered parking, shed, fire pit, and so affordable. Sellers have had so much fun owning this little piece of paradise and now they're ready to move on to the next adventure. Minutes from the beach, shops and mountains. The sky is the limit. Speaking of sky, you should see the stars here at night. Amazing!",1998.0,3.0,2.0,2.0,1.0,2.0,8712.0,960.0,1.0,2018-05-31,250000.0,for_sale
single_family,"Attention Investors and First Time Home Buyers! Unlock the potential of this hidden gem in desirable Tooele neighborhood. This 2 bedroom, 1 bathroom cottage has a fenced, large backyard. Features an 80 foot driveway, outdoor shed, and crawl space for storage. Major home systems have been replaced: roof (2018), water heater (2022), furnace (2019), central air added (2019), and electrical upgrades (2019). This property is sold as is, offering a blank canvas for your vision. Don't miss out on this rare opportunity to turn this fixer-upper into a profitable investment. Square footage figures are provided as a courtesy estimate only and were obtained from county records . Buyer is advised to obtain an independent measurement.",1945.0,2.0,1.0,1.0,1.0,2.0,7405.0,832.0,1.0,2009-01-15,300000.0,for_sale
single_family,"ACTIVE BUSINESS DO NOT DISTURB APPOINTMENT REQUIRED. This home is full of charm, bright lighting from window as part of the charm, located in center on town close to shopping, recreation activities, San Rafael swell, Huntington state park, joes valley reservoir, dinosaur quarry, hiking, fishing, Square footage figures are provided as a courtesy estimate only and were obtained from COUNTY AND measuring. Buyer is advised to obtain an independent measurement.",1920.0,3.0,1.0,1.0,1.0,2.0,16553.0,2142.0,2.0,2018-05-31,255000.0,for_sale
single_family,"Mapleton Heights - 87 - Teton - READY FOR MOVE-IN! Offering a fixed rate as low as 4.99% when financing through Lennar Mortgage! This home offers 4 bedrooms, a loft, 2.5 bathrooms, a 3 car garage, and full unfinished basement. The first floor has a large family room, formal living room, a bedroom, bathroom, dining area, and a kitchen that boasts stained cabinets and white quartz countertops. Upstairs offers 3 bedrooms, including the luxurious owner's suite with walk-in closet, an open loft, a convenient laundry room, and a hall bathroom. Square footage figures are provided as a courtesy estimate only and were obtained from builder. Buyer is advised to obtain an independent measurement.",2024.0,4.0,3.0,3.0,1.0,3.0,11761.0,4412.0,3.0,2018-05-31,729900.0,for_sale
single_family,"IMPROVED PRICE! Check out the attached video tour! Welcome to this stunning hillside home in Santaquin, offering unparalleled, breathtaking views. Carefully maintained, this home combines beauty and practicality in every detail. Its open-concept floor plan maximizes natural light and space, accentuated by high ceilings that contribute to an airy, welcoming atmosphere. The interior boasts stylish finishes including elegant flooring, beautiful woodwork and cabinetry. The kitchen is a chef's delight with its sleek butcher block countertops, a large pantry for ample storage and a large island to gather around with good company. Step outside onto the expansive front deck-the perfect spot to unwind with your favorite drink and soak in the panoramic vistas. The large garage includes plenty of storage options and the RV parking leaves every convenience at your fingertips. Finishing it all off with a massive basement with walkout. The peaceful backyard, complete with garden boxes, is the perfect place for relaxation or entertainment. This home is not just move-in ready-it's an experience waiting to be enjoyed... Did I mention the views? All information is provided as a courtesy. Square footage estimates taken from county records and measurements from a newly added bedroom. Buyer and Buyers agent to verify all information.",2018.0,6.0,3.0,3.0,1.0,2.0,9583.0,4909.0,3.0,2017-11-01,690000.0,for_sale
single_family,"The Maxwell is of the newest of the Hamlet Homes Rambler floorplans and boasts a beautiful kitchen with deluxe granite countertops, walk-in pantry and a grand island open to a spacious great room for entertaining. This home features 4 bedrooms with a secluded main floor owner's suite, luxurious bath and large walk-in closet. Lots of room for growth in the lower level with high ceilings, open space and lots of storage. The Maxwell is sure to be the place you look forward to coming home to.",2003.0,3.0,3.0,2.0,1.0,2.0,13939.0,3711.0,2.0,2018-05-31,1299990.0,ready_to_build
single_family,"Beautiful, quiet country living with mountain views & easy freeway access for commuting. Relax in Primary suite with deep tub & large, walk in closet. Spend cozy evenings in front of the FR fireplace. Create meals using NEW kitchen appliances & large pantry. The upstairs bedrooms have a window box for extra storage/reading nook. NEW paint and carpet. Spacious 1.42 acres has garden area w/ good soil, & well with a water right to grow your favorite vegetables/ flowers, newly stained deck, and inground trampoline spot. Fiber internet newly installed in neighborhood. Large garage has 18 ft wide door, extra width and depth, w/ workbench & shelving included. Plenty of parking area for RV or multiple cars. Optional 5th bedroom downstairs. Buyer is advised to verify all information.",2003.0,4.0,3.0,2.0,1.0,2.0,61855.0,2326.0,3.0,2015-06-02,545000.0,for_sale
mobile,"Hard to find home under $200k! One level home with a large carport and a shed. Affordable monthly HOA fee, as well as access to a community pool/clubhouse and private road maintenance. Lot is owned and NOT in a 55+ Community. All information is deemed reliable but not guaranteed, buyer(s) to verify all.",1997.0,2.0,2.0,2.0,1.0,2.0,13939.0,1058.0,1.0,2017-11-07,175000.0,for_sale
single_family,"Nestled among the serene, crimson hills of Little Valley, this beautiful home has so many upgrades: quartz counter tops, double oven as well as a freestanding oven range, wall to wall cabinets in the walk-through pantry as well as a wine refrigerator, full-wall sliding glass panel in the living room, and an upstairs laundry room with an extra storage room. The primary bedroom on the main floor has a stackable washer and dryer in the primary bathroom with 2 separate walk-in closets. The attached casita has its own entry as well as a kitchenette, perfect for guests, or a home office. Enjoy entertaining or relaxing in your fully landscaped backyard, complete with a playhouse. Be sure to check out the added storage area in the side garage.",2019.0,6.0,5.0,4.0,1.0,3.0,11326.0,4137.0,2.0,2018-05-31,1000000.0,for_sale
land,"All 4 parcel must be sold together. 01-112D-13 is 2.06 acres, 01-112D-0014 is 2.06 acres, 01-112D-0036 is 1.24 acres, and 01-112D-0017 is .34 acres. These vacant parcels offer a myriad of possibilities. Situated along Highway 10, you have the opportunity to embark on a new adventure by constructing a commercial building. Alternatively, if you're in search of a spacious location for your next home, this is an ideal spot with plenty of acreage. It even provides enough space to fulfill your dream of starting a farm and creating a welcoming environment for your family! Ferron City today is a rural community located in western Emery County situated in a natural grazing drift between the 11, 000-foot Wasatch Plateau to the west (locally known as Ferron Mountain) and the winter range on the San Rafael Swell to the east of this property, and to the west of this property is Millsite Golf Course. Next to this property is fire station. There is farming and stock raising have been Ferron's economic mainstays throughout its history, however, since the decade of the 1970's, with the construction of the Hunter Power Plant and the development of coal mining operations to fuel its massive steam-electric generating units, Ferron's economic growth has been closely tied to fluctuations in the coal/power industries, and tourism's. This lot would be a great time to capitalize on the growth of Ferron to build a gas station, hotel, tiny homes, the sky's the limits. Buyer to verify all lot facts (acreage, boundaries, utilities, etc).",2003.0,4.0,0.0,2.0,1.0,2.0,248292.0,2400.0,2.0,2018-05-31,160000.0,for_sale
mobile,"This beautiful & spacious 3 bed 2 bath doublewide mobile home was completely remodeled in 2019 and has recently had new laminate/LVP flooring throughout, new water heater, new water piping (PEX) through entire home, new water meter, smart home w/2x wall tablets and integrated WIFI thermostats & entire home lighting controlled, and low voltage cabling (Cat6) for wireless access points. The primary bedroom has a bath and separate shower. Open kitchen and living room. Convenient to shopping, dining, entertainment, & hospital. You won't want to miss your chance to own this mobile home! FYI: Park does not allow rentals. Contact listing agent for possible lenders...",2000.0,3.0,2.0,2.0,1.0,2.0,13939.0,1248.0,1.0,2018-05-31,87000.0,for_sale
single_family,"Discover the potential of your future home in The Estates at Ephraim Crossing! This home, currently under construction, invites you to bring your vision to life. Boasting 3 bedrooms, 2 bathrooms, this is the perfect canvas for your dream residence. Featuring a 2-car garage and a fully unfinished walkout basement, the possibilities are endless to expand and customize according to your needs. The home includes sought-after details such as granite countertops, which add a touch of sophistication to your space. Don't let this opportunity to create your ideal home slip away. Envision your future in this up-and-coming neighborhood and claim this house as your own before it's too late. Pictures are of a similar home",2023.0,3.0,2.0,2.0,1.0,2.0,9148.0,2568.0,2.0,2018-05-31,454500.0,for_sale
single_family,"Welcome to Ameyalli (A me yalli). Located in the charming town of Midway and only 9 minutes to Deer Valley's new East Village ski access. The property is anchored by a future clubhouse that will include a farm to table restaurant, indoor and outdoor pools, mineral water hot tubs, gym, spa and conference facility. The striking two-story residences offer rich textural facades, living roofs, landscaped gardens, and observation decks that frame the cinematic views of the landscape, deepening the connection between indoor and outdoor spaces. This deeded fractional ownership option offers an opportunity to capture 6 weeks a year and to take advantage of an extraordinary well-being lifestyle at an aspirational price.",2024.0,4.0,4.0,4.0,1.0,2.0,436.0,2834.0,2.0,2018-05-31,350000.0,for_sale
single_family,"Looking for a mountain getaway that provides fresh air during the warmer months and a private escape during the winter? Welcome to Aspen Acres! This meticulously maintained cabin is perfect for year-round living, or the perfect excuse to buy that snowmobile you've been eyeing. Spend a cozy morning with coffee in the large kitchen or with a book on the expansive deck or porch, a day at the nearby Smith and Morehouse Reservoir (time to go buy a paddle board and kayak now too, bummer!), with an evening hike of sunset views and plenty of wildlife. Grab lunch at the nearby Oakley Diner, a historic landmark with a refreshed reno. Being one of the larger cabins for the area, your guests will say thank you with their own private bedrooms and bathroom, paired with ample storage throughout. Looking to expand the space with your custom finishes? The unfinished walkout basement is ready for you. Backcountry skiing, cross-country skiing, snowshoeing, hiking, etc. there's a laundry list of all nature's amenities that the Wasatch Back has to offer. Wondering where you're going to store all that gear? The detached 2-car garage says hello. Whether a second home or primary, Campfire Circle is waiting for you.",1985.0,4.0,2.0,1.0,1.0,2.0,21344.0,3000.0,3.0,2018-05-31,599900.0,for_sale
single_family,"4 bed/4 bath home with a SHOP! Possible basement rental! Check out the DRONE VIDEO WALKTHROUGH in the TOURS section. RV parking, a backyard shed, a detached garage/workshop with heat, covered north-facing back patio, possible basement rental in a beautiful Layton neighborhood! Definitely one to check out! OPEN HOUSE May 18th, Noon to 3pm! If you were to make a rental unit, access would be through the garage and you would share the main level half-bath and laundry with the basement unit which could have 1 bedroom, a den, and possible additional sleeping area (in the theatre space)",1995.0,4.0,4.0,2.0,1.0,4.0,9148.0,2388.0,3.0,2018-06-28,525000.0,for_sale
single_family,"Modern family appointments. The Ashton's welcoming stepped covered entry flows into the inviting foyer, revealing views of the spacious great room, dining room, and desirable luxury outdoor living space beyond. The well-designed kitchen is equipped with a large center island with breakfast bar, plenty of counter and cabinet space, and sizable walk-in pantry. The bright primary bedroom suite is enhanced by a generous walk-in closet and deluxe primary bath with dual-sink vanity, large soaking tub, luxe glass-enclosed shower, and private water closet. Spacious secondary bedrooms feature ample closets and shared full hall bath. Additional highlights include a centrally located laundry, and additional storage throughout.",2003.0,3.0,3.0,2.0,1.0,2.0,13939.0,3858.0,1.0,2018-05-31,919995.0,ready_to_build
single_family,"The Skyridge II is designed for how you live your life. Kids can study, play or watch a movie in the large game room and the bonus room on the basement floor. On the first floor, the gathering room is adjacent to the open kitchen providing plenty of space for entertaining. If you prefer some quite time, the spacious Owner's Suite provides a quiet escape and access to the covered patio.",2003.0,3.0,3.0,2.0,1.0,2.0,13939.0,2757.0,2.0,2018-05-31,0.0,ready_to_build
farm,...,2003.0,4.0,0.0,2.0,1.0,2.0,6969600.0,2400.0,2.0,2018-05-31,359900.0,for_sale
single_family,"Not just your average 3 Bed 2 bath!! It has a half acre with mature trees, No HOA, special design features, updated kitchen, workbench and shelves in the garage, additional storage shed and a big yard for all of your outdoor fun. Home Warranty Included!",1995.0,3.0,2.0,2.0,1.0,2.0,21780.0,1268.0,1.0,2021-01-15,399000.0,for_sale
single_family,"Nestled in the peaceful Meadowbrook Acres subdivision of Bountiful, this lovely home is situated on a quiet cul-de-sac, offering a serene and private setting for comfortable living. With a little over 2000 square feet of living space, this well-maintained home features four bedrooms and three bathrooms, providing ample room for both relaxation and functionality. All appliances, including a new water softener, are included, ensuring convenience and ease for the new homeowners. Enjoy the convenience of being close to restaurants, shopping centers, and schools, making daily errands and outings a breeze. The tranquil neighborhood setting offers a retreat from the hustle and bustle of city life, providing a peaceful environment to call home. This charming property presents a wonderful opportunity to own a cozy and inviting home in a desirable location. Don't miss out on the chance to make this house your own. Schedule a showing today to experience the comfort and convenience it has to offer!",1983.0,4.0,3.0,1.0,1.0,2.0,9583.0,2024.0,2.0,2018-05-31,520000.0,for_sale
land,7.1 Acre parcel perfect for a small farm/homestead or future development (development or structures can be built along the north side of the property). A Johnson culinary water line comes through the east side of property. An overhead power line easement runs along the south edge of property. You can continue to farm this land but no structure can be built. Square footage figures are provided as a courtesy estimate only and were obtained from county records. Buyer is advised to obtain an independent measurement.,2003.0,4.0,0.0,2.0,1.0,2.0,309276.0,2400.0,2.0,2018-05-31,90000.0,for_sale
single_family,"Luxury Off-Grid Living! Welcome home to this secluded slice of heaven. Hills, range, green pastures, streams, a fish pond this property has it all! The home offers the most comfortable off-grid living you'll find with a solar/battery array for all power needs, radiant in-floor heating powered by a wood-fired boiler (using scrap from a local mill) - you are literally warmed by the Sun and the Land. Backup propane generator for power, and gas stove & fireplace gives extra peace of mind. Pristine house water from the best well in the valley. Escape from the world or stay connected and entertained with high speed internet from included Starlink satellite terminal. For recreation, 2 reservoirs for year round fishing are nearby, hundreds of miles of trails for off-roading, hundreds of thousands of acres of public land for snowmobiling, also hunting, deer, antelope, Elk, and more. Only 40 minutes to Bear Lake for endless recreation. Square footage figures are provided as a courtesy estimate only and were obtained from a previous appraisal. Buyer is advised to obtain an independent measurement. Boundary lines in aerial image are approximate.",2008.0,5.0,3.0,3.0,1.0,2.0,1742400.0,5892.0,3.0,2018-05-31,1475000.0,for_sale
single_family,"Incredible views on this horse property in the country! Amazing floor plan with multiple family spaces and spacious garage. Master suite with separate tub/shower and walk-in closet. Home also features 2 story great room, granite counter tops and custom cabinets. Water shares included. Owner/agent on lot",2024.0,4.0,3.0,2.0,1.0,3.0,135907.0,2810.0,2.0,2018-05-31,930000.0,for_sale
single_family,"To Be Built. Ever popular Newport Craftsman Rambler, priced with standard features. Builder now offering $10, 000 in Bonus Bucks to be used for upgrades, rate buydown, or closing costs. Use our Preferred lender and get a 1% of the loan amount to be used toward concessions. Square footage figures are provided as a courtesy estimate only and were obtained from plan set. Buyer is advised to obtain an independent measurement.",2024.0,2.0,2.0,2.0,1.0,2.0,6970.0,2488.0,2.0,2018-05-31,415059.0,for_sale
single_family,"Gorgeous new kitchen , new appliances included. Beautiful quartz countertops throughout. New flooring. New sinks, tub, toilets and fixtures. 15 minutes to . 25 min to Cedar. Square footage figures are provided as a courtesy estimate only and were obtained from county. Buyer is advised to obtain an independent measurement.",1881.0,3.0,2.0,1.0,1.0,2.0,17424.0,1224.0,1.0,2018-05-31,415000.0,for_sale
single_family,"This lovely brick home nestled in a picturesque setting offers not just stunning views but also ample potential for expansion to tailor it to your vision. If the allure of living in a charming town is what you desire, then look no further as this residence presents a perfect blend of comfort and convenience. The spacious fenced yard provides a safe haven for relaxation and play, while the breathtaking scenery serves as a daily reminder of the beauty that surrounds you. Although the price reflects the need for the necessary updates, envision the possibilities and breathe life into this dwelling, turning it into your very own dream haven. Unfinished basement can be a walkout, as it has a door to the outside, but it does not have the stairs. Amerigas Tank has never been in use by seller. Being sold as is! Buyer to verify all.",1951.0,3.0,3.0,2.0,1.0,2.0,13068.0,2738.0,1.0,2018-05-31,379900.0,for_sale
mobile,"Brand new, craftsman style-Clayton manufactured home. Centrally located in Richfield UT. This beautifully built home has many upgrades. You will love the farmhouse lighting over the island, the farmhouse stainless steel kitchen sink, tile backsplash, open floor plan, and the recessed can lights throughout. Don't forget about the cozy front porch you will be able to enjoy yourself on anytime of the day. Make your appt. now to view this home. Owner/Agent . Buyer to verify all information.",2024.0,3.0,2.0,2.0,1.0,2.0,9583.0,1474.0,2.0,2018-05-31,299900.0,for_sale
mobile,"Starter home, Very spacious , great community.",1978.0,2.0,1.0,1.0,1.0,2.0,13939.0,985.0,1.0,2018-05-31,49900.0,for_sale
single_family,"WOW! OPPORTUNITY KNOCKS! FEELS LIKE NEW!! NO HOA! UPDATED and SO CLEAN! SOUTH MOUNTAIN LOCATION w/BEAUTIFUL VIEWS, CONVENIENT TO HIKING/BIKING TRAILS, PICKLEBALL COURTS, RESTAURANTS, SHOPPING, ETC! You will absolutely LOVE this BEAUTIFUL HOME! DEFINITELY A HOME TO MOVE IN and RELAX! OPEN/SPACIOUS KITCHEN & GREATROOM, FRESH PAINT, GRANITE COUNTERS, NEW LIGHTING! Very Desirable FLOORPLAN with FANTASTIC OWNERS SUITE! AMAZING & METICULOUS CARE! 100% FENCED & LANDSCAPED YARD!",1998.0,4.0,4.0,2.0,1.0,2.0,6970.0,2320.0,3.0,2020-10-23,649000.0,for_sale
