index,City,Date,Card Type,Exp Type,Gender,Amount
3552,"Delhi, India",29-Nov-14,Signature,Bills,F,193829
3553,"Greater Mumbai, India",9-Feb-14,Gold,Food,M,4598
3554,"Bengaluru, India",27-Mar-14,Signature,Grocery,M,4222
3555,"Bengaluru, India",17-Aug-14,Signature,Entertainment,F,146154
3556,"Bengaluru, India",30-Apr-15,Platinum,Bills,M,45060
3557,"Delhi, India",17-Oct-13,Silver,Food,M,34349
3558,"Greater Mumbai, India",23-Aug-14,Gold,Fuel,M,271346
3559,"Ahmedabad, India",13-Mar-14,Platinum,Entertainment,M,228734
3560,"Ahmedabad, India",8-Sep-14,Silver,Food,M,290987
3561,"Bengaluru, India",12-Oct-14,Gold,Fuel,M,199988
3562,"Delhi, India",11-Oct-14,Silver,Fuel,F,247899
3563,"Greater Mumbai, India",21-May-15,Signature,Bills,F,195362
3564,"Greater Mumbai, India",25-Apr-15,Platinum,Food,M,115670
3565,"Bengaluru, India",26-May-15,Gold,Grocery,M,29685
3566,"Bengaluru, India",24-Nov-14,Platinum,Bills,M,269437
3567,"Bengaluru, India",18-Apr-14,Platinum,Bills,M,99488
3568,"Delhi, India",21-Nov-13,Platinum,Entertainment,M,89008
3569,"Ahmedabad, India",18-Aug-14,Gold,Food,M,187789
3570,"Bengaluru, India",8-May-14,Signature,Fuel,M,61956
3571,"Bengaluru, India",11-Mar-14,Silver,Entertainment,F,220755
3572,"Ahmedabad, India",13-Jan-15,Platinum,Entertainment,F,264827
3573,"Delhi, India",19-Apr-14,Silver,Fuel,F,137467
3574,"Bengaluru, India",21-Feb-14,Signature,Grocery,M,34007
3575,"Ahmedabad, India",12-Mar-15,Gold,Entertainment,M,106406
3576,"Ahmedabad, India",6-Jul-14,Gold,Grocery,M,296320
3577,"Delhi, India",10-Aug-14,Signature,Bills,M,121731
3578,"Greater Mumbai, India",6-Nov-13,Silver,Fuel,M,181153
3579,"Delhi, India",24-Apr-14,Gold,Entertainment,F,133715
3580,"Ahmedabad, India",23-Oct-13,Silver,Grocery,F,67821
3581,"Delhi, India",6-Feb-14,Signature,Food,F,96314
3582,"Ahmedabad, India",1-Jun-14,Silver,Grocery,F,153181
3583,"Delhi, India",7-Nov-14,Platinum,Bills,M,103011
3584,"Delhi, India",10-Dec-13,Signature,Bills,M,254116
3585,"Delhi, India",30-Apr-15,Platinum,Bills,M,171438
3586,"Bengaluru, India",6-Mar-15,Signature,Grocery,F,9220
3587,"Delhi, India",13-Feb-15,Gold,Entertainment,M,23555
3588,"Delhi, India",13-Dec-13,Platinum,Bills,F,223185
3589,"Bengaluru, India",13-Nov-13,Signature,Bills,F,135896
3590,"Bengaluru, India",27-Dec-13,Platinum,Grocery,F,79371
3591,"Ahmedabad, India",26-Oct-14,Platinum,Grocery,M,223594
3592,"Delhi, India",26-Jan-15,Silver,Entertainment,M,227095
3593,"Greater Mumbai, India",6-Nov-14,Signature,Grocery,M,25111
3594,"Bengaluru, India",23-Apr-15,Platinum,Fuel,M,99098
3595,"Bengaluru, India",9-May-15,Gold,Food,F,117094
3596,"Delhi, India",23-Nov-14,Platinum,Entertainment,M,248737
3597,"Bengaluru, India",8-Jan-14,Gold,Grocery,F,73309
3598,"Ahmedabad, India",1-Oct-14,Silver,Grocery,F,275924
3599,"Greater Mumbai, India",30-Dec-13,Gold,Food,M,15520
3600,"Delhi, India",4-Nov-13,Silver,Food,F,79959
3601,"Ahmedabad, India",14-May-15,Signature,Bills,F,168558
3602,"Delhi, India",3-Nov-14,Platinum,Fuel,F,205382
3603,"Bengaluru, India",16-Mar-14,Platinum,Fuel,M,30657
3604,"Delhi, India",17-Oct-13,Gold,Food,M,66800
3605,"Ahmedabad, India",17-Apr-15,Gold,Entertainment,F,135954
3606,"Greater Mumbai, India",25-Nov-13,Signature,Bills,M,228863
3607,"Bengaluru, India",23-Jan-15,Platinum,Bills,M,81694
3608,"Bengaluru, India",10-May-15,Silver,Grocery,F,140080
3609,"Ahmedabad, India",15-Apr-14,Signature,Entertainment,F,28113
3610,"Greater Mumbai, India",26-Nov-14,Gold,Entertainment,M,237076
3611,"Greater Mumbai, India",25-Apr-15,Signature,Bills,M,5115
3612,"Ahmedabad, India",5-Jul-14,Platinum,Grocery,M,130527
3613,"Ahmedabad, India",4-Aug-14,Signature,Fuel,M,111128
3614,"Greater Mumbai, India",8-Apr-14,Gold,Fuel,M,37266
3615,"Greater Mumbai, India",22-Dec-13,Platinum,Grocery,M,178708
3616,"Delhi, India",11-Jul-14,Silver,Fuel,M,225259
3617,"Ahmedabad, India",5-Oct-13,Signature,Grocery,M,229366
3618,"Ahmedabad, India",8-Feb-14,Platinum,Bills,M,148634
3619,"Delhi, India",17-Jan-14,Gold,Entertainment,M,275961
3620,"Greater Mumbai, India",19-Feb-14,Signature,Entertainment,F,43658
3621,"Bengaluru, India",20-Oct-14,Silver,Food,M,15975
3622,"Bengaluru, India",16-Nov-14,Gold,Bills,F,216369
3623,"Bengaluru, India",17-Aug-14,Gold,Entertainment,M,63074
3624,"Delhi, India",7-Dec-14,Platinum,Food,F,221333
3625,"Greater Mumbai, India",11-Dec-14,Gold,Entertainment,F,187437
3626,"Ahmedabad, India",20-Dec-13,Platinum,Grocery,F,70947
3627,"Ahmedabad, India",9-Nov-13,Signature,Bills,F,264497
3628,"Greater Mumbai, India",17-Nov-13,Gold,Fuel,M,220205
3629,"Ahmedabad, India",14-Dec-14,Platinum,Food,F,39747
3630,"Bengaluru, India",27-Dec-14,Platinum,Fuel,M,32735
3631,"Bengaluru, India",4-Aug-14,Silver,Entertainment,F,104628
3632,"Bengaluru, India",3-Mar-15,Silver,Bills,M,259113
3633,"Bengaluru, India",7-Nov-13,Silver,Bills,M,147985
3634,"Greater Mumbai, India",22-Mar-14,Silver,Bills,M,255483
3635,"Greater Mumbai, India",20-Dec-13,Gold,Food,M,36465
3636,"Delhi, India",9-Sep-14,Gold,Food,M,215978
3637,"Delhi, India",22-Jan-15,Silver,Fuel,F,240390
3638,"Delhi, India",17-Dec-13,Signature,Bills,M,299516
3639,"Delhi, India",1-Jan-14,Platinum,Grocery,F,262160
3640,"Ahmedabad, India",12-Apr-15,Signature,Bills,F,199798
3641,"Ahmedabad, India",5-Mar-14,Platinum,Food,M,161894
3642,"Delhi, India",14-Dec-14,Signature,Grocery,M,264582
3643,"Delhi, India",5-May-14,Platinum,Grocery,M,9972
3644,"Delhi, India",21-Jun-14,Silver,Bills,F,271602
3645,"Ahmedabad, India",20-Feb-15,Silver,Grocery,F,8720
3646,"Bengaluru, India",31-Jul-14,Platinum,Bills,F,194479
3647,"Greater Mumbai, India",30-May-14,Signature,Fuel,F,229703
3648,"Delhi, India",18-Mar-14,Signature,Fuel,M,207416
3649,"Bengaluru, India",28-Dec-13,Gold,Bills,F,27002
3650,"Ahmedabad, India",7-May-14,Silver,Fuel,F,296473
3651,"Delhi, India",26-Apr-15,Signature,Grocery,M,151594
3652,"Delhi, India",31-Oct-14,Platinum,Bills,F,32144
3653,"Bengaluru, India",26-Dec-13,Gold,Bills,F,242825
3654,"Delhi, India",24-Nov-13,Signature,Fuel,M,84237
3655,"Greater Mumbai, India",27-Sep-14,Platinum,Entertainment,F,187076
3656,"Bengaluru, India",3-Dec-14,Signature,Bills,M,266752
3657,"Ahmedabad, India",20-Mar-14,Silver,Bills,F,288185
3658,"Greater Mumbai, India",27-Jan-14,Silver,Bills,F,164506
3659,"Greater Mumbai, India",19-Nov-14,Gold,Food,M,5895
3660,"Greater Mumbai, India",18-May-14,Signature,Food,F,165435
3661,"Ahmedabad, India",19-Mar-14,Gold,Fuel,M,83194
3662,"Ahmedabad, India",27-Mar-15,Silver,Bills,M,241036
3663,"Greater Mumbai, India",19-Dec-13,Silver,Grocery,F,188587
3664,"Greater Mumbai, India",6-Jan-14,Gold,Fuel,F,100088
3665,"Bengaluru, India",1-Jan-14,Gold,Bills,F,96930
3666,"Delhi, India",23-Jan-15,Signature,Entertainment,F,260257
3667,"Delhi, India",17-Jan-15,Silver,Grocery,M,245812
3668,"Bengaluru, India",15-Sep-14,Signature,Bills,F,30200
3669,"Bengaluru, India",20-Mar-15,Silver,Grocery,M,239319
3670,"Bengaluru, India",5-Oct-14,Platinum,Food,F,244322
3671,"Delhi, India",24-Oct-14,Gold,Grocery,M,83802
3672,"Greater Mumbai, India",3-Apr-15,Silver,Entertainment,M,265602
3673,"Ahmedabad, India",7-Aug-14,Signature,Food,M,34132
3674,"Bengaluru, India",6-Oct-14,Gold,Grocery,F,50807
3675,"Bengaluru, India",16-Jun-14,Platinum,Grocery,F,161937
3676,"Bengaluru, India",11-Nov-14,Silver,Food,F,34626
3677,"Ahmedabad, India",19-Oct-13,Gold,Bills,M,35078
3678,"Greater Mumbai, India",23-Sep-14,Silver,Fuel,M,157381
3679,"Greater Mumbai, India",10-May-15,Signature,Fuel,F,222469
3680,"Greater Mumbai, India",15-Jan-14,Silver,Food,F,215921
3681,"Delhi, India",2-Jan-15,Platinum,Entertainment,M,257732
3682,"Delhi, India",15-Jul-14,Platinum,Bills,M,197582
3683,"Bengaluru, India",7-Mar-15,Signature,Fuel,M,125985
3684,"Bengaluru, India",4-Jan-15,Platinum,Fuel,M,283274
3685,"Bengaluru, India",17-Jan-14,Signature,Entertainment,F,25524
3686,"Greater Mumbai, India",5-Sep-14,Platinum,Food,F,141963
3687,"Greater Mumbai, India",23-Aug-14,Gold,Fuel,F,226297
3688,"Bengaluru, India",19-Jan-14,Platinum,Fuel,F,165694
3689,"Greater Mumbai, India",9-Jun-14,Platinum,Food,F,1966
3690,"Ahmedabad, India",25-Sep-14,Signature,Bills,M,228080
3691,"Greater Mumbai, India",23-Nov-13,Gold,Food,M,107490
3692,"Greater Mumbai, India",28-Nov-14,Signature,Entertainment,M,154713
3693,"Ahmedabad, India",17-Mar-14,Platinum,Fuel,F,144488
3694,"Bengaluru, India",16-Nov-13,Silver,Fuel,M,84568
3695,"Delhi, India",19-Apr-14,Silver,Fuel,F,255257
3696,"Greater Mumbai, India",1-Oct-14,Signature,Bills,M,220351
3697,"Greater Mumbai, India",7-Dec-14,Platinum,Grocery,M,214808
3698,"Bengaluru, India",24-Jan-14,Platinum,Fuel,M,175504
3699,"Greater Mumbai, India",24-Jul-14,Signature,Food,F,149784
3700,"Delhi, India",15-Mar-15,Signature,Grocery,M,195264
3701,"Greater Mumbai, India",28-Mar-14,Gold,Bills,F,183737
3702,"Delhi, India",24-Mar-14,Platinum,Food,M,22272
3703,"Ahmedabad, India",18-Jan-15,Signature,Food,F,9221
3704,"Greater Mumbai, India",10-Sep-14,Signature,Bills,M,137812
3705,"Ahmedabad, India",10-May-15,Signature,Food,F,233193
3706,"Ahmedabad, India",28-Nov-13,Platinum,Food,F,234574
3707,"Ahmedabad, India",29-Mar-14,Silver,Fuel,M,112593
3708,"Delhi, India",4-Apr-15,Silver,Food,F,182034
3709,"Bengaluru, India",1-Feb-15,Platinum,Bills,F,133907
3710,"Delhi, India",30-Dec-14,Platinum,Bills,M,68778
3711,"Greater Mumbai, India",15-Dec-13,Platinum,Bills,M,24771
3712,"Ahmedabad, India",16-May-15,Silver,Fuel,M,119325
3713,"Ahmedabad, India",9-Jun-14,Signature,Grocery,M,100134
3714,"Greater Mumbai, India",6-Oct-14,Silver,Entertainment,M,59616
3715,"Ahmedabad, India",14-Oct-14,Silver,Entertainment,M,179223
3716,"Delhi, India",23-Oct-14,Platinum,Grocery,M,148288
3717,"Ahmedabad, India",23-Nov-13,Signature,Fuel,F,125677
3718,"Bengaluru, India",26-Aug-14,Platinum,Grocery,F,203670
3719,"Delhi, India",23-Apr-14,Platinum,Entertainment,M,120646
3720,"Greater Mumbai, India",25-Feb-15,Signature,Entertainment,F,124932
3721,"Greater Mumbai, India",22-Jun-14,Platinum,Grocery,F,239114
3722,"Bengaluru, India",17-Aug-14,Gold,Bills,F,40911
3723,"Bengaluru, India",11-Sep-14,Platinum,Entertainment,F,230605
3724,"Delhi, India",3-Dec-13,Signature,Fuel,F,225731
3725,"Greater Mumbai, India",9-May-14,Gold,Fuel,M,255499
3726,"Bengaluru, India",12-Sep-14,Platinum,Food,M,203817
3727,"Delhi, India",17-Oct-13,Signature,Bills,F,25281
3728,"Greater Mumbai, India",21-Dec-13,Platinum,Food,M,208068
3729,"Ahmedabad, India",12-Mar-15,Platinum,Fuel,M,128753
3730,"Greater Mumbai, India",8-Oct-14,Signature,Fuel,F,131605
3731,"Ahmedabad, India",28-Oct-14,Gold,Bills,M,151958
3732,"Delhi, India",29-Oct-14,Gold,Fuel,F,62399
3733,"Delhi, India",22-Jul-14,Gold,Fuel,F,275065
3734,"Greater Mumbai, India",3-Nov-14,Silver,Entertainment,F,91442
3735,"Greater Mumbai, India",19-Feb-14,Signature,Grocery,M,225093
3736,"Greater Mumbai, India",13-Oct-14,Signature,Grocery,M,166982
3737,"Ahmedabad, India",11-Jan-14,Platinum,Fuel,F,30298
3738,"Ahmedabad, India",12-Nov-14,Silver,Fuel,M,208002
3739,"Delhi, India",25-Mar-15,Silver,Entertainment,F,172521
3740,"Delhi, India",1-Apr-14,Silver,Food,F,283839
3741,"Greater Mumbai, India",15-Dec-14,Gold,Bills,M,19803
3742,"Ahmedabad, India",18-Dec-13,Platinum,Grocery,F,160168
3743,"Bengaluru, India",5-Mar-14,Signature,Entertainment,M,274671
3744,"Bengaluru, India",29-Jan-15,Silver,Fuel,M,38799
3745,"Ahmedabad, India",23-Mar-14,Gold,Food,M,45898
3746,"Greater Mumbai, India",24-Jan-15,Gold,Food,M,226160
3747,"Greater Mumbai, India",13-Feb-15,Gold,Fuel,M,186661
3748,"Greater Mumbai, India",26-Feb-15,Silver,Grocery,F,253728
3749,"Delhi, India",1-Oct-14,Silver,Entertainment,F,39663
3750,"Delhi, India",11-Apr-14,Signature,Bills,M,239053
3751,"Delhi, India",14-May-15,Silver,Fuel,F,232025
3752,"Delhi, India",5-Jan-15,Silver,Food,M,73097
3753,"Delhi, India",16-Mar-15,Platinum,Entertainment,F,63773
3754,"Bengaluru, India",8-Mar-14,Gold,Fuel,M,37639
3755,"Delhi, India",3-Jul-14,Gold,Bills,F,110961
3756,"Ahmedabad, India",12-Nov-14,Signature,Food,F,96108
3757,"Bengaluru, India",22-Aug-14,Signature,Bills,M,66802
3758,"Delhi, India",16-Jan-14,Signature,Grocery,M,286448
3759,"Greater Mumbai, India",20-Nov-13,Signature,Bills,M,43856
3760,"Greater Mumbai, India",18-Jul-14,Gold,Food,M,165381
3761,"Delhi, India",31-Dec-14,Silver,Entertainment,F,120529
3762,"Bengaluru, India",22-Feb-14,Gold,Food,F,165549
3763,"Ahmedabad, India",30-Oct-13,Gold,Entertainment,M,84219
3764,"Ahmedabad, India",18-Oct-14,Silver,Bills,F,103460
3765,"Ahmedabad, India",30-Nov-14,Silver,Food,F,72730
3766,"Delhi, India",10-Mar-14,Platinum,Grocery,F,93003
3767,"Bengaluru, India",7-Aug-14,Gold,Bills,F,23154
3768,"Ahmedabad, India",2-May-15,Silver,Grocery,F,142809
3769,"Delhi, India",18-May-14,Signature,Entertainment,M,19082
3770,"Delhi, India",18-Mar-14,Gold,Fuel,M,16252
3771,"Bengaluru, India",2-Apr-14,Silver,Food,M,120587
3772,"Ahmedabad, India",25-Nov-14,Signature,Bills,F,95881
3773,"Ahmedabad, India",27-Jan-15,Gold,Food,F,21963
3774,"Ahmedabad, India",24-Mar-14,Platinum,Bills,M,205480
3775,"Bengaluru, India",18-Sep-14,Gold,Entertainment,F,21229
3776,"Greater Mumbai, India",2-Apr-15,Signature,Grocery,M,274555
3777,"Greater Mumbai, India",4-Jan-15,Signature,Entertainment,M,49357
3778,"Ahmedabad, India",6-Feb-14,Silver,Grocery,F,248024
3779,"Delhi, India",16-Nov-14,Platinum,Grocery,M,151811
3780,"Greater Mumbai, India",23-Dec-13,Signature,Bills,M,45077
3781,"Delhi, India",30-Aug-14,Silver,Food,F,42491
3782,"Ahmedabad, India",22-Dec-14,Silver,Fuel,M,285009
3783,"Delhi, India",20-Mar-14,Signature,Fuel,F,18267
3784,"Greater Mumbai, India",12-Nov-14,Gold,Entertainment,F,180887
3785,"Delhi, India",9-Feb-14,Signature,Fuel,M,154424
3786,"Delhi, India",23-Mar-14,Silver,Bills,F,19723
3787,"Bengaluru, India",29-Sep-14,Platinum,Grocery,M,299353
3788,"Greater Mumbai, India",8-Sep-14,Platinum,Bills,M,113388
3789,"Delhi, India",20-Mar-15,Silver,Bills,F,26143
3790,"Delhi, India",22-Oct-13,Silver,Bills,F,204049
3791,"Delhi, India",13-Oct-14,Platinum,Fuel,F,189997
3792,"Bengaluru, India",24-Feb-14,Platinum,Food,M,250037
3793,"Greater Mumbai, India",10-Nov-14,Silver,Bills,M,30164
3794,"Delhi, India",17-Apr-15,Gold,Bills,M,191041
3795,"Greater Mumbai, India",23-Jan-15,Silver,Food,M,9931
3796,"Ahmedabad, India",11-Jan-14,Signature,Food,F,252301
3797,"Delhi, India",19-Feb-14,Gold,Bills,F,96292
3798,"Ahmedabad, India",3-Sep-14,Gold,Grocery,F,213280
3799,"Bengaluru, India",2-Feb-14,Gold,Food,M,233265
3800,"Delhi, India",6-May-14,Silver,Bills,M,193638
3801,"Delhi, India",24-Jan-14,Platinum,Bills,F,251574
3802,"Ahmedabad, India",12-Dec-14,Platinum,Fuel,M,214703
3803,"Delhi, India",13-Nov-13,Signature,Entertainment,M,8641
3804,"Delhi, India",30-Dec-13,Gold,Bills,F,277611
3805,"Bengaluru, India",4-Apr-15,Signature,Entertainment,M,12734
3806,"Bengaluru, India",1-May-15,Gold,Bills,F,21579
3807,"Ahmedabad, India",11-Feb-14,Silver,Fuel,F,16208
3808,"Ahmedabad, India",25-Apr-14,Gold,Food,M,80443
3809,"Bengaluru, India",3-Mar-15,Platinum,Fuel,F,296406
3810,"Greater Mumbai, India",13-Nov-13,Platinum,Fuel,M,83674
3811,"Ahmedabad, India",9-May-14,Platinum,Bills,F,145531
3812,"Delhi, India",20-Jul-14,Silver,Entertainment,M,193593
3813,"Ahmedabad, India",11-Sep-14,Signature,Food,M,232555
3814,"Ahmedabad, India",23-Oct-14,Platinum,Fuel,F,82572
3815,"Delhi, India",11-Feb-15,Gold,Fuel,F,88505
3816,"Ahmedabad, India",14-Aug-14,Signature,Entertainment,M,101434
3817,"Delhi, India",26-May-14,Gold,Fuel,M,11318
3818,"Ahmedabad, India",3-Jun-14,Signature,Food,M,35507
3819,"Delhi, India",13-Mar-15,Gold,Bills,F,11945
3820,"Delhi, India",22-Oct-14,Signature,Bills,M,188562
3821,"Greater Mumbai, India",18-Oct-13,Platinum,Grocery,F,149560
3822,"Ahmedabad, India",26-Jul-14,Silver,Bills,M,178276
3823,"Delhi, India",25-Aug-14,Signature,Entertainment,M,24436
3824,"Ahmedabad, India",2-Dec-14,Platinum,Grocery,F,167904
3825,"Delhi, India",2-Nov-13,Gold,Grocery,F,173556
3826,"Greater Mumbai, India",10-Aug-14,Platinum,Bills,F,229546
3827,"Delhi, India",15-Aug-14,Gold,Food,F,279576
3828,"Delhi, India",8-Jun-14,Platinum,Grocery,F,96395
3829,"Delhi, India",3-May-14,Gold,Entertainment,F,57028
3830,"Bengaluru, India",16-Jan-14,Signature,Grocery,F,156031
3831,"Ahmedabad, India",12-May-14,Silver,Food,F,33363
3832,"Bengaluru, India",6-Jan-14,Platinum,Fuel,F,179027
3833,"Ahmedabad, India",26-Mar-15,Signature,Entertainment,M,40220
3834,"Greater Mumbai, India",28-Mar-14,Signature,Grocery,F,44422
3835,"Bengaluru, India",7-Feb-15,Platinum,Food,F,256189
3836,"Bengaluru, India",3-Mar-15,Signature,Bills,M,274863
3837,"Bengaluru, India",4-Aug-14,Signature,Grocery,F,82526
3838,"Bengaluru, India",26-Nov-14,Silver,Fuel,M,125475
3839,"Ahmedabad, India",6-Apr-14,Gold,Entertainment,M,250428
3840,"Bengaluru, India",13-Sep-14,Platinum,Fuel,F,52304
3841,"Greater Mumbai, India",31-Oct-14,Gold,Food,F,222759
3842,"Ahmedabad, India",26-Nov-14,Signature,Bills,M,133224
3843,"Bengaluru, India",10-Jan-14,Gold,Bills,M,44031
3844,"Greater Mumbai, India",24-Feb-15,Platinum,Entertainment,M,236139
3845,"Bengaluru, India",28-Mar-15,Silver,Grocery,F,53816
3846,"Delhi, India",6-Feb-14,Silver,Food,F,142263
3847,"Bengaluru, India",17-Nov-14,Silver,Food,F,253881
3848,"Bengaluru, India",28-May-14,Gold,Food,M,270737
3849,"Greater Mumbai, India",26-Feb-15,Signature,Bills,M,103641
3850,"Ahmedabad, India",26-Jul-14,Signature,Fuel,M,272255
3851,"Ahmedabad, India",5-Sep-14,Silver,Food,M,197183
3852,"Greater Mumbai, India",21-Oct-14,Signature,Bills,F,91147
3853,"Greater Mumbai, India",12-Oct-14,Signature,Grocery,M,77964
3854,"Greater Mumbai, India",25-Jan-14,Silver,Entertainment,F,30149
3855,"Delhi, India",17-Jun-14,Signature,Bills,F,39804
3856,"Bengaluru, India",17-Oct-13,Signature,Grocery,F,70762
3857,"Bengaluru, India",5-Mar-15,Platinum,Bills,M,205291
3858,"Greater Mumbai, India",18-Oct-14,Silver,Bills,M,87996
3859,"Greater Mumbai, India",18-Jan-15,Signature,Grocery,F,141643
3860,"Ahmedabad, India",19-Dec-13,Silver,Grocery,F,96350
3861,"Bengaluru, India",19-Jul-14,Signature,Bills,F,59595
3862,"Greater Mumbai, India",25-Dec-14,Signature,Food,F,270193
3863,"Delhi, India",24-Dec-14,Signature,Entertainment,M,46115
3864,"Greater Mumbai, India",10-Aug-14,Gold,Bills,M,72408
3865,"Ahmedabad, India",7-Apr-15,Gold,Food,M,22917
3866,"Bengaluru, India",5-Dec-14,Signature,Bills,F,180735
3867,"Bengaluru, India",1-Dec-13,Platinum,Food,F,92433
3868,"Ahmedabad, India",24-Feb-15,Platinum,Food,M,193902
3869,"Bengaluru, India",17-Jan-15,Signature,Entertainment,F,128943
3870,"Delhi, India",17-Jan-15,Platinum,Grocery,F,223347
3871,"Ahmedabad, India",10-Feb-14,Silver,Food,M,120647
3872,"Delhi, India",26-Mar-14,Gold,Grocery,M,219971
3873,"Bengaluru, India",12-May-15,Silver,Food,F,222168
3874,"Greater Mumbai, India",5-Apr-14,Gold,Food,M,161223
3875,"Bengaluru, India",2-Mar-15,Gold,Fuel,F,259131
3876,"Greater Mumbai, India",27-Aug-14,Platinum,Entertainment,F,108870
3877,"Ahmedabad, India",3-Sep-14,Signature,Entertainment,M,163971
3878,"Greater Mumbai, India",17-Aug-14,Gold,Grocery,M,69490
3879,"Ahmedabad, India",24-Oct-14,Platinum,Bills,M,21726
3880,"Ahmedabad, India",29-Oct-13,Platinum,Bills,M,238959
3881,"Delhi, India",29-Jun-14,Silver,Entertainment,F,24796
3882,"Delhi, India",5-Nov-14,Silver,Grocery,F,125995
3883,"Ahmedabad, India",13-Jan-14,Signature,Grocery,M,222708
3884,"Bengaluru, India",27-Oct-14,Platinum,Fuel,F,258206
3885,"Greater Mumbai, India",20-Jul-14,Gold,Entertainment,M,31617
3886,"Ahmedabad, India",15-Sep-14,Gold,Bills,F,75224
3887,"Greater Mumbai, India",23-Oct-14,Signature,Grocery,M,293306
3888,"Bengaluru, India",5-Jun-14,Gold,Entertainment,F,128345
3889,"Bengaluru, India",25-Nov-14,Signature,Bills,F,121847
3890,"Ahmedabad, India",30-Nov-14,Silver,Bills,M,46509
3891,"Bengaluru, India",30-Jan-15,Gold,Fuel,M,108341
3892,"Bengaluru, India",30-Aug-14,Silver,Grocery,F,188556
3893,"Bengaluru, India",11-Mar-15,Silver,Fuel,F,62248
3894,"Bengaluru, India",15-Mar-14,Gold,Entertainment,M,221366
3895,"Delhi, India",4-Jan-15,Gold,Food,F,8707
3896,"Greater Mumbai, India",18-Feb-15,Platinum,Food,M,100596
3897,"Ahmedabad, India",13-Jul-14,Platinum,Food,F,279463
3898,"Greater Mumbai, India",5-Jan-15,Silver,Food,F,273374
3899,"Ahmedabad, India",5-Dec-14,Gold,Fuel,F,56130
3900,"Ahmedabad, India",14-Mar-15,Platinum,Food,M,53631
3901,"Bengaluru, India",10-Dec-13,Gold,Bills,F,97086
3902,"Delhi, India",6-Sep-14,Platinum,Fuel,F,164430
3903,"Delhi, India",26-Nov-13,Gold,Food,F,54070
3904,"Ahmedabad, India",25-Nov-14,Platinum,Food,M,214628
3905,"Delhi, India",11-Nov-14,Gold,Food,F,175562
3906,"Greater Mumbai, India",15-Jun-14,Platinum,Grocery,F,173136
3907,"Greater Mumbai, India",25-Dec-14,Gold,Entertainment,F,55286
3908,"Ahmedabad, India",4-Feb-14,Gold,Entertainment,M,199236
3909,"Greater Mumbai, India",31-Jul-14,Platinum,Entertainment,M,193725
3910,"Bengaluru, India",21-Dec-14,Gold,Fuel,M,253822
3911,"Ahmedabad, India",30-Dec-14,Gold,Bills,F,114593
3912,"Delhi, India",20-Jan-15,Signature,Bills,M,202750
3913,"Delhi, India",30-Mar-14,Signature,Food,M,86613
3914,"Greater Mumbai, India",28-Feb-15,Gold,Food,F,274310
3915,"Ahmedabad, India",8-Mar-14,Signature,Bills,F,38859
3916,"Ahmedabad, India",27-Jul-14,Signature,Fuel,F,47378
3917,"Greater Mumbai, India",28-Nov-13,Platinum,Bills,F,236840
3918,"Ahmedabad, India",30-Mar-14,Platinum,Grocery,M,12774
3919,"Ahmedabad, India",15-Feb-14,Silver,Food,M,298262
3920,"Ahmedabad, India",14-Oct-13,Silver,Grocery,F,221912
3921,"Delhi, India",13-Dec-13,Gold,Fuel,M,217036
3922,"Bengaluru, India",7-Aug-14,Gold,Bills,M,123198
3923,"Greater Mumbai, India",25-Feb-15,Silver,Grocery,F,38401
3924,"Ahmedabad, India",11-Dec-14,Signature,Bills,M,279277
3925,"Bengaluru, India",12-Feb-15,Platinum,Food,M,102382
3926,"Ahmedabad, India",24-Jan-14,Signature,Entertainment,M,74822
3927,"Bengaluru, India",2-Jan-15,Signature,Fuel,M,246675
3928,"Delhi, India",6-Nov-13,Silver,Entertainment,M,108170
3929,"Greater Mumbai, India",26-May-15,Gold,Food,F,112158
3930,"Greater Mumbai, India",10-Feb-15,Gold,Grocery,M,52775
3931,"Ahmedabad, India",19-Oct-13,Signature,Grocery,M,157847
3932,"Delhi, India",31-Jan-14,Gold,Food,M,260042
3933,"Greater Mumbai, India",8-Dec-14,Platinum,Bills,F,127370
3934,"Delhi, India",22-Jun-14,Signature,Entertainment,F,262134
3935,"Greater Mumbai, India",26-Mar-15,Signature,Fuel,M,256228
3936,"Bengaluru, India",20-Oct-13,Silver,Food,M,148421
3937,"Delhi, India",27-Oct-13,Platinum,Fuel,M,282581
3938,"Greater Mumbai, India",28-Nov-13,Gold,Bills,M,214594
3939,"Greater Mumbai, India",21-Aug-14,Signature,Food,M,106325
3940,"Bengaluru, India",11-Feb-15,Signature,Fuel,M,259745
3941,"Bengaluru, India",10-Jan-14,Silver,Food,F,176552
3942,"Bengaluru, India",3-Jan-15,Platinum,Food,M,150464
3943,"Bengaluru, India",28-Apr-15,Gold,Food,F,240838
3944,"Ahmedabad, India",20-Mar-15,Silver,Grocery,F,184375
3945,"Delhi, India",10-Aug-14,Platinum,Fuel,M,157806
3946,"Bengaluru, India",23-Jul-14,Platinum,Bills,F,282936
3947,"Greater Mumbai, India",31-Mar-15,Platinum,Bills,M,197291
3948,"Bengaluru, India",5-Sep-14,Gold,Entertainment,M,25556
3949,"Ahmedabad, India",28-Sep-14,Silver,Fuel,F,238795
3950,"Bengaluru, India",21-Jan-14,Gold,Grocery,M,283336
3951,"Bengaluru, India",17-Jun-14,Signature,Fuel,F,202600
3952,"Delhi, India",10-Nov-13,Gold,Entertainment,F,230422
